"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","direct migration background","23706.18","21438","1396","6289","14582","30626","40239","66417","22810.55","24601.81","0","264849","21817","23468"
"1984","16-34 y.","indirect migration background","23719.77","21254.85","102","6723","16833","30172","43352","51308","20997.22","26442.32","0","59518","21934","32051"
"1984","16-34 y.","no migration background","26386.63","24082","3110","5957","15935","33848","45837","79240","25720.41","27052.85","0","264849","23801","24951"
"1984","35-65 y.","direct migration background","23525.65","20912","1986","1943","14367","31010","40491","80730","22723.92","24327.38","0","290361","22037","23264"
"1984","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1984","35-65 y.","no migration background","25051.24","23732.64","4336","0","14184","34262","45837","79762","24484.99","25617.49","0","290361","24184","25130"
"1984","66 and older","direct migration background","1400.78","0","35","0","0","0","6187","19838","-2172.33","4973.89","0","44611","0","0"
"1984","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1984","66 and older","no migration background","2865.82","0","1240","0","0","0","11351","38807","2250.65","3480.99","0","192808","0","0"
"1985","16-34 y.","direct migration background","23550.74","21474","1153","7976","15083","31572","41082","61197","22769.83","24331.65","0","104304","21909","24337"
"1985","16-34 y.","indirect migration background","23634.53","23324.17","121","8487","14930","31649","37580","51493","21443.39","25825.67","0","54928","23545","30302"
"1985","16-34 y.","no migration background","26773.94","24589.04","2909","6826","15942","34522","48308","78140","26071.41","27476.47","0","358109","24627","25923"
"1985","35-65 y.","direct migration background","23055.86","21423","1755","199","14366","31087","41082","67944","22407.8","23703.92","0","157474","22548","24082"
"1985","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1985","35-65 y.","no migration background","25886.69","24337","4013","0","14214","34742","48982","85654","25221.28","26552.1","0","359884","24798","26025"
"1985","66 and older","direct migration background","2256.64","0","37","0","0","0","0","92033","-3391.36","7904.64","0","92033","0","0"
"1985","66 and older","indirect migration background","","","","","","","","","","","","","",""
