"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Female","25344.23","23465.8","2338","5113","15543","32477","42995","76106","24591.82","26096.64","0","264849","22855","24031"
"1984","16-34 y.","Male","26809.28","24261","2270","6493","16106","34359","46885","80031","26066.87","27551.69","0","264849","23724","25053"
"1984","35-65 y.","Female","22818.29","21611.58","3123","0","9715","32614","44242","79762","22156.89","23479.69","0","290361","22319","23520"
"1984","35-65 y.","Male","27028.92","24850.85","3220","6248","16924","35018","45965","80031","26387.51","27670.33","0","290361","24337","25513"
"1984","66 and older","Female","2807.6","0","771","0","0","0","9817","39850","1931.83","3683.37","0","192808","0","0"
"1984","66 and older","Male","2857.41","0","509","0","0","0","11811","37653","2114.56","3600.26","0","73626","0","0"
"1985","16-34 y.","Female","25146.58","23334.17","2082","5726","15236","33260","45126","73831","24483.84","25809.32","0","162591","23120","24907"
"1985","16-34 y.","Male","27654.32","24873.44","2101","7976","16310","35164","49955","82829","26809.81","28498.83","0","358109","24625","26266"
"1985","35-65 y.","Female","23486.29","22081.37","2879","0","8723","33029","46579","82829","22768.62","24203.96","0","271803","23111","24542"
"1985","35-65 y.","Male","27718.82","25327.77","2907","4602","16924","35484","48982","88505","27018.36","28419.28","0","359884","24879","26324"
"1985","66 and older","Female","2522.92","0","671","0","0","0","6953","39881","1580.98","3464.86","0","181544","0","0"
"1985","66 and older","Male","2849.62","0","447","0","0","0","11606","41876","1962.49","3736.75","0","92033","0","0"
"1986","16-34 y.","Female","26628.24","24664.73","2014","4295","15533","35453","46111","80211","25805.81","27450.67","0","448945","24658","26497"
"1986","16-34 y.","Male","28332.81","25156","2084","7056","17077","36537","49559","87313","27469.76","29195.86","0","448945","25769","27634"
"1986","35-65 y.","Female","23829.91","22794.41","2741","0","7899","33950","46885","79848","23069.66","24590.16","0","448945","24184","25565"
"1986","35-65 y.","Male","28213.27","26251.31","2757","4571","17895","37243","49653","82774","27501.25","28925.29","0","448945","25958","27073"
"1986","66 and older","Female","2437.88","0","622","0","0","0","6667","38651","1583.2","3292.56","0","83992","0","0"
"1986","66 and older","Male","2946.3","0","425","0","0","0","12271","36813","1989.87","3902.73","0","62376","0","0"
"1987","16-34 y.","Female","27541.25","25749.07","1967","6393","16427","36199","48321","91034","26789.53","28292.97","0","186673","25810","27082"
"1987","16-34 y.","Male","29142.55","26260","2077","8552","17752","38398","51334","97059","28353.68","29931.42","0","186673","26689","28487"
"1987","35-65 y.","Female","25218.48","23845.02","2684","0","10395","36302","48982","90396","24495.48","25941.48","0","206521","25462","27038"
"1987","35-65 y.","Male","29403.91","27515.27","2700","5620","18509","38855","51334","93055","28730.45","30077.37","0","206521","27469","28763"
"1987","66 and older","Female","2364.8","0","656","0","0","0","2761","39881","1524.56","3205.04","0","95636","0","0"
"1987","66 and older","Male","3220.96","0","429","0","0","0","13345","49084","2198.18","4243.74","0","76387","0","0"
"1988","16-34 y.","Female","28744.37","26191.77","1881","7363","17179","38324","49033","85769","27905.54","29583.2","0","310964","26076","27728"
"1988","16-34 y.","Male","29883.85","26974.35","1973","8985","18662","38787","51849","93337","29063.37","30704.33","0","187082","27161","28939"
"1988","35-65 y.","Female","26016.98","24876.62","2552","0","10635","37406","50442","87347","25255.91","26778.05","0","186323","26127","27533"
"1988","35-65 y.","Male","30604.13","28614.82","2561","5021","19194","41082","52663","93055","29890.41","31317.85","0","186323","28121","29805"
"1988","66 and older","Female","2240.1","0","635","0","0","0","2608","41445","1339.67","3140.53","0","114120","0","0"
"1988","66 and older","Male","3678.32","0","420","0","0","0","13140","59361","2472.38","4884.26","0","114120","0","0"
