"plh0226","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","West Germany","88","0.0380251911564757","0.0300764518775164","0.0459739304354351"
"1 Strongly disagree","2005","1-pers.-HH","East Germany","19","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","West Germany","171","0.0323666037413718","0.0275831476697872","0.0371500598129564"
"1 Strongly disagree","2005","(Married) couple without C. ","East Germany","55","0.0353207928534787","0.0266896383465583","0.043951947360399"
"1 Strongly disagree","2005","Single parent ","West Germany","38","0.055335818197006","0.0394427985960381","0.0712288377979739"
"1 Strongly disagree","2005","Single parent ","East Germany","11","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","West Germany","105","0.0367127431801774","0.0299968012406172","0.0434286851197376"
"1 Strongly disagree","2005","Couple + C. LE 16 ","East Germany","15","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","West Germany","84","0.0307430642021697","0.0241040262558054","0.0373821021485341"
"1 Strongly disagree","2005","Couple + C. GT 16 ","East Germany","21","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","West Germany","34","0.0297123290054168","0.0205871608812685","0.0388374971295651"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","East Germany","9","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","West Germany","165","0.08658720761265","0.0748991831621295","0.0982752320631706"
"2 on scale 1-7 ","2005","1-pers.-HH","East Germany","60","0.075474263526119","0.0563120530737592","0.0946364739784788"
"2 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","401","0.0794802307694911","0.07216911064146","0.0867913508975222"
"2 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","105","0.0628084683781272","0.05146396497784","0.0741529717784144"
"2 on scale 1-7 ","2005","Single parent ","West Germany","59","0.0707990000458269","0.0529697562779369","0.0886282438137169"
"2 on scale 1-7 ","2005","Single parent ","East Germany","24","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","West Germany","212","0.0686702293531788","0.0596387977127184","0.0777016609936392"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","46","0.0690721687804368","0.0502333779287611","0.0879109596321124"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","154","0.0592424234505551","0.0501628094351968","0.0683220374659134"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","64","0.0465659716157537","0.0338272340247058","0.0593047092068016"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","West Germany","82","0.06695840714758","0.0535253355520146","0.0803914787431453"
