"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","","","","","","","","","","","","","",""
"1984","West Germany","1463.37","1278","11559","614","920","1790","2403","4090","1442.06","1484.68","0","42028","1329","1380"
"1985","East Germany","","","","","","","","","","","","","",""
"1985","West Germany","1485.37","1329","10480","614","920","1790","2454","4090","1464.11","1506.63","0","30678","1432","1432"
"1986","East Germany","","","","","","","","","","","","","",""
"1986","West Germany","1559.76","1380","10116","665","971","1943","2556","4295","1532.68","1586.84","0","49190","1524","1534"
"1987","East Germany","","","","","","","","","","","","","",""
"1987","West Germany","1597.54","1432","10053","665","997","1994","2556","4944","1575.64","1619.44","0","33234","1534","1534"
"1988","East Germany","","","","","","","","","","","","","",""
"1988","West Germany","1632.55","1518","9613","690","1023","2045","2608","4602","1609.8","1655.3","0","35790","1534","1585"
"1989","East Germany","","","","","","","","","","","","","",""
"1989","West Germany","1697.57","1534","9325","740","1023","2045","2812","4857","1676.46","1718.68","0","33234","1636","1656"
"1990","East Germany","882.53","869","4386","360","588","1125","1380","1892","871.38","893.68","153","2608","920","971"
"1990","West Germany","1804.63","1601.97","9142","767","1125","2250","2965","5113","1776.18","1833.08","0","38347","1738","1790"
"1991","East Germany","1032.75","971","4096","409","706","1278","1636","2556","1017.53","1047.97","102","3579","1023","1074"
"1991","West Germany","1851.86","1687","9082","767","1176","2331","3068","5113","1831.8","1871.92","77","10226","1790","1841"
"1992","East Germany","1235.98","1125","3901","562","818","1534","2045","3068","1217.62","1254.34","179","3835","1278","1278"
"1992","West Germany","1928.84","1790","9047","823","1227","2454","3068","5113","1908.14","1949.54","0","10737","1841","1902"
"1993","East Germany","1454.34","1329","3751","624","948","1795","2352","3630","1430.68","1478","184","7669","1534","1534"
"1993","West Germany","2013.72","1841","8935","853","1278","2556","3323","5215","1990.83","2036.61","26","21474","1943","1994"
"1994","East Germany","1575.65","1534","3685","716","1023","2020","2556","3988","1550.84","1600.46","102","7669","1534","1636"
"1994","West Germany","2039.81","1841","8786","869","1278","2556","3460","5113","2016.55","2063.07","153","15339","1943","2045"
"1995","East Germany","1669.14","1534","3582","767","1125","2045","2556","4167","1642.39","1695.89","72","9715","1687","1738"
"1995","West Germany","2114.99","1892","9150","920","1278","2556","3451","5725","2090.33","2139.65","205","23008","2021","2045"
"1996","East Germany","1717.51","1585","3584","818","1176","2147","2659","4090","1691.42","1743.6","205","6136","1790","1790"
"1996","West Germany","2127.61","1943","8918","920","1304","2556","3579","5880","2101.75","2153.47","78","25565","2045","2045"
"1997","East Germany","1743.51","1636","3558","818","1176","2096","2761","4090","1713.9","1773.12","233","16259","1790","1790"
"1997","West Germany","2124.08","1943","8870","931","1329","2659","3477","5624","2100.42","2147.74","153","20452","2045","2045"
"1998","East Germany","1762.93","1636","3729","869","1227","2147","2761","4346","1735.24","1790.62","230","11248","1790","1790"
"1998","West Germany","2150.42","1943","9832","953","1332","2659","3579","5624","2128.39","2172.45","179","15339","2045","2045"
"1999","East Germany","1804.3","1687","3674","844","1227","2199","2812","4602","1774.45","1834.15","235","12782","1790","1892"
"1999","West Germany","2225.28","2045","9466","1023","1432","2761","3579","6136","2201.53","2249.03","102","12782","2045","2122"
"2000","East Germany","1840.18","1687","5575","844","1227","2301","3017","5113","1815.1","1865.26","0","10239","1790","1790"
"2000","West Germany","2267.33","2045","16991","1023","1432","2812","3681","6238","2248.22","2286.44","51","25565","2147","2199"
"2001","East Germany","1876.21","1738","5303","869","1278","2301","3068","4857","1850.47","1901.95","0","14316","1841","1943"
"2001","West Germany","2312.1","2045","15542","1023","1483","2863","3835","6391","2291.32","2332.88","112","23008","2250","2301"
"2002","East Germany","1898.09","1800","5282","855","1230","2350","3000","5600","1862.52","1933.66","160","15000","2000","2000"
"2002","West Germany","2354.39","2090","16641","1000","1500","2900","3600","8000","2317.07","2391.71","10","65000","2500","2500"
"2003","East Germany","1935.96","1800","5219","858","1250","2400","3053","5500","1901.41","1970.51","0","12500","2000","2000"
"2003","West Germany","2416.26","2150","15834","1000","1500","3000","4000","8000","2380.68","2451.84","0","85000","2500","2500"
"2004","East Germany","1922","1800","5076","873","1250","2380","3100","5200","1886.65","1957.35","0","15000","2000","2000"
"2004","West Germany","2426.61","2108","15523","1000","1500","3000","4000","8000","2388.14","2465.08","0","99999","2500","2550"
"2005","East Germany","1915.87","1762.49","4903","834","1200","2400","3000","5500","1879.58","1952.16","0","16000","1900","2000"
"2005","West Germany","2427.88","2200","14869","1000","1500","3000","4000","7500","2397.16","2458.6","0","35000","2500","2550"
"2006","East Germany","1889.4","1742","5154","800","1200","2400","3050","5000","1855.78","1923.02","0","15000","1950","2000"
"2006","West Germany","2468.87","2104.25","15815","1000","1500","3000","4000","8000","2437.92","2499.82","0","35000","2500","2500"
"2007","East Germany","1940.74","1770","4960","808","1200","2400","3200","5000","1904.79","1976.69","100","17000","2000","2000"
"2007","West Germany","2505.91","2200","14953","1000","1500","3000","4160","8000","2473.74","2538.08","0","42667","2500","2600"
"2008","East Germany","1948.37","1800","4649","850","1200","2500","3200","5100","1911.33","1985.41","0","15000","2000","2000"
"2008","West Germany","2571.16","2300","13936","1000","1500","3200","4300","8000","2532.6","2609.72","100","99999","2600","2700"
"2009","East Germany","2036.01","1897","4460","850","1300","2600","3400","5500","1997.91","2074.11","0","20000","2000","2000"
"2009","West Germany","2620.7","2300","12991","1050","1590","3200","4500","8000","2586.25","2655.15","187","30000","2600","2700"
"2010","East Germany","2069.85","1900","5252","800","1265","2600","3500","5500","2033.52","2106.18","0","20000","2000","2000"
"2010","West Germany","2695.18","2400","17754","1100","1600","3300","4500","8500","2665.77","2724.59","0","35000","2500","2600"
"2011","East Germany","2131.98","1924.93","6217","857","1300","2700","3600","6500","2097.68","2166.28","160","14000","2000","2100"
"2011","West Germany","2749.39","2500","21520","1100","1600","3500","4700","8500","2722.38","2776.4","40","55000","2650","2700"
"2012","East Germany","2184.15","1990","6106","860","1300","2800","3800","6500","2147.68","2220.62","100","21000","2000","2100"
"2012","West Germany","2844.25","2500","20936","1105","1700","3560","5000","8500","2804.49","2884.01","0","2e+05","2700","2800"
"2013","East Germany","2246.89","2000","6001","900","1350","2900","3800","7000","2210.55","2283.23","260","18000","2100","2190"
"2013","West Germany","2865.69","2500","23882","1110","1700","3600","5000","8300","2839.25","2892.13","0","70000","2700","2750"
"2014","East Germany","2274.88","2000","5541","900","1400","3000","4000","7000","2237.61","2312.15","205","18500","2200","2222"
"2014","West Germany","2971.88","2600","21124","1150","1700","3800","5000","9000","2943.15","3000.61","150","65000","2800","2900"
"2015","East Germany","2354.56","2000","5376","900","1380","3000","4000","7200","2314.1","2395.02","270","20000","2200","2300"
"2015","West Germany","3039.21","2668","20820","1200","1761","4000","5200","9000","3011.69","3066.73","0","60000","2848","2970"
"2016","East Germany","2396.67","2100","5771","900","1400","3000","4000","7500","2357.4","2435.94","0","20800","2100","2200"
"2016","West Germany","3102.92","2700","22277","1200","1800","4000","5300","9400","3073.96","3131.88","0","45000","2600","2639"
"2017","East Germany","2456.04","2200","6267","1000","1450","3100","4000","7000","2416.34","2495.74","88","20000","2250","2300"
"2017","West Germany","3278.83","2800","25076","1200","1860","4000","5300","9500","3165.17","3392.49","100","999999","2690","2700"
"2018","East Germany","2546.1","2300","5995","1000","1500","3383","4261","7000","2507.16","2585.04","150","15000","2300","2500"
"2018","West Germany","3301.16","3000","22992","1250","1960","4200","5700","10000","3271.34","3330.98","100","60000","2900","3000"
"2019","East Germany","2711.1","2500","5905","1075","1600","3500","4500","8000","2644.13","2778.07","165","110000","2600","2700"
"2019","West Germany","3463.81","3000","22480","1300","2000","4370","6000","10000","3303.94","3623.68","35","1700000","3000","3100"
