"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Part Time","Other degree","1288.43","1278","158","491","818","1611","2045","3784","1171.56","1405.3","77","5113","1268","1508"
"1986","Part Time","secondary school degree","1742.16","1687","327","869","1227","2122","2710","3988","1666.12","1818.2","383","4295","1585","1790"
"1987","Full Time","college entrance qualification","2242.4","2045","566","1023","1490","2556","3323","5215","2103.65","2381.15","378","33234","2045","2189"
"1987","Full Time","lower secondary degree","1715.69","1534","2092","869","1125","2045","2556","4571","1668.45","1762.93","102","33234","1585","1687"
"1987","Full Time","no degree/no degree yet","1566.85","1483","389","869","1023","1841","2454","4090","1487.34","1646.36","245","6902","1534","1636"
"1987","Full Time","Other degree","1580.65","1483","728","767","1023","1841","2311","4346","1512.01","1649.29","0","12782","1534","1636"
"1987","Full Time","secondary school degree","1968.34","1790","847","928","1278","2250","3017","5726","1849.71","2086.97","256","30678","1790","1892"
"1987","Not Working","college entrance qualification","1589.34","1534","337","516","1023","2045","2556","4346","1475.15","1703.53","205","12782","1483","1687"
"1987","Not Working","lower secondary degree","1191.41","1023","1969","524","741","1479","2045","3359","1158.68","1224.14","0","10226","1125","1186"
"1987","Not Working","no degree/no degree yet","1631.92","1534","463","629","1023","2045","2710","5113","1556.21","1707.63","0","6095","1432","1595"
"1987","Not Working","Other degree","1394.3","1269.19","251","648","971","1636","2045","4244","1235.34","1553.26","0","12782","1176","1406"
"1987","Not Working","secondary school degree","1549.87","1329","544","670","970","1994","2556","5113","1473.29","1626.45","89","8692","1483","1636"
"1987","Part Time","college entrance qualification","1662.68","1534","263","547","946","2301","2914","5113","1543.48","1781.88","0","6136","1534","1790"
"1987","Part Time","lower secondary degree","1585.38","1531.42","834","716","1125","1841","2556","4090","1526.95","1643.81","51","12782","1534","1585"
"1987","Part Time","no degree/no degree yet","1654","1413.53","120","818","1023","2045","2556","6095","1510.1","1797.9","31","6095","1304","1585"
