"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","college entrance qualification","1620.44","1380","637","511","920","2045","2556","5113","1505.71","1735.17","97","16873","1355","1534"
"1984","16-34 y.","lower secondary degree","1463.99","1294","1762","741","971","1790","2301","3870","1414.14","1513.84","26","30790","1278","1421"
"1984","16-34 y.","no degree/no degree yet","1600.86","1432","505","767","1023","1892","2556","3835","1521.33","1680.39","0","12782","1278","1483"
"1984","16-34 y.","Other degree","1237.85","1074","505","665","818","1534","2045","3323","1187.31","1288.39","77","3579","1125","1278"
"1984","16-34 y.","secondary school degree","1607.79","1534","955","785","1125","1943","2531","4602","1554.93","1660.65","8","12271","1534","1534"
"1984","35-65 y.","college entrance qualification","2095.65","2045","481","1023","1534","2556","3068","6136","2011.32","2179.98","176","7669","2045","2147"
"1984","35-65 y.","lower secondary degree","1458.43","1278","3104","727","971","1790","2301","3867","1418.69","1498.17","8","30790","1278","1380"
"1984","35-65 y.","no degree/no degree yet","1275.41","1125","753","660","869","1534","2045","3068","1221.1","1329.72","102","9715","1227","1278"
"1984","35-65 y.","Other degree","1367.73","1259.54","894","716","920","1585","1994","4090","1285.8","1449.66","256","20452","1304","1406"
"1984","35-65 y.","secondary school degree","1768.17","1636","691","869","1227","2215","2556","4090","1709.17","1827.17","8","6136","1636","1790"
"1984","66 and older","college entrance qualification","2347.14","1432","86","665","1023","1994","2454","42028","1022.47","3671.81","322","42028","1278","1585"
"1984","66 and older","lower secondary degree","914.52","767","903","428","562","1048","1534","3012","867.83","961.21","102","9715","818","869"
"1984","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"1984","66 and older","Other degree","","","","","","","","","","","","","",""
"1984","66 and older","secondary school degree","1154.54","1023","171","511","716","1432","1892","3068","1052.67","1256.41","86","6136","1023","1227"
"1985","16-34 y.","college entrance qualification","1547.44","1432","624","511","869","2045","2659","4193","1471.49","1623.39","0","10737","1432","1534"
"1985","16-34 y.","lower secondary degree","1503.87","1380","1542","741","1023","1790","2352","3579","1452.14","1555.6","0","30678","1380","1508"
"1985","16-34 y.","no degree/no degree yet","1692.03","1534","422","767","1125","2147","2710","3579","1622.9","1761.16","193","6902","1432","1534"
"1985","16-34 y.","Other degree","1338.85","1111.9","395","716","920","1534","2045","3579","1194.69","1483.01","350","26076","1125","1304"
"1985","16-34 y.","secondary school degree","1668.05","1534","928","793","1099","1999","2556","4193","1568.9","1767.2","0","30678","1534","1585"
"1985","35-65 y.","college entrance qualification","2140.91","2045","459","1028","1534","2556","3323","5113","2057.86","2223.96","128","6902","2045","2147"
"1985","35-65 y.","lower secondary degree","1468.66","1329","2842","716","997","1790","2301","3579","1429.57","1507.75","0","30678","1331","1432"
"1985","35-65 y.","no degree/no degree yet","1354.12","1278","623","690","920","1738","2045","2710","1295.22","1413.02","170","13805","1278","1462"
"1985","35-65 y.","Other degree","1367.39","1274.32","803","690","920","1636","2045","4090","1288.29","1446.49","0","26076","1329","1432"
"1985","35-65 y.","secondary school degree","1840.19","1739.53","672","920","1278","2250","2812","4602","1768.48","1911.9","189","10737","1738","1815"
