"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","East Germany","","","","","","","","","","","","","",""
"1984","Full Time","West Germany","1642.19","1534","5382","869","1074","1994","2556","4090","1614.08","1670.3","8","30790","1534","1534"
"1984","Not Working","East Germany","","","","","","","","","","","","","",""
"1984","Not Working","West Germany","1269.53","1023","4390","506","720","1534","2147","3988","1229.87","1309.19","0","42028","1074","1125"
"1984","Part Time","East Germany","","","","","","","","","","","","","",""
"1984","Part Time","West Germany","1536.72","1432","1787","767","1023","1841","2403","4090","1491.35","1582.09","77","16873","1380","1474"
"1985","Full Time","East Germany","","","","","","","","","","","","","",""
"1985","Full Time","West Germany","1688.21","1534","4713","869","1125","2045","2556","4090","1656.79","1719.63","0","30678","1534","1534"
"1985","Not Working","East Germany","","","","","","","","","","","","","",""
"1985","Not Working","West Germany","1261.28","1074","3990","510","753","1534","2122","3579","1229.78","1292.78","0","30678","1150","1202"
"1985","Part Time","East Germany","","","","","","","","","","","","","",""
"1985","Part Time","West Germany","1590.84","1458.68","1777","709","1023","1943","2556","4366","1532.21","1649.47","26","30678","1457","1534"
"1986","Full Time","East Germany","","","","","","","","","","","","","",""
"1986","Full Time","West Germany","1775.24","1585","4622","895","1176","2045","2659","4397","1736.43","1814.05","0","49190","1585","1644"
"1986","Not Working","East Germany","","","","","","","","","","","","","",""
"1986","Not Working","West Germany","1318.79","1074","3753","524","767","1585","2199","3963","1271.7","1365.88","0","49190","1202","1278"
"1986","Part Time","East Germany","","","","","","","","","","","","","",""
"1986","Part Time","West Germany","1663.64","1534","1741","739","1074","2045","2556","4295","1604.43","1722.85","77","40903","1534","1559"
"1987","Full Time","East Germany","","","","","","","","","","","","","",""
"1987","Full Time","West Germany","1846.5","1662","4695","920","1227","2160","2812","5113","1809.44","1883.56","0","33234","1687","1744"
"1987","Not Working","East Germany","","","","","","","","","","","","","",""
"1987","Not Working","West Germany","1322.6","1155.76","3615","557","767","1641","2301","4090","1294.03","1351.17","0","12782","1278","1314"
"1987","Part Time","East Germany","","","","","","","","","","","","","",""
"1987","Part Time","West Germany","1658.71","1534","1743","716","1125","2045","2556","4571","1613.44","1703.98","0","18407","1534","1610"
"1988","Full Time","East Germany","","","","","","","","","","","","","",""
