"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","1463.37","1278","11559","614","920","1790","2403","4090","1442.06","1484.68","0","42028","1329","1380"
"1985","1485.37","1329","10480","614","920","1790","2454","4090","1464.11","1506.63","0","30678","1432","1432"
"1986","1559.76","1380","10116","665","971","1943","2556","4295","1532.68","1586.84","0","49190","1524","1534"
"1987","1597.54","1432","10053","665","997","1994","2556","4944","1575.64","1619.44","0","33234","1534","1534"
"1988","1632.55","1518","9613","690","1023","2045","2608","4602","1609.8","1655.3","0","35790","1534","1585"
"1989","1697.57","1534","9325","740","1023","2045","2812","4857","1676.46","1718.68","0","33234","1636","1656"
"1990","1616.67","1409.73","13528","614","932","2045","2761","4908","1595.64","1637.7","0","38347","1380","1401"
"1991","1678.94","1534","13178","665","1023","2147","2914","4806","1662.94","1694.94","77","10226","1534","1534"
"1992","1786.04","1585","12948","762","1074","2301","3068","5113","1769.68","1802.4","0","10737","1636","1687"
"1993","1899.83","1738","12686","767","1176","2403","3170","5113","1881.78","1917.88","26","21474","1790","1790"
"1994","1945.98","1790","12471","818","1227","2454","3221","5113","1927.72","1964.24","102","15339","1790","1841"
"1995","2026.26","1790","12732","882","1278","2556","3323","5624","2006.79","2045.73","72","23008","1892","1943"
"1996","2046.81","1841","12502","920","1278","2556","3323","5726","2026.72","2066.9","78","25565","1943","2045"
"1997","2049.77","1841","12428","920","1278","2556","3323","5471","2030.7","2068.84","153","20452","1994","2045"
"1998","2074.19","1841","13561","920","1304","2556","3477","5522","2056.33","2092.05","179","15339","1974","2045"
"1999","2144.31","1943","13140","971","1380","2556","3548","6136","2125.08","2163.54","102","12782","2045","2045"
"2000","2184.53","1994","22566","971","1380","2659","3579","6136","2168.7","2200.36","0","25565","2045","2045"
"2001","2227.23","2045","20845","997","1432","2761","3579","6136","2210.22","2244.24","0","23008","2096","2147"
"2002","2265.01","2000","21923","985","1400","2760","3500","7600","2235.12","2294.9","10","65000","2340","2400"
"2003","2322.76","2000","21053","990","1420","2850","3800","7500","2294.37","2351.15","0","85000","2400","2400"
"2004","2330.4","2000","20599","1000","1430","2900","3800","7500","2299.84","2360.96","0","99999","2400","2406"
"2005","2330.38","2000","19772","1000","1450","2943","3900","7100","2305.22","2355.54","0","35000","2354","2400"
"2006","2357.24","2000","20969","985","1400","2950","4000","7800","2332.12","2382.36","0","35000","2300","2400"
"2007","2396.46","2093","19913","990","1440","3000","4000","7500","2370.33","2422.59","0","42667","2400","2450"
"2008","2454.2","2108","18585","1000","1475","3000","4000","7800","2423.46","2484.94","0","99999","2450","2500"
"2009","2509.45","2200","17451","1000","1500","3100","4200","7900","2481.58","2537.32","0","30000","2500","2500"
"2010","2580.71","2288","23006","1000","1500","3200","4400","8000","2556.23","2605.19","0","35000","2444","2500"
"2011","2636.53","2300","27737","1000","1500","3300","4500","8500","2613.94","2659.12","40","55000","2500","2500"
"2012","2724.85","2400","27042","1070","1600","3500","4700","8200","2692.77","2756.93","0","2e+05","2500","2559"
"2013","2752.84","2400","29883","1084","1600","3500","4868","8000","2730.29","2775.39","0","70000","2500","2600"
"2014","2845.22","2500","26665","1100","1645","3500","5000","9000","2820.92","2869.52","150","65000","2650","2700"
"2015","2915.17","2500","26196","1100","1674","3800","5000","9000","2891.55","2938.79","0","60000","2700","2800"
"2016","2976.58","2600","28048","1100","1700","3800","5000","9000","2952.05","3001.11","0","45000","2500","2500"
"2017","3135.03","2700","31343","1160","1800","3900","5000","9000","3043.71","3226.35","88","999999","2522","2600"
"2018","3168.74","2800","28987","1200","1822","4000","5500","10000","3143.6","3193.88","100","60000","2750","2800"
"2019","3332.18","3000","28461","1200","1909","4100","5700","10000","3205.09","3459.27","35","1700000","3000","3000"
