"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","1412.76","1278","2132","614","920","1790","2301","3732","1383.14","1442.38","205","6136","1380","1483"
"1985","Urban Area","1507.48","1329","8348","614","920","1841","2556","4090","1481.9","1533.06","0","30678","1432","1447"
"1986","Rural Area","1537.58","1380","2077","614","920","1892","2454","4090","1453.25","1621.91","68","49190","1432","1534"
"1986","Urban Area","1566.6","1380","8039","665","971","1943","2556","4346","1540.39","1592.81","0","40903","1534","1534"
"1987","Rural Area","1578.45","1432","2049","690","1023","1943","2556","4193","1539.93","1616.97","51","10226","1534","1534"
"1987","Urban Area","1603.2","1432","8004","665","997","2045","2556","5113","1577.52","1628.88","0","33234","1534","1534"
"1988","Rural Area","1566.06","1483","1916","665","997","1984","2608","4244","1531.12","1601","51","7669","1534","1534"
"1988","Urban Area","1652.19","1534","7697","690","1023","2045","2633","4602","1625.15","1679.23","0","35790","1534","1608"
"1989","Rural Area","1652.81","1534","1851","669","1023","2045","2812","4707","1604.78","1700.84","0","20452","1534","1636"
"1989","Urban Area","1710.64","1534","7474","766","1048","2096","2812","4857","1687.14","1734.14","92","33234","1636","1687"
"1990","Rural Area","1370.05","1176","4618","511","793","1749","2454","4141","1345.06","1395.04","0","20452","1074","1125"
"1990","Urban Area","1729.07","1534","8824","682","1023","2147","2863","5113","1700.2","1757.94","0","38347","1534","1581"
"1991","Rural Area","1454.35","1278","4524","603","869","1892","2556","3835","1432.19","1476.51","77","5624","1278","1278"
"1991","Urban Area","1786.91","1585","8564","716","1074","2301","3068","5113","1765.91","1807.91","102","10226","1636","1738"
"1992","Rural Area","1602.55","1432","4336","665","997","2045","2608","4346","1578.45","1626.65","128","6713","1483","1534"
"1992","Urban Area","1870.68","1687","8496","784","1125","2352","3068","5113","1849.46","1891.9","0","10737","1790","1790"
"1993","Rural Area","1726.96","1534","4250","716","1023","2199","3017","4499","1697.38","1756.54","26","21474","1585","1687"
"1993","Urban Area","1975.76","1790","8436","820","1227","2556","3323","5317","1953.3","1998.22","153","15339","1841","1892"
"1994","Rural Area","1785.85","1585","4187","767","1125","2250","2965","4602","1757.19","1814.51","102","15339","1713","1790"
"1994","Urban Area","2016.02","1829.4","8284","869","1278","2556","3323","5113","1992.84","2039.2","153","15339","1892","1943"
"1995","Rural Area","1929.93","1780.23","4282","818","1227","2403","3068","5113","1899.35","1960.51","72","17895","1790","1841"
"1995","Urban Area","2069.12","1841","8450","920","1278","2556","3375","5634","2044.3","2093.94","205","23008","1943","2014"
"1996","Rural Area","1962.11","1790","4259","844","1227","2505","3221","5113","1926.6","1997.62","179","25565","1841","1943"
"1996","Urban Area","2084.15","1892","8242","920","1278","2556","3462","5880","2059.86","2108.44","78","15339","2032","2045"
"1997","Rural Area","1940.76","1790","4224","869","1278","2397","3068","4960","1909.12","1972.4","153","16259","1892","1994"
"1997","Urban Area","2096.69","1932.63","8203","957","1329","2556","3426","5624","2072.87","2120.51","153","20452","2045","2045"
"1998","Rural Area","1960","1790","4639","920","1278","2454","3323","5113","1931.96","1988.04","179","8692","1841","1943"
"1998","Urban Area","2124.32","1943","8922","971","1329","2556","3579","5624","2101.48","2147.16","205","15339","2045","2045"
"1999","Rural Area","2025.4","1841","4527","920","1309","2556","3221","5965","1995.4","2055.4","102","12782","1943","2045"
"1999","Urban Area","2195.62","2045","8613","1023","1432","2659","3579","6136","2170.96","2220.28","196","12782","2045","2045"
"2000","Rural Area","2063.34","1841","7703","920","1329","2556","3375","5517","2039.01","2087.67","0","13805","1968","2045"
"2000","Urban Area","2238.73","2045","14863","971","1432","2761","3579","6238","2218.35","2259.11","51","25565","2045","2147"
"2001","Rural Area","2103.02","1943","7157","971","1329","2556","3323","5624","2076.36","2129.68","0","21474","2045","2045"
"2001","Urban Area","2283.45","2045","13688","1023","1432","2812","3784","6391","2261.7","2305.2","112","23008","2147","2234"
"2002","Rural Area","2115.56","2000","7271","970","1350","2600","3300","6708","2079.72","2151.4","160","15000","2200","2236"
"2002","Urban Area","2332.48","2000","14652","1000","1435","2800","3600","8000","2291.64","2373.32","10","65000","2470","2500"
"2003","Rural Area","2164.73","2000","6984","950","1400","2700","3500","6000","2129.85","2199.61","190","16000","2200","2250"
"2003","Urban Area","2394.07","2100","14069","1000","1490","2906","4000","8000","2355.45","2432.69","0","85000","2500","2500"
"2004","Rural Area","2192.45","2000","6830","950","1399","2700","3500","6200","2137.27","2247.63","70","99999","2200","2230"
"2004","Urban Area","2392.8","2100","13769","1000","1500","3000","4000","8000","2356.33","2429.27","0","60000","2500","2500"
"2005","Rural Area","2170.47","2000","6587","950","1360","2750","3500","6200","2134.57","2206.37","0","20000","2150","2200"
"2005","Urban Area","2403.35","2100","13185","1000","1500","3000","4000","7500","2370.4","2436.3","150","35000","2500","2500"
"2006","Rural Area","2218.14","2000","7094","913","1305","2700","3500","8000","2182.8","2253.48","0","30000","2120","2200"
"2006","Urban Area","2421.1","2100","13875","1000","1500","3000","4000","7800","2387.97","2454.23","0","35000","2450","2500"
"2007","Rural Area","2173.49","2000","6777","900","1350","2800","3540","6000","2140.92","2206.06","100","15000","2150","2200"
"2007","Urban Area","2500.72","2178","13136","1000","1500","3000","4200","8000","2465.2","2536.24","0","42667","2500","2500"
"2008","Rural Area","2281.88","2000","6321","900","1350","2880","3700","6500","2226.41","2337.35","0","99999","2200","2300"
"2008","Urban Area","2533.5","2200","12264","1000","1500","3100","4300","8000","2497.01","2569.99","100","40000","2500","2600"
"2009","Rural Area","2331.68","2100","6033","1000","1414","3000","3900","7500","2294.32","2369.04","0","17000","2250","2300"
"2009","Urban Area","2592.16","2300","11418","1002","1500","3200","4450","8000","2554.7","2629.62","154","30000","2500","2600"
"2010","Rural Area","2377.33","2100","7895","1000","1450","3000","4000","7200","2343.76","2410.9","0","21000","2200","2300"
"2010","Urban Area","2672.32","2300","15111","1050","1584","3300","4533","8700","2639.67","2704.97","0","35000","2500","2500"
"2011","Rural Area","2432.58","2200","9882","1000","1500","3000","4000","8000","2402.62","2462.54","80","23000","2300","2400"
"2011","Urban Area","2731.87","2400","17855","1050","1541","3500","4800","8500","2701.16","2762.58","40","55000","2600","2650"
"2012","Rural Area","2488.81","2300","9788","1000","1500","3100","4000","7000","2450.3","2527.32","0","90000","2400","2500"
"2012","Urban Area","2836.75","2483.54","17254","1100","1600","3500","5000","9000","2791.65","2881.85","0","2e+05","2600","2700"
"2013","Rural Area","2530.91","2300","10126","1000","1500","3200","4200","7562","2499.65","2562.17","200","30000","2500","2500"
"2013","Urban Area","2858.25","2500","19757","1100","1600","3560","5000","8500","2828.26","2888.24","0","70000","2600","2700"
"2014","Rural Area","2555.38","2300","9178","1030","1550","3200","4300","7800","2523.71","2587.05","200","28000","2500","2500"
"2014","Urban Area","2981.52","2530","17487","1100","1700","3800","5000","9500","2948.61","3014.43","150","65000","2800","2800"
"2015","Rural Area","2652.72","2400","8973","1021","1600","3400","4500","8000","2620.34","2685.1","220","25000","2500","2600"
"2015","Urban Area","3034.95","2600","17223","1140","1700","4000","5200","10000","3003.41","3066.49","0","60000","2800","2900"
"2016","Rural Area","2755.57","2500","9592","1100","1630","3500","4500","8000","2721.38","2789.76","0","32000","2400","2500"
"2016","Urban Area","3076.04","2650","18456","1100","1750","4000","5300","9875","3043.36","3108.72","0","45000","2500","2600"
"2017","Rural Area","2800.37","2500","10769","1100","1700","3500","4850","8000","2767.76","2832.98","88","37500","2500","2500"
"2017","Urban Area","3286.56","2800","20574","1200","1800","4000","5400","9500","3148.53","3424.59","100","999999","2600","2700"
"2018","Rural Area","2900.8","2654","9910","1100","1700","3700","5000","8400","2867.56","2934.04","150","15000","2600","2750"
"2018","Urban Area","3291.85","3000","19077","1200","1900","4150","5750","10000","3257.85","3325.85","100","60000","2800","2850"
"2019","Rural Area","3037.33","2800","9570","1200","1800","3900","5000","9000","2978.08","3096.58","35","150000","2900","3000"
"2019","Urban Area","3508.93","3000","17283","1250","2000","4500","6000","10000","3303.19","3714.67","100","1700000","3000","3100"
