"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Female","1466.42","1329","2221","665","971","1790","2301","4090","1428.76","1504.08","0","16873","1278","1380"
"1984","16-34 y.","Male","1601.39","1432","2170","767","1023","1902","2556","4602","1552.89","1649.89","77","30790","1406","1483"
"1984","35-65 y.","Female","1509.07","1329","2938","665","971","1841","2505","4090","1470.12","1548.02","8","30790","1329","1432"
"1984","35-65 y.","Male","1612.68","1433.49","3043","818","1023","1943","2556","4090","1574.61","1650.75","8","30790","1432","1483"
"1984","66 and older","Female","955.66","767","718","409","511","1023","1534","3068","830.83","1080.49","86","42028","767","863"
"1984","66 and older","Male","1225.43","1023","469","562","767","1278","1790","3579","1043.1","1407.76","102","42028","1023","1063"
"1985","16-34 y.","Female","1533.96","1432","1987","665","971","1841","2454","4090","1475.51","1592.41","0","30678","1416","1483"
"1985","16-34 y.","Male","1604.69","1534","2007","767","1023","1943","2556","4090","1560.55","1648.83","153","30678","1483","1534"
"1985","35-65 y.","Female","1532.72","1380","2714","665","971","1933","2556","4090","1495.82","1569.62","49","30678","1432","1519"
"1985","35-65 y.","Male","1647.42","1534","2740","823","1074","2045","2556","4090","1606.6","1688.24","0","30678","1483","1534"
"1985","66 and older","Female","948.33","767","619","409","542","1125","1585","3068","841.75","1054.91","87","30678","818","920"
"1985","66 and older","Male","1173.57","1023.53","413","562","767","1432","1892","3477","1113.11","1234.03","205","5113","1023","1128"
"1986","16-34 y.","Female","1568.41","1534","1916","665","1023","1963","2556","4218","1529.56","1607.26","0","20452","1534","1534"
"1986","16-34 y.","Male","1667.11","1534","1990","793","1023","2045","2608","4397","1624.51","1709.71","26","20452","1534","1585"
"1986","35-65 y.","Female","1632.22","1432","2591","716","1023","2045","2556","4295","1571.32","1693.12","0","49190","1534","1534"
"1986","35-65 y.","Male","1727.43","1534","2625","869","1125","2045","2659","4602","1679.2","1775.66","0","40903","1534","1534"
"1986","66 and older","Female","998.12","818","588","419","572","1125","1598","2914","828.94","1167.3","0","49190","869","971"
"1986","66 and older","Male","1337.42","1055.3","406","639","869","1432","2045","4862","1080.11","1594.73","194","49190","1065","1212"
"1987","16-34 y.","Female","1625.02","1534","1891","695","1023","2045","2556","5113","1582.36","1667.68","0","18407","1534","1534"
"1987","16-34 y.","Male","1707.34","1534","1996","793","1125","2045","2659","5113","1665.95","1748.73","0","12782","1585","1687"
"1987","35-65 y.","Female","1683.9","1534","2557","728","1023","2045","2659","5011","1634.06","1733.74","0","33234","1534","1636"
"1987","35-65 y.","Male","1786.28","1585","2580","920","1176","2122","2710","5113","1738.09","1834.47","0","33234","1585","1667"
"1987","66 and older","Female","1000.22","818","619","469","614","1227","1708","3375","942.78","1057.66","0","6902","869","997"
"1987","66 and older","Male","1305.66","1164.7","410","665","844","1534","2045","4090","1223.09","1388.23","52","10226","1159","1278"
"1988","16-34 y.","Female","1676.42","1534","1800","767","1074","2045","2608","4602","1634.67","1718.17","26","20452","1534","1636"
"1988","16-34 y.","Male","1765.87","1606.13","1905","818","1125","2081","2812","5113","1716.83","1814.91","0","25565","1636","1738"
"1988","35-65 y.","Female","1682.98","1534","2439","741","1058","2045","2710","4448","1639.96","1726","205","25565","1534","1636"
"1988","35-65 y.","Male","1808.44","1636","2456","920","1227","2147","2812","4602","1767.84","1849.04","153","25565","1636","1738"
"1988","66 and older","Female","1047.39","869","604","508","614","1227","1687","3579","919.16","1175.62","79","35790","915","1023"
"1988","66 and older","Male","1414.63","1176","409","658","884","1585","2045","5624","1228.9","1600.36","115","35790","1144","1278"
"1989","16-34 y.","Female","1723.15","1585","1771","767","1125","2096","2812","4602","1683.56","1762.74","0","6647","1585","1687"
"1989","16-34 y.","Male","1823.9","1636","1864","874","1227","2250","2914","5113","1782.78","1865.02","0","7311","1687","1790"
