"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Employed","(1b) general elementary school","1512.84","1406","1256","716","1023","1883","2352","4295","1468.37","1557.31","0","14827","1457","1534"
"1986","Employed","(1c) basic vocational qualification","1694.53","1534","2369","869","1150","2029","2556","4090","1643.99","1745.07","26","40903","1534","1585"
"1986","Employed","(2a) intermediate vocational","1804.57","1738","861","920","1278","2096","2659","4090","1702.65","1906.49","337","40903","1738","1790"
"1986","Employed","(2b) intermediate general qualification","1889.36","1636","242","920","1278","2186","2812","4295","1710.69","2068.03","153","20452","1539","1841"
"1986","Employed","(2c_gen) general maturity certificate","1657.36","1575.94","191","426","920","2301","2761","5113","1523.1","1791.62","205","5113","1411","1779"
"1986","Employed","(2c_voc) vocational maturity certificate","1674.75","1534","273","818","1074","2045","2812","4346","1580.98","1768.52","205","4602","1534","1687"
"1986","Employed","(3a) lower tertiary education","2164.73","1943","182","1075","1534","2556","3196","6136","1963.56","2365.9","291","15339","1841","2045"
"1986","Employed","(3b) higher tertiary education","2294.59","2092.86","394","1023","1534","2608","3323","5624","2029.28","2559.9","0","49190","2045","2301"
"1986","Not Employed","(0) in school","2038.03","1803.83","175","1023","1304","2403","2991","5113","1791.09","2284.97","205","20452","1621","1943"
"1986","Not Employed","(1a) inadequately completed","1241.88","1032.92","325","409","695","1534","2275","3579","1136.33","1347.43","26","13549","1176","1380"
"1986","Not Employed","(1b) general elementary school","1083.82","946","1129","486","665","1329","1892","2914","1045.86","1121.78","0","5624","1023","1099"
"1986","Not Employed","(1c) basic vocational qualification","1224.29","1045.34","1085","562","777","1483","2045","3477","1163.57","1285.01","0","20452","1125","1202"
"1986","Not Employed","(2a) intermediate vocational","1590.97","1282.78","360","614","920","1841","2454","5113","1317.79","1864.15","66","49190","1329","1534"
"1986","Not Employed","(2b) intermediate general qualification","1534.08","1278","198","614","920","2045","2582","4704","1415.42","1652.74","373","5113","1278","1585"
"1986","Not Employed","(2c_gen) general maturity certificate","1622.08","1393.75","197","409","716","2045","2812","5113","1406.79","1837.37","0","18407","1239","1534"
"1986","Not Employed","(2c_voc) vocational maturity certificate","1333.84","1181.93","107","614","869","1598","2193","3323","1198.47","1469.21","257","3579","1125","1432"
"1986","Not Employed","(3a) lower tertiary education","1530.37","1445.81","52","767","1023","1892","2301","3835","1341.84","1718.9","460","3835","1329","1790"
"1986","Not Employed","(3b) higher tertiary education","2412.91","1635.63","80","665","1227","2045","2965","49190","1211.08","3614.74","379","49190","1483","1892"
"1987","Employed","(0) in school","","","","","","","","","","","","","",""
"1987","Employed","(1a) inadequately completed","1494.51","1380","501","869","1023","1790","2199","4090","1427.68","1561.34","31","6902","1483","1585"
"1987","Employed","(1b) general elementary school","1568.99","1432","1283","716","1023","1866","2505","4244","1522.85","1615.13","153","11248","1534","1572"
"1987","Employed","(1c) basic vocational qualification","1699.08","1534","2349","920","1176","2045","2556","4571","1664.43","1733.73","51","18407","1585","1636"
"1987","Employed","(2a) intermediate vocational","1910.81","1738","899","920","1278","2199","2914","5369","1799.99","2021.63","353","30678","1738","1790"
"1987","Employed","(2b) intermediate general qualification","1922.37","1738","236","818","1380","2250","2608","8692","1747.57","2097.17","256","18407","1687","1943"
"1987","Employed","(2c_gen) general maturity certificate","1774.46","1733.84","198","547","1074","2301","2914","4499","1647.71","1901.21","0","5113","1575","1892"
"1987","Employed","(2c_voc) vocational maturity certificate","1935.92","1622.63","281","818","1074","2225","3068","5113","1680.95","2190.89","230","33234","1544","1790"
"1987","Employed","(3a) lower tertiary education","1999.16","1943","179","946","1380","2403","2914","5113","1844.98","2153.34","307","10226","1841","2045"
"1987","Employed","(3b) higher tertiary education","2398.51","2147","395","1125","1534","2659","3426","6136","2201.42","2595.6","0","33234","2108","2301"
"1987","Not Employed","(0) in school","1917.77","1849.27","163","895","1278","2301","2965","5113","1778.43","2057.11","358","6095","1636","1943"
"1987","Not Employed","(1a) inadequately completed","1290.41","1176","303","460","767","1636","2199","3323","1206.18","1374.64","0","4602","1278","1483"
"1987","Not Employed","(1b) general elementary school","1152.42","971","1087","506","665","1444","1994","3359","1099.93","1204.91","0","12782","1099","1202"
"1987","Not Employed","(1c) basic vocational qualification","1233.38","1074","1082","567","772","1534","2045","3359","1188.22","1278.54","112","11248","1159","1227"
"1987","Not Employed","(2a) intermediate vocational","1549.31","1342.15","351","690","920","1994","2556","5113","1452.94","1645.68","89","8692","1483","1639"
"1987","Not Employed","(2b) intermediate general qualification","1531.49","1278","178","639","915","1943","2659","5113","1395.92","1667.06","307","7669","1329","1687"
"1987","Not Employed","(2c_gen) general maturity certificate","1606.77","1370.76","170","435","716","2096","2710","5624","1403.01","1810.53","256","12782","1278","1687"
"1987","Not Employed","(2c_voc) vocational maturity certificate","1546.27","1404.45","102","869","1074","1856","2301","3681","1410.88","1681.66","341","4090","1278","1632"
"1987","Not Employed","(3a) lower tertiary education","1557.46","1369.45","60","614","1176","2045","2367","3323","1388.89","1726.03","486","3553","1329","1892"
"1987","Not Employed","(3b) higher tertiary education","1617.46","1636","73","643","1125","2055","2556","3323","1447.58","1787.34","205","3579","1534","1932"
"1988","Employed","(0) in school","","","","","","","","","","","","","",""
"1988","Employed","(1a) inadequately completed","1603.09","1534","429","885","1023","1892","2301","3963","1505.61","1700.57","345","17384","1534","1687"
"1988","Employed","(1b) general elementary school","1572.73","1534","1249","785","1023","1892","2505","4039","1533.41","1612.05","51","5772","1534","1585"
"1988","Employed","(1c) basic vocational qualification","1758.88","1534","2269","920","1227","2045","2633","4602","1710.4","1807.36","0","25565","1585","1687"
"1988","Employed","(2a) intermediate vocational","1898.44","1790","880","920","1329","2301","2914","4602","1838.44","1958.44","51","10226","1790","1943"
"1988","Employed","(2b) intermediate general qualification","1869.43","1790","253","767","1227","2301","2945","5772","1747.96","1990.9","256","7669","1764","1943"
"1988","Employed","(2c_gen) general maturity certificate","1625.32","1534","168","614","1023","2045","2710","3732","1511.45","1739.19","179","3835","1534","1892"
"1988","Employed","(2c_voc) vocational maturity certificate","1883.52","1667.15","275","920","1176","2301","3068","5215","1726.72","2040.32","153","17384","1636","1800"
"1988","Employed","(3a) lower tertiary education","2396.09","2045","168","1023","1534","2556","3068","9203","1974.43","2817.75","256","35790","2045","2199"
"1988","Employed","(3b) higher tertiary education","2478.72","2301","369","1125","1687","3017","3579","5215","2253.74","2703.7","281","35790","2199","2362"
