"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","1534.43","1406","4391","716","1023","1841","2556","4090","1503.78","1565.08","0","30790","1380","1432"
"1984","35-65 y.","1559.67","1432","5981","767","1023","1892","2556","4090","1532.44","1586.9","8","30790","1380","1432"
"1984","66 and older","1052","854","1187","460","562","1223","1687","3068","947.62","1156.38","86","42028","869","946"
"1985","16-34 y.","1569.88","1463","3994","716","1023","1892","2556","4090","1533.31","1606.45","0","30678","1463","1534"
"1985","35-65 y.","1588.25","1432","5454","767","1023","1994","2556","4090","1560.72","1615.78","0","30678","1483","1534"
"1985","66 and older","1029.57","869","1032","452","614","1227","1738","3323","961.15","1097.99","87","30678","920","1023"
"1986","16-34 y.","1619.03","1534","3906","751","1023","2045","2556","4295","1590.12","1647.94","0","20452","1534","1534"
"1986","35-65 y.","1678.72","1534","5216","767","1023","2045","2556","4397","1639.95","1717.49","0","49190","1534","1534"
"1986","66 and older","1121.99","920","994","501","665","1278","1754","3068","976.84","1267.14","0","49190","971","1023"
"1987","16-34 y.","1667.13","1534","3887","767","1074","2045","2556","5113","1637.39","1696.87","0","18407","1534","1611"
"1987","35-65 y.","1734.23","1534","5137","793","1125","2045","2659","5113","1699.58","1768.88","0","33234","1580","1636"
"1987","66 and older","1110.36","920","1029","511","675","1329","1887","3681","1062.14","1158.58","0","10226","997","1074"
"1988","16-34 y.","1722.53","1534","3705","767","1125","2045","2710","5113","1690.14","1754.92","0","25565","1585","1636"
"1988","35-65 y.","1745.01","1534","4895","818","1125","2096","2761","4602","1715.44","1774.58","153","25565","1626","1662"
"1988","66 and older","1181.53","984.55","1013","525","687","1380","1841","3988","1074.29","1288.77","79","35790","1023","1115"
"1989","16-34 y.","1775.06","1636","3635","818","1176","2199","2880","4857","1746.44","1803.68","0","7311","1636","1738"
"1989","35-65 y.","1836.12","1636","4712","869","1227","2250","2955","4908","1803.06","1869.18","0","33234","1687","1790"
"1989","66 and older","1185.37","1023","978","546","716","1460","1994","3835","1132.51","1238.23","81","10226","1057","1176"
"1990","16-34 y.","1700.47","1534","5214","716","1023","2066","2812","5113","1667.15","1733.79","0","38347","1380","1462"
"1990","35-65 y.","1740.89","1534","6873","716","1023","2199","2914","5113","1712.47","1769.31","0","38347","1432","1483"
"1990","66 and older","1104.02","937.26","1441","358","614","1380","1943","3477","1030.25","1177.79","0","38347","920","1023"
"1991","16-34 y.","1756.81","1534","5007","767","1099","2199","2914","4857","1731.25","1782.37","102","10021","1534","1585"
"1991","35-65 y.","1820.54","1616.38","6759","767","1125","2301","3068","5113","1797.75","1843.33","102","10226","1534","1585"
"1991","66 and older","1139.52","971","1412","448","690","1503","2045","3329","1101.74","1177.3","77","5369","971","1023"
"1992","16-34 y.","1845.52","1687","4850","833","1176","2301","3027","5624","1819.58","1871.46","0","8181","1687","1738"
"1992","35-65 y.","1943.72","1790","6680","869","1227","2454","3119","5113","1920.4","1967.04","179","10737","1738","1790"
"1992","66 and older","1239.48","1023","1418","537","767","1534","2147","3835","1199.77","1279.19","128","6391","1074","1176"
"1993","16-34 y.","1942.58","1790","4756","869","1278","2454","3068","5113","1915.28","1969.88","153","11504","1790","1861"
"1993","35-65 y.","2079.74","1892","6516","920","1278","2556","3477","5624","2053.01","2106.47","26","21474","1841","1943"
"1993","66 and older","1316.11","1125","1414","603","818","1611","2301","3681","1275.31","1356.91","98","7823","1211","1278"
"1994","16-34 y.","2005.33","1865.11","4658","920","1304","2505","3170","5113","1976.5","2034.16","153","15339","1841","1943"
"1994","35-65 y.","2122.23","1943","6369","971","1329","2556","3579","5123","2095.64","2148.82","205","15339","1943","2034"
"1994","66 and older","1360.31","1227","1444","614","869","1636","2250","4090","1320.32","1400.3","102","6136","1278","1380"
"1995","16-34 y.","2032.48","1892","4740","920","1329","2556","3196","5113","2001.97","2062.99","205","23008","1892","1994"
"1995","35-65 y.","2208.04","2014.16","6534","1023","1432","2659","3579","6136","2179.79","2236.29","245","23008","1994","2045"
"1995","66 and older","1513.82","1329","1458","700","971","1790","2556","4602","1465.57","1562.07","72","17895","1380","1483"
"1996","16-34 y.","2064.32","1943","4575","920","1329","2556","3323","5778","2032.31","2096.33","87","25565","1994","2045"
"1996","35-65 y.","2229.68","2045","6455","1023","1432","2710","3579","6033","2200.54","2258.82","78","25565","2045","2045"
"1996","66 and older","1516.81","1329","1472","716","997","1790","2556","4090","1470.61","1563.01","153","15339","1432","1534"
"1997","16-34 y.","2075.26","1943","4487","920","1416","2556","3272","5369","2045.34","2105.18","153","16259","2045","2045"
"1997","35-65 y.","2225.77","2045","6410","1023","1432","2761","3579","6136","2197.51","2254.03","233","20452","2045","2045"
"1997","66 and older","1526.7","1409.2","1531","727","1023","1892","2556","3835","1487.86","1565.54","179","6493","1534","1534"
"1998","16-34 y.","2086.37","1943","4668","920","1380","2556","3375","5420","2056.93","2115.81","205","10226","2045","2045"
"1998","35-65 y.","2259.14","2045","7116","1023","1508","2812","3579","5982","2233.39","2284.89","300","15339","2045","2045"
"1998","66 and older","1553.34","1432","1777","741","1023","1892","2556","4090","1517.07","1589.61","179","6391","1534","1534"
"1999","16-34 y.","2180.56","2045","4430","971","1457","2597","3579","6136","2147.82","2213.3","102","12782","2045","2045"
"1999","35-65 y.","2325.32","2045","6971","1074","1534","2812","3732","6647","2298.14","2352.5","235","12782","2096","2163"
"1999","66 and older","1609.55","1483","1739","767","1023","1994","2556","4320","1570.37","1648.73","184","6647","1534","1585"
"2000","16-34 y.","2187.75","2045","6738","971","1432","2659","3579","6136","2160.41","2215.09","0","12782","2045","2147"
"2000","35-65 y.","2370.27","2147","12462","1074","1534","2914","3835","6647","2348.73","2391.81","51","12782","2199","2301"
"2000","66 and older","1683.29","1534","3366","767","1023","2045","2659","5113","1644.77","1721.81","146","25565","1534","1544"
"2001","16-34 y.","2238.06","2045","5998","1023","1467","2812","3579","6125","2207.97","2268.15","0","21474","2147","2219"
"2001","35-65 y.","2420.69","2219","11603","1125","1534","3017","3937","6647","2397.07","2444.31","28","23008","2301","2301"
"2001","66 and older","1703.32","1534","3244","818","1104","2045","2710","5113","1667.95","1738.69","307","23008","1585","1636"
"2002","16-34 y.","2259.9","2050","5849","965","1500","2800","3500","7200","2214.93","2304.87","10","40000","2300","2400"
"2002","35-65 y.","2465.3","2200","12639","1090","1500","3000","3700","8000","2423.2","2507.4","10","60000","2500","2600"
"2002","66 and older","1761.59","1533.6","3435","800","1100","2100","2800","5000","1686.61","1836.57","230","65000","1700","1800"
"2003","16-34 y.","2322.66","2100","5556","999","1450","2860","3800","7000","2268.71","2376.61","190","85000","2350","2400"
"2003","35-65 y.","2524.26","2300","12015","1100","1600","3000","4000","8000","2485.19","2563.33","0","85000","2500","2600"
"2003","66 and older","1820.13","1600","3482","800","1150","2200","3000","5300","1764.36","1875.9","250","40000","1770","1800"
"2004","16-34 y.","2328.72","2100","5381","948","1500","2900","3715","7000","2281.46","2375.98","0","55000","2360","2450"
"2004","35-65 y.","2543.87","2250","11598","1100","1600","3000","4000","8000","2497.79","2589.95","0","99999","2600","2600"
"2004","66 and older","1830.79","1600","3620","855","1170","2200","3000","5500","1778.01","1883.57","20","30000","1800","1820"
"2005","16-34 y.","2315.81","2100","5096","950","1500","2943","3800","6800","2272.4","2359.22","150","16454","2300","2400"
"2005","35-65 y.","2533.49","2300","11062","1100","1600","3000","4000","8000","2498.78","2568.2","0","35000","2600","2680"
"2005","66 and older","1860.33","1600","3614","900","1200","2200","3000","5700","1802.81","1917.85","220","35000","1800","1800"
"2006","16-34 y.","2328.15","2000","5164","947","1450","2900","3800","7700","2280.33","2375.97","0","35000","2300","2400"
"2006","35-65 y.","2589.93","2300","11632","1077","1580","3100","4200","8000","2554.99","2624.87","0","35000","2580","2600"
"2006","66 and older","1850.89","1600","4173","860","1200","2200","3000","5500","1801.71","1900.07","177","30000","1750","1800"
"2007","16-34 y.","2365.61","2155","4850","936","1500","3000","4000","6900","2318.25","2412.97","100","25000","2308","2408"
"2007","35-65 y.","2636.08","2400","10892","1065","1600","3200","4500","8000","2599.08","2673.08","0","42667","2650","2700"
"2007","66 and older","1889.38","1630","4171","874","1200","2200","3000","6000","1837.69","1941.07","280","42667","1800","1836"
"2008","16-34 y.","2445.35","2200","4380","950","1500","3000","4000","7000","2390.58","2500.12","100","35000","2400","2500"
"2008","35-65 y.","2705.47","2500","10082","1090","1600","3300","4500","8000","2658.62","2752.32","0","99999","2750","2800"
"2008","66 and older","1905.12","1700","4123","900","1200","2230","3000","6100","1858.87","1951.37","300","20000","1800","1883"
"2009","16-34 y.","2535.26","2363.68","4045","1000","1600","3200","4100","7000","2479.11","2591.41","150","28700","2500","2500"
"2009","35-65 y.","2761.35","2500","9399","1100","1700","3500","4500","8000","2721.81","2800.89","0","30000","2800","2800"
"2009","66 and older","1930.34","1700","4007","900","1217","2300","3000","6000","1881.9","1978.78","260","30000","1800","1900"
"2010","16-34 y.","2582.71","2350","6572","1000","1500","3300","4300","8000","2541.43","2623.99","0","26800","2300","2400"
"2010","35-65 y.","2837.59","2500","12621","1140","1700","3500","4800","9000","2801.99","2873.19","0","35000","2684","2750"
"2010","66 and older","2015.51","1783.73","3813","950","1257","2400","3220","7000","1967.8","2063.22","266","20000","1900","2000"
"2011","16-34 y.","2697.42","2500","7051","1000","1576","3500","4500","8500","2657.54","2737.3","40","35000","2500","2500"
"2011","35-65 y.","2900.38","2600","15722","1100","1770","3600","5000","8500","2867.93","2932.83","80","55000","2800","2800"
"2011","66 and older","2008.28","1770","4964","939","1257","2400","3200","6500","1967.3","2049.26","96","20000","1900","1975"
"2012","16-34 y.","2798.21","2500","6636","1055","1700","3600","4800","8200","2753.06","2843.36","0","36500","2500","2500"
"2012","35-65 y.","2984.9","2650","15426","1200","1800","3784","5000","9000","2934.38","3035.42","0","2e+05","2800","2900"
"2012","66 and older","2079.53","1800","4980","998","1300","2500","3400","6500","2037.94","2121.12","96","30000","1998","2000"
"2013","16-34 y.","2813.69","2500","8046","1000","1600","3538","5000","8000","2774.41","2852.97","0","37000","2500","2500"
"2013","35-65 y.","3019.18","2700","16964","1180","1800","3800","5000","8680","2986.81","3051.55","0","70000","2800","2900"
"2013","66 and older","2119.02","1900","4873","1000","1400","2500","3400","6500","2077.03","2161.01","270","28200","2000","2000"
"2014","16-34 y.","2905.2","2600","6883","1000","1700","3800","5000","8900","2865.11","2945.29","150","29000","2600","2700"
"2014","35-65 y.","3132.13","2800","14985","1200","1868","4000","5100","9500","3096.48","3167.78","205","65000","3000","3000"
"2014","66 and older","2176.03","1900","4797","1000","1361","2540","3500","7000","2131.22","2220.84","158","29000","2000","2078"
