"year","age_gr","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Full Time","1602.51","1534","2122","818","1023","1892","2556","4090","1559.31","1645.71","8","30790","1483","1534"
"1984","16-34 y.","Not Working","1482","1278","1417","562","920","1790","2556","5113","1428.68","1535.32","0","16873","1202","1278"
"1984","16-34 y.","Part Time","1453.34","1329.19","852","614","1023","1790","2250","3579","1379.85","1526.83","77","16873","1278","1432"
"1984","35-65 y.","Full Time","1671.13","1534","3240","920","1125","2045","2556","4090","1634.04","1708.22","8","30790","1534","1534"
"1984","35-65 y.","Not Working","1358.28","1176","1845","614","864","1636","2301","4090","1306.37","1410.19","8","30790","1125","1227"
"1984","35-65 y.","Part Time","1641.29","1534","896","818","1074","1994","2556","5113","1585","1697.58","102","12036","1432","1534"
"1984","66 and older","Full Time","","","","","","","","","","","","","",""
"1984","66 and older","Not Working","1046.68","842","1128","456","562","1176","1636","3068","937.27","1156.09","86","42028","869","920"
"1984","66 and older","Part Time","1108.6","956.35","39","486","614","1534","2045","3262","882.28","1334.92","189","3262","726","1534"
"1985","16-34 y.","Full Time","1617.63","1534","1847","818","1023","1892","2556","4090","1566.25","1669.01","0","30678","1534","1534"
"1985","16-34 y.","Not Working","1517.51","1329","1300","527","946","1892","2505","4090","1453.92","1581.1","0","30678","1278","1344"
"1985","16-34 y.","Part Time","1537.67","1432","847","614","972","1841","2556","4274","1450.63","1624.71","26","30678","1432","1534"
"1985","35-65 y.","Full Time","1737.16","1534","2851","920","1176","2045","2556","4295","1697.35","1776.97","0","30678","1534","1585"
"1985","35-65 y.","Not Working","1342.66","1176","1699","614","869","1636","2147","3835","1306.28","1379.04","0","10737","1176","1278"
"1985","35-65 y.","Part Time","1663.64","1534","904","767","1043","2045","2556","4602","1582.65","1744.63","153","30678","1483","1534"
"1985","66 and older","Full Time","","","","","","","","","","","","","",""
"1985","66 and older","Not Working","1022.25","869","991","454","614","1227","1652","3323","951.84","1092.66","87","30678","920","1023"
"1985","66 and older","Part Time","","","","","","","","","","","","","",""
"1986","16-34 y.","Full Time","1663.64","1534","1877","818","1079","2045","2556","4193","1624.89","1702.39","26","20452","1534","1636"
"1986","16-34 y.","Not Working","1563.53","1329","1188","665","997","1994","2556","5113","1501.89","1625.17","0","20452","1278","1411"
"1986","16-34 y.","Part Time","1589.66","1534","841","665","1023","2020","2556","4295","1535.99","1643.33","77","5624","1534","1559"
