"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direct migration background","Rural Area","1374.77","1278","332","716","920","1738","2147","4090","1313.42","1436.12","205","4090","1483","1534"
"1985","direct migration background","Urban Area","1413.04","1278","2520","703","946","1790","2147","3656","1373.21","1452.87","0","26076","1329","1432"
"1985","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1985","indirect migration background","Urban Area","1338.56","1250.31","118","707","869","1738","2045","2812","1221.08","1456.04","460","3426","1278","1687"
"1985","no migration background","Rural Area","1416.01","1304","1784","608","920","1790","2311","3579","1382.54","1449.48","205","6136","1329","1457"
"1985","no migration background","Urban Area","1520.33","1329","5710","614","920","1841","2556","4193","1487.44","1553.22","0","30678","1432","1483"
"1986","direct migration background","Rural Area","1456.22","1278","341","665","989","1790","2186","5113","1375.53","1536.91","205","5113","1329","1534"
"1986","direct migration background","Urban Area","1470.01","1380","2423","665","978","1841","2301","3835","1439.98","1500.04","0","13549","1483","1534"
"1986","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1986","indirect migration background","Urban Area","1309.27","1180.8","131","614","767","1790","2045","3068","1186.04","1432.5","409","3584","1355","1738"
"1986","no migration background","Rural Area","1542.26","1380","1718","614","920","1892","2454","4090","1441.71","1642.81","68","49190","1432","1534"
"1986","no migration background","Urban Area","1581.07","1386","5485","665","971","1994","2556","4602","1545.18","1616.96","0","40903","1534","1534"
"1987","direct migration background","Rural Area","1476.56","1386.47","348","695","1023","1790","2352","4346","1377.28","1575.84","230","6902","1432","1636"
"1987","direct migration background","Urban Area","1541.77","1483","2420","767","1023","1892","2454","3732","1506.57","1576.97","0","12782","1534","1554"
"1987","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1987","indirect migration background","Urban Area","1549.88","1440.08","144","723","1023","1841","2199","3732","1358.45","1741.31","197","12782","1483","1738"
"1987","no migration background","Rural Area","1585.85","1432","1681","690","1002","1994","2556","4193","1543.81","1627.89","51","10226","1534","1534"
"1987","no migration background","Urban Area","1611.89","1432","5440","665","997","2045","2556","5113","1577.88","1645.9","0","33234","1534","1534"
"1988","direct migration background","Rural Area","1481.9","1424.07","310","634","971","1866","2556","3068","1408.16","1555.64","230","3323","1473","1626"
"1988","direct migration background","Urban Area","1551.29","1432","2303","767","1023","1943","2352","3835","1516.49","1586.09","153","17384","1534","1585"
"1988","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1988","indirect migration background","Urban Area","1439.25","1278","190","767","1023","1790","2301","3477","1338.72","1539.78","197","3963","1483","1636"
"1988","no migration background","Rural Area","1570.48","1507.66","1581","662","997","2004","2608","4244","1530.88","1610.08","51","7669","1534","1585"
"1988","no migration background","Urban Area","1667.49","1534","5204","680","1023","2045","2710","5113","1630.81","1704.17","0","35790","1534","1636"
"1989","direct migration background","Rural Area","1603.59","1483","306","757","1074","1953","2556","5113","1513.67","1693.51","363","5113","1534","1790"
"1989","direct migration background","Urban Area","1639.65","1534","2230","809","1074","2045","2556","4499","1606.85","1672.45","240","6647","1611","1687"
"1989","indirect migration background","Rural Area","1640.44","1529.06","32","1023","1380","2045","2301","3937","1368.11","1912.77","662","3937","1527","2199"
"1989","indirect migration background","Urban Area","1633.37","1468.37","219","946","1125","2045","2556","5113","1508.81","1757.93","201","5880","1544","1790"
"1989","no migration background","Rural Area","1656.79","1534","1513","668","1023","2045","2863","4602","1601.15","1712.43","0","20452","1534","1636"
"1989","no migration background","Urban Area","1721.46","1534","5025","741","1048","2111","2812","4857","1690.16","1752.76","92","33234","1636","1687"
"1990","direct migration background","Rural Area","1445.65","1278","401","511","869","1820","2301","3758","1290.32","1600.98","153","20452","1432","1687"
"1990","direct migration background","Urban Area","1693.19","1534","2229","805","1074","2045","2710","4602","1656.04","1730.34","161","12271","1636","1738"
"1990","indirect migration background","Rural Area","1733.14","1530.99","38","1125","1176","2045","3221","3835","1404.85","2061.43","562","4944","1534","2347"
"1990","indirect migration background","Urban Area","1764.23","1636","253","920","1176","2199","2812","5113","1645.44","1883.02","208","5573","1790","1943"
"1990","no migration background","Rural Area","1363.77","1150","4179","511","777","1738","2454","4141","1341.11","1386.43","0","8692","1023","1074"
"1990","no migration background","Urban Area","1733.52","1534","6342","665","1023","2163","2905","5113","1695.85","1771.19","0","38347","1521","1534"
"1991","direct migration background","Rural Area","1492.22","1329","392","547","920","1841","2556","4791","1401.55","1582.89","253","5113","1432","1585"
"1991","direct migration background","Urban Area","1771.09","1636","2169","818","1176","2147","2812","4602","1734.01","1808.17","210","7669","1774","1790"
"1991","indirect migration background","Rural Area","1892.51","1738","41","997","1125","2454","2965","5113","1558.11","2226.91","374","5113","1713","2454"
"1991","indirect migration background","Urban Area","1810.53","1636","289","971","1278","2199","2884","4602","1705.51","1915.55","220","5328","1790","2045"
"1991","no migration background","Rural Area","1449.59","1278","4091","608","869","1892","2556","3681","1427.12","1472.06","77","5624","1227","1278"
"1991","no migration background","Urban Area","1788.88","1569","6106","716","1044","2301","3068","5113","1763.02","1814.74","102","10226","1585","1655"
"1992","direct migration background","Rural Area","1515.16","1520.55","391","665","1023","2045","2454","3334","1432.3","1598.02","245","5113","1534","1790"
"1992","direct migration background","Urban Area","1854.15","1738","2100","920","1227","2301","2863","5113","1814.82","1893.48","0","10226","1790","1841"
"1992","indirect migration background","Rural Area","1682.09","1534","54","614","1023","2096","2863","4755","1399.33","1964.85","486","5113","1534","2045"
"1992","indirect migration background","Urban Area","1927.98","1790","339","916","1278","2490","2914","5113","1834.6","2021.36","205","5624","1841","2045"
"1992","no migration background","Rural Area","1608.44","1432","3891","653","971","2045","2659","4857","1583.24","1633.64","128","6713","1432","1534"
"1992","no migration background","Urban Area","1872.14","1687","6057","767","1125","2352","3068","5113","1846.2","1898.08","179","10737","1738","1790"
"1993","direct migration background","Rural Area","1664.85","1534","390","736","1023","2250","2608","3579","1572.95","1756.75","231","5987","1534","1759"
"1993","direct migration background","Urban Area","1912.9","1738","2015","920","1278","2301","3068","5113","1870.76","1955.04","291","15339","1790","1887"
"1993","indirect migration background","Rural Area","1773.1","1687","67","767","1329","2301","2710","4530","1521.44","2024.76","513","5987","1687","2224"
"1993","indirect migration background","Urban Area","2034.99","1841","384","1023","1432","2556","3293","5113","1942.34","2127.64","256","6442","1892","2045"
"1993","no migration background","Rural Area","1731.35","1534","3793","716","1023","2188","3068","4499","1699.89","1762.81","26","21474","1585","1687"
"1993","no migration background","Urban Area","1984.5","1790","6037","818","1227","2556","3323","5466","1957.08","2011.92","153","15339","1843","1943"
"1994","direct migration background","Rural Area","1705.73","1534","366","716","1023","2301","3119","4090","1613.7","1797.76","153","5287","1636","1820"
"1994","direct migration background","Urban Area","1925.94","1790","1913","910","1278","2301","3068","5113","1881.32","1970.56","219","15339","1790","1851"
"1994","indirect migration background","Rural Area","1820.35","1859.74","67","854","1278","2122","2761","3681","1611.25","2029.45","542","5287","1820","2301"
"1994","indirect migration background","Urban Area","2033.17","1822.76","405","920","1329","2556","3221","5011","1938.97","2127.37","153","6136","1917","2096"
"1994","no migration background","Rural Area","1791.73","1585","3754","767","1125","2250","2965","4602","1761.26","1822.2","102","15339","1687","1790"
"1994","no migration background","Urban Area","2030.53","1841","5966","854","1278","2556","3477","5123","2002.44","2058.62","153","15339","1943","2014"
"1995","direct migration background","Rural Area","1915.68","1534","443","767","1074","2250","3068","16361","1813.67","2017.69","319","16361","1534","1738"
"1995","direct migration background","Urban Area","1906.18","1683.68","2232","859","1227","2301","3068","5113","1862.63","1949.73","245","16873","1790","1892"
"1995","indirect migration background","Rural Area","1923.12","1954.38","67","971","1329","2454","2812","5113","1685.62","2160.62","460","5113","1790","2326"
"1995","indirect migration background","Urban Area","2063.3","1841","409","971","1278","2556","3579","5113","1964.62","2161.98","383","5624","1943","2045"
"1995","no migration background","Rural Area","1931.36","1790","3772","828","1253","2403","3068","5113","1899.07","1963.65","72","17895","1790","1871"
"1995","no migration background","Urban Area","2102.73","1892","5809","920","1278","2556","3477","5725","2071.59","2133.87","205","23008","1994","2045"
"1996","direct migration background","Rural Area","1895.46","1559","433","767","1103","2454","3068","8181","1763.64","2027.28","256","17895","1636","1790"
"1996","direct migration background","Urban Area","1919.53","1687","2053","869","1278","2301","3119","5113","1878.47","1960.59","220","10226","1790","1892"
"1996","indirect migration background","Rural Area","2101.08","2045","82","1023","1534","2812","2965","3732","1931.34","2270.82","307","3732","1989","2608"
"1996","indirect migration background","Urban Area","2060.98","2045","437","1023","1380","2556","3221","4602","1974.65","2147.31","307","5726","1959","2147"
