"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","Female","1342.55","1251.44","1084","511","767","1790","2301","3579","1300.14","1384.96","205","6136","1280","1432"
"1985","Rural Area","Male","1490.66","1380","1048","721","1023","1841","2423","4090","1449.43","1531.89","205","6136","1380","1534"
"1985","Urban Area","Female","1431.62","1278","4236","542","843","1790","2403","4090","1393.38","1469.86","0","30678","1329","1432"
"1985","Urban Area","Male","1593.07","1432","4112","767","1023","1943","2556","4090","1559.26","1626.88","0","30678","1434","1534"
"1986","Rural Area","Female","1475.04","1304","1061","562","818","1841","2420","3579","1342.41","1607.67","68","49190","1380","1534"
"1986","Rural Area","Male","1607.62","1432","1016","767","1023","1994","2556","4090","1504.77","1710.47","194","49190","1432","1534"
"1986","Urban Area","Female","1476.54","1278","4034","585","869","1841","2505","4295","1440.55","1512.53","0","40903","1432","1534"
"1986","Urban Area","Male","1665.86","1534","4005","805","1023","2045","2556","4704","1627.79","1703.93","0","40903","1534","1534"
"1987","Rural Area","Female","1501.27","1380","1049","614","869","1892","2505","3850","1448.24","1554.3","102","10226","1473","1534"
"1987","Rural Area","Male","1663.94","1534","1000","767","1074","2045","2710","4346","1608.13","1719.75","51","10226","1534","1636"
"1987","Urban Area","Female","1516.86","1329","4018","608","885","1892","2556","4944","1480.24","1553.48","0","33234","1483","1534"
"1987","Urban Area","Male","1698.93","1534","3986","818","1074","2045","2556","5113","1662.98","1734.88","0","33234","1534","1636"
"1988","Rural Area","Female","1487.12","1401","974","614","920","1892","2556","3988","1439.99","1534.25","51","5113","1508","1534"
"1988","Rural Area","Male","1651.41","1534","942","767","1023","2045","2710","4428","1599.88","1702.94","115","7669","1534","1636"
"1988","Urban Area","Female","1551.72","1380","3869","614","920","1994","2556","4602","1514.21","1589.23","26","35790","1534","1534"
"1988","Urban Area","Male","1762.64","1534","3828","839","1125","2045","2741","5113","1723.75","1801.53","0","35790","1611","1662"
"1989","Rural Area","Female","1562.58","1432","932","614","920","1953","2659","4256","1495.13","1630.03","0","20452","1534","1585"
"1989","Rural Area","Male","1748.69","1534","919","767","1125","2088","2914","4707","1680.43","1816.95","0","20452","1585","1738"
"1989","Urban Area","Female","1610.34","1432","3785","623","961","2045","2710","4602","1577.43","1643.25","92","33234","1534","1636"
"1989","Urban Area","Male","1820.73","1636","3689","920","1227","2199","2863","5113","1787.27","1854.19","153","33234","1687","1790"
