"plh0039","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","2008","Couple + C. LE and GT 16","(1c) basic vocational qualification","87","0.459434978360131","0.391871663943462","0.526998292776799"
"Big worries","2008","Couple + C. LE and GT 16","(2b) intermediate general qualification","28","","",""
"Big worries","2008","Couple + C. LE and GT 16","(2a) intermediate vocational","79","0.239385383998244","0.189845291912516","0.288925476083973"
"Big worries","2008","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","11","","",""
"Big worries","2008","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","22","","",""
"Big worries","2008","Couple + C. LE and GT 16","(3a) lower tertiary education","19","","",""
"Big worries","2008","Couple + C. LE and GT 16","(3b) higher tertiary education","31","0.230575267086607","0.157320538777875","0.303829995395339"
"Some worries","2008","1-pers.-HH","(0) in school","1","","",""
"Some worries","2008","1-pers.-HH","(1a) inadequately completed","14","","",""
"Some worries","2008","1-pers.-HH","(1b) general elementary school","163","0.470505435880585","0.419017252917096","0.521993618844073"
"Some worries","2008","1-pers.-HH","(1c) basic vocational qualification","393","0.439322396984484","0.406897760748377","0.47174703322059"
"Some worries","2008","1-pers.-HH","(2b) intermediate general qualification","23","","",""
"Some worries","2008","1-pers.-HH","(2a) intermediate vocational","282","0.452856605904415","0.414619190387685","0.491094021421145"
"Some worries","2008","1-pers.-HH","(2c_gen) general maturity certificate","71","0.537746650960194","0.453013928430848","0.622479373489539"
"Some worries","2008","1-pers.-HH","(2c_voc) vocational maturity certificate","121","0.489666057895099","0.425888289784986","0.553443826005213"
"Some worries","2008","1-pers.-HH","(3a) lower tertiary education","124","0.477694365196227","0.415776567412747","0.539612162979706"
"Some worries","2008","1-pers.-HH","(3b) higher tertiary education","183","0.485402494431034","0.434269656275448","0.53653533258662"
"Some worries","2008","(Married) couple without C. ","(0) in school","","","",""
"Some worries","2008","(Married) couple without C. ","(1a) inadequately completed","33","0.40281814049976","0.293268604615454","0.512367676384065"
"Some worries","2008","(Married) couple without C. ","(1b) general elementary school","245","0.436235797619074","0.394600733454956","0.477870861783192"
"Some worries","2008","(Married) couple without C. ","(1c) basic vocational qualification","1068","0.448954354340969","0.429084031313349","0.46882467736859"
"Some worries","2008","(Married) couple without C. ","(2b) intermediate general qualification","31","0.294638300081183","0.193468398622078","0.395808201540287"
"Some worries","2008","(Married) couple without C. ","(2a) intermediate vocational","733","0.483178838934627","0.458285296103751","0.508072381765503"
"Some worries","2008","(Married) couple without C. ","(2c_gen) general maturity certificate","63","0.555987445839191","0.470904491659209","0.641070400019173"
"Some worries","2008","(Married) couple without C. ","(2c_voc) vocational maturity certificate","230","0.534281260274327","0.487459075550076","0.581103444998578"
"Some worries","2008","(Married) couple without C. ","(3a) lower tertiary education","354","0.434729090014007","0.398964143547203","0.47049403648081"
"Some worries","2008","(Married) couple without C. ","(3b) higher tertiary education","606","0.58886908232715","0.55905086374321","0.61868730091109"
"Some worries","2008","Single parent ","(0) in school","36","0.561074042218674","0.434446608223927","0.68770147621342"
"Some worries","2008","Single parent ","(1a) inadequately completed","4","","",""
"Some worries","2008","Single parent ","(1b) general elementary school","60","0.446543504741902","0.360420982806735","0.53266602667707"
"Some worries","2008","Single parent ","(1c) basic vocational qualification","105","0.416972309823068","0.351370409108768","0.482574210537369"
"Some worries","2008","Single parent ","(2b) intermediate general qualification","27","","",""
"Some worries","2008","Single parent ","(2a) intermediate vocational","138","0.496048925341835","0.435622533700238","0.556475316983432"
"Some worries","2008","Single parent ","(2c_gen) general maturity certificate","45","0.695194365524327","0.589597438939576","0.800791292109078"
"Some worries","2008","Single parent ","(2c_voc) vocational maturity certificate","33","0.528413270540363","0.399943265862839","0.656883275217887"
"Some worries","2008","Single parent ","(3a) lower tertiary education","33","0.436057451946474","0.318192978012298","0.553921925880649"
"Some worries","2008","Single parent ","(3b) higher tertiary education","46","0.609779674508345","0.504199450204467","0.715359898812223"
"Some worries","2008","Couple + C. LE 16 ","(0) in school","1","","",""
"Some worries","2008","Couple + C. LE 16 ","(1a) inadequately completed","17","","",""
"Some worries","2008","Couple + C. LE 16 ","(1b) general elementary school","61","0.407342997346129","0.329992327420129","0.48469366727213"
"Some worries","2008","Couple + C. LE 16 ","(1c) basic vocational qualification","325","0.490013383814051","0.45110109088745","0.528925676740653"
"Some worries","2008","Couple + C. LE 16 ","(2b) intermediate general qualification","22","","",""
"Some worries","2008","Couple + C. LE 16 ","(2a) intermediate vocational","553","0.539166443634515","0.508798779231352","0.569534108037678"
"Some worries","2008","Couple + C. LE 16 ","(2c_gen) general maturity certificate","38","0.447220971855504","0.333936837430018","0.56050510628099"
"Some worries","2008","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","225","0.56854749131755","0.520953590770182","0.616141391864919"
"Some worries","2008","Couple + C. LE 16 ","(3a) lower tertiary education","165","0.579489669158629","0.520499025497288","0.638480312819969"
"Some worries","2008","Couple + C. LE 16 ","(3b) higher tertiary education","282","0.561578160236728","0.518344298676574","0.604812021796882"
"Some worries","2008","Couple + C. GT 16 ","(0) in school","89","0.475115105894846","0.397493792798496","0.552736418991196"
"Some worries","2008","Couple + C. GT 16 ","(1a) inadequately completed","8","","",""
"Some worries","2008","Couple + C. GT 16 ","(1b) general elementary school","116","0.428362885851293","0.365887967585385","0.490837804117201"
"Some worries","2008","Couple + C. GT 16 ","(1c) basic vocational qualification","380","0.490240755187748","0.454769783657502","0.525711726717994"
"Some worries","2008","Couple + C. GT 16 ","(2b) intermediate general qualification","86","0.498096560741732","0.420133944446476","0.576059177036989"
"Some worries","2008","Couple + C. GT 16 ","(2a) intermediate vocational","417","0.552754281116896","0.517680822475637","0.587827739758155"
"Some worries","2008","Couple + C. GT 16 ","(2c_gen) general maturity certificate","164","0.638804648495172","0.579021695860986","0.698587601129357"
"Some worries","2008","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","112","0.604825691292821","0.535492550569095","0.674158832016548"
"Some worries","2008","Couple + C. GT 16 ","(3a) lower tertiary education","112","0.586970283576351","0.521001281976119","0.652939285176583"
"Some worries","2008","Couple + C. GT 16 ","(3b) higher tertiary education","215","0.54644477548814","0.497099231805735","0.595790319170544"
"Some worries","2008","Couple + C. LE and GT 16","(0) in school","67","0.506645822711111","0.42103196211103","0.592259683311191"
"Some worries","2008","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"Some worries","2008","Couple + C. LE and GT 16","(1b) general elementary school","38","0.426791724845464","0.319078308052267","0.534505141638661"
"Some worries","2008","Couple + C. LE and GT 16","(1c) basic vocational qualification","95","0.404478280247223","0.337940033435141","0.471016527059305"
"Some worries","2008","Couple + C. LE and GT 16","(2b) intermediate general qualification","35","0.634196348936999","0.521363654896768","0.74702904297723"
"Some worries","2008","Couple + C. LE and GT 16","(2a) intermediate vocational","166","0.595696860933488","0.538720871809229","0.652672850057746"
"Some worries","2008","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","38","0.790462268860604","0.686615311623018","0.894309226098191"
"Some worries","2008","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","54","0.638119532224366","0.537142627197547","0.739096437251185"
"Some worries","2008","Couple + C. LE and GT 16","(3a) lower tertiary education","45","0.493979571958566","0.388313056758393","0.599646087158739"
"Some worries","2008","Couple + C. LE and GT 16","(3b) higher tertiary education","78","0.662223859566158","0.579968704188441","0.744479014943875"
"No worries","2008","1-pers.-HH","(0) in school","2","","",""
"No worries","2008","1-pers.-HH","(1a) inadequately completed","4","","",""
"No worries","2008","1-pers.-HH","(1b) general elementary school","57","0.140824524702002","0.104942695630372","0.176706353773633"
"No worries","2008","1-pers.-HH","(1c) basic vocational qualification","121","0.138328300801206","0.115772758566809","0.160883843035602"
"No worries","2008","1-pers.-HH","(2b) intermediate general qualification","6","","",""
"No worries","2008","1-pers.-HH","(2a) intermediate vocational","104","0.152515114365816","0.124897890529656","0.180132338201975"
"No worries","2008","1-pers.-HH","(2c_gen) general maturity certificate","32","0.286220987100017","0.209404419919613","0.36303755428042"
"No worries","2008","1-pers.-HH","(2c_voc) vocational maturity certificate","25","","",""
"No worries","2008","1-pers.-HH","(3a) lower tertiary education","55","0.204219044717752","0.154247476642619","0.254190612792885"
"No worries","2008","1-pers.-HH","(3b) higher tertiary education","74","0.231810676673043","0.188637310669757","0.274984042676328"
"No worries","2008","(Married) couple without C. ","(0) in school","","","",""
"No worries","2008","(Married) couple without C. ","(1a) inadequately completed","15","","",""
"No worries","2008","(Married) couple without C. ","(1b) general elementary school","58","0.105250270689957","0.0794863331006552","0.131014208279258"
"No worries","2008","(Married) couple without C. ","(1c) basic vocational qualification","215","0.0725162633718948","0.0621557588120566","0.082876767931733"
"No worries","2008","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"No worries","2008","(Married) couple without C. ","(2a) intermediate vocational","186","0.11001647976503","0.0944287643747067","0.125604195155354"
"No worries","2008","(Married) couple without C. ","(2c_gen) general maturity certificate","32","0.169096373704439","0.104908215039341","0.233284532369537"
"No worries","2008","(Married) couple without C. ","(2c_voc) vocational maturity certificate","67","0.166954559130747","0.131948894005099","0.201960224256395"
"No worries","2008","(Married) couple without C. ","(3a) lower tertiary education","93","0.170668210262932","0.143525051701769","0.197811368824096"
"No worries","2008","(Married) couple without C. ","(3b) higher tertiary education","163","0.166526088760956","0.143948924388619","0.189103253133292"
"No worries","2008","Single parent ","(0) in school","11","","",""
"No worries","2008","Single parent ","(1a) inadequately completed","4","","",""
"No worries","2008","Single parent ","(1b) general elementary school","12","","",""
"No worries","2008","Single parent ","(1c) basic vocational qualification","40","0.225348823585744","0.169758530458253","0.280939116713236"
"No worries","2008","Single parent ","(2b) intermediate general qualification","21","","",""
"No worries","2008","Single parent ","(2a) intermediate vocational","37","0.167689972721176","0.12253908149174","0.212840863950612"
"No worries","2008","Single parent ","(2c_gen) general maturity certificate","14","","",""
"No worries","2008","Single parent ","(2c_voc) vocational maturity certificate","10","","",""
"No worries","2008","Single parent ","(3a) lower tertiary education","15","","",""
"No worries","2008","Single parent ","(3b) higher tertiary education","19","","",""
"No worries","2008","Couple + C. LE 16 ","(0) in school","","","",""
"No worries","2008","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"No worries","2008","Couple + C. LE 16 ","(1b) general elementary school","32","0.230519719714487","0.16421643707547","0.296823002353504"
"No worries","2008","Couple + C. LE 16 ","(1c) basic vocational qualification","74","0.118549060650061","0.0933866878141349","0.143711433485986"
"No worries","2008","Couple + C. LE 16 ","(2b) intermediate general qualification","11","","",""
"No worries","2008","Couple + C. LE 16 ","(2a) intermediate vocational","126","0.115505547891929","0.0960328155243127","0.134978280259545"
"No worries","2008","Couple + C. LE 16 ","(2c_gen) general maturity certificate","16","","",""
"No worries","2008","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","71","0.149894803000501","0.115591886265066","0.184197719735935"
"No worries","2008","Couple + C. LE 16 ","(3a) lower tertiary education","33","0.117843064299054","0.079313252203158","0.15637287639495"
"No worries","2008","Couple + C. LE 16 ","(3b) higher tertiary education","92","0.211796473164499","0.176196359755673","0.247396586573324"
"No worries","2008","Couple + C. GT 16 ","(0) in school","25","","",""
"No worries","2008","Couple + C. GT 16 ","(1a) inadequately completed","6","","",""
"No worries","2008","Couple + C. GT 16 ","(1b) general elementary school","36","0.169132046666583","0.121804005929117","0.21646008740405"
"No worries","2008","Couple + C. GT 16 ","(1c) basic vocational qualification","96","0.107700315448148","0.0857040131594861","0.12969661773681"
"No worries","2008","Couple + C. GT 16 ","(2b) intermediate general qualification","31","0.235643786779932","0.169468559093946","0.301819014465919"
"No worries","2008","Couple + C. GT 16 ","(2a) intermediate vocational","117","0.15652483542162","0.130893736981685","0.182155933861555"
"No worries","2008","Couple + C. GT 16 ","(2c_gen) general maturity certificate","37","0.129405216286923","0.087631205702694","0.171179226871153"
"No worries","2008","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","23","","",""
"No worries","2008","Couple + C. GT 16 ","(3a) lower tertiary education","38","0.151653881051623","0.103597118800865","0.19971064330238"
"No worries","2008","Couple + C. GT 16 ","(3b) higher tertiary education","58","0.167703434421783","0.130672067612983","0.204734801230584"
"No worries","2008","Couple + C. LE and GT 16","(0) in school","30","0.152063135229132","0.0905728975205879","0.213553372937676"
"No worries","2008","Couple + C. LE and GT 16","(1a) inadequately completed","5","","",""
"No worries","2008","Couple + C. LE and GT 16","(1b) general elementary school","14","","",""
"No worries","2008","Couple + C. LE and GT 16","(1c) basic vocational qualification","27","","",""
"No worries","2008","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"No worries","2008","Couple + C. LE and GT 16","(2a) intermediate vocational","40","0.164917755068268","0.121832963804901","0.208002546331635"
"No worries","2008","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","10","","",""
"No worries","2008","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","11","","",""
"No worries","2008","Couple + C. LE and GT 16","(3a) lower tertiary education","22","","",""
"No worries","2008","Couple + C. LE and GT 16","(3b) higher tertiary education","18","","",""
"Big worries","2009","1-pers.-HH","(0) in school","","","",""
"Big worries","2009","1-pers.-HH","(1a) inadequately completed","9","","",""
"Big worries","2009","1-pers.-HH","(1b) general elementary school","148","0.437909168339348","0.385932392235871","0.489885944442825"
"Big worries","2009","1-pers.-HH","(1c) basic vocational qualification","368","0.440416726961259","0.407062753752084","0.473770700170433"
"Big worries","2009","1-pers.-HH","(2b) intermediate general qualification","14","","",""
"Big worries","2009","1-pers.-HH","(2a) intermediate vocational","225","0.363972847017177","0.326039062336749","0.401906631697606"
"Big worries","2009","1-pers.-HH","(2c_gen) general maturity certificate","20","","",""
"Big worries","2009","1-pers.-HH","(2c_voc) vocational maturity certificate","73","0.401345984398558","0.333750168054309","0.468941800742808"
"Big worries","2009","1-pers.-HH","(3a) lower tertiary education","66","0.252614033884596","0.19764176317439","0.307586304594801"
"Big worries","2009","1-pers.-HH","(3b) higher tertiary education","88","0.243482674591558","0.199692328354625","0.287273020828491"
"Big worries","2009","(Married) couple without C. ","(0) in school","1","","",""
"Big worries","2009","(Married) couple without C. ","(1a) inadequately completed","29","","",""
"Big worries","2009","(Married) couple without C. ","(1b) general elementary school","191","0.433150065809488","0.38731707866103","0.478983052957945"
"Big worries","2009","(Married) couple without C. ","(1c) basic vocational qualification","1002","0.458908466856466","0.438207820055224","0.479609113657709"
"Big worries","2009","(Married) couple without C. ","(2b) intermediate general qualification","22","","",""
"Big worries","2009","(Married) couple without C. ","(2a) intermediate vocational","568","0.386027830383105","0.361283468554898","0.410772192211313"
"Big worries","2009","(Married) couple without C. ","(2c_gen) general maturity certificate","34","0.281161833097175","0.204468983889065","0.357854682305285"
"Big worries","2009","(Married) couple without C. ","(2c_voc) vocational maturity certificate","136","0.328932654793147","0.283566075800771","0.374299233785523"
"Big worries","2009","(Married) couple without C. ","(3a) lower tertiary education","248","0.37293023721892","0.337434593658661","0.408425880779178"
"Big worries","2009","(Married) couple without C. ","(3b) higher tertiary education","282","0.288996260042524","0.261245926199048","0.316746593886"
"Big worries","2009","Single parent ","(0) in school","14","","",""
"Big worries","2009","Single parent ","(1a) inadequately completed","5","","",""
"Big worries","2009","Single parent ","(1b) general elementary school","45","0.358987120429797","0.27279899760582","0.445175243253775"
"Big worries","2009","Single parent ","(1c) basic vocational qualification","65","0.357501274818847","0.28806323081887","0.426939318818825"
"Big worries","2009","Single parent ","(2b) intermediate general qualification","22","","",""
"Big worries","2009","Single parent ","(2a) intermediate vocational","78","0.378092286950533","0.318575444667914","0.437609129233151"
"Big worries","2009","Single parent ","(2c_gen) general maturity certificate","9","","",""
"Big worries","2009","Single parent ","(2c_voc) vocational maturity certificate","18","","",""
"Big worries","2009","Single parent ","(3a) lower tertiary education","21","","",""
"Big worries","2009","Single parent ","(3b) higher tertiary education","17","","",""
"Big worries","2009","Couple + C. LE 16 ","(0) in school","","","",""
"Big worries","2009","Couple + C. LE 16 ","(1a) inadequately completed","13","","",""
"Big worries","2009","Couple + C. LE 16 ","(1b) general elementary school","46","0.349198880283439","0.267564516926684","0.430833243640194"
"Big worries","2009","Couple + C. LE 16 ","(1c) basic vocational qualification","183","0.360121576003421","0.319745744390564","0.400497407616279"
"Big worries","2009","Couple + C. LE 16 ","(2b) intermediate general qualification","17","","",""
"Big worries","2009","Couple + C. LE 16 ","(2a) intermediate vocational","323","0.36033129665178","0.329786057591744","0.390876535711816"
"Big worries","2009","Couple + C. LE 16 ","(2c_gen) general maturity certificate","15","","",""
"Big worries","2009","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","91","0.243422832369622","0.199516988370076","0.287328676369168"
"Big worries","2009","Couple + C. LE 16 ","(3a) lower tertiary education","69","0.278029578877479","0.222603209239771","0.333455948515188"
"Big worries","2009","Couple + C. LE 16 ","(3b) higher tertiary education","88","0.204036604084173","0.166925866898949","0.241147341269397"
"Big worries","2009","Couple + C. GT 16 ","(0) in school","32","0.305699176252632","0.228270896355975","0.383127456149288"
"Big worries","2009","Couple + C. GT 16 ","(1a) inadequately completed","8","","",""
"Big worries","2009","Couple + C. GT 16 ","(1b) general elementary school","79","0.404441663736387","0.338839379853589","0.470043947619186"
"Big worries","2009","Couple + C. GT 16 ","(1c) basic vocational qualification","276","0.371219314679272","0.336003006881225","0.406435622477319"
"Big worries","2009","Couple + C. GT 16 ","(2b) intermediate general qualification","33","0.200478825387831","0.133922408935203","0.26703524184046"
"Big worries","2009","Couple + C. GT 16 ","(2a) intermediate vocational","231","0.339190302949065","0.304823095496688","0.373557510401443"
"Big worries","2009","Couple + C. GT 16 ","(2c_gen) general maturity certificate","51","0.246437513177945","0.190744948592916","0.302130077762974"
"Big worries","2009","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","57","0.306508215316813","0.240250975637674","0.372765454995953"
"Big worries","2009","Couple + C. GT 16 ","(3a) lower tertiary education","54","0.201614170547867","0.148477667430109","0.254750673665624"
"Big worries","2009","Couple + C. GT 16 ","(3b) higher tertiary education","97","0.275872192842931","0.229956729076209","0.321787656609654"
"Big worries","2009","Couple + C. LE and GT 16","(0) in school","23","","",""
"Big worries","2009","Couple + C. LE and GT 16","(1a) inadequately completed","2","","",""
"Big worries","2009","Couple + C. LE and GT 16","(1b) general elementary school","25","","",""
"Big worries","2009","Couple + C. LE and GT 16","(1c) basic vocational qualification","71","0.36434696564858","0.298469209058774","0.430224722238385"
"Big worries","2009","Couple + C. LE and GT 16","(2b) intermediate general qualification","22","","",""
"Big worries","2009","Couple + C. LE and GT 16","(2a) intermediate vocational","71","0.217273255401083","0.167621640720968","0.266924870081199"
"Big worries","2009","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","12","","",""
"Big worries","2009","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","22","","",""
"Big worries","2009","Couple + C. LE and GT 16","(3a) lower tertiary education","16","","",""
"Big worries","2009","Couple + C. LE and GT 16","(3b) higher tertiary education","31","0.272598580546138","0.194846559691597","0.350350601400678"
"Some worries","2009","1-pers.-HH","(0) in school","","","",""
"Some worries","2009","1-pers.-HH","(1a) inadequately completed","13","","",""
"Some worries","2009","1-pers.-HH","(1b) general elementary school","154","0.428499588588911","0.376655702565115","0.480343474612706"
"Some worries","2009","1-pers.-HH","(1c) basic vocational qualification","375","0.439302894833817","0.405957988603641","0.472647801063992"
"Some worries","2009","1-pers.-HH","(2b) intermediate general qualification","23","","",""
"Some worries","2009","1-pers.-HH","(2a) intermediate vocational","303","0.512217577686416","0.472808691052229","0.551626464320603"
"Some worries","2009","1-pers.-HH","(2c_gen) general maturity certificate","78","0.594854825415177","0.511734636497217","0.677975014333136"
"Some worries","2009","1-pers.-HH","(2c_voc) vocational maturity certificate","102","0.454773753478424","0.38610510822304","0.523442398733807"
