"plh0039","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","2008","lower secondary degree","in school","","","",""
"Big worries","2008","lower secondary degree","inadequately","","","",""
"Big worries","2008","lower secondary degree","general elemantary","521","0.41713560584941","0.390279960021087","0.443991251677732"
"Big worries","2008","lower secondary degree","middle vocational","1938","0.432431198995186","0.418045730823343","0.446816667167029"
"Big worries","2008","lower secondary degree","vocational + Abi","5","","",""
"Big worries","2008","lower secondary degree","higher vocational","180","0.475131220964178","0.427315221922574","0.522947220005782"
"Big worries","2008","lower secondary degree","higher education","79","0.494154713154775","0.42049978966161","0.56780963664794"
"Big worries","2008","secondary school degree","in school","","","",""
"Big worries","2008","secondary school degree","inadequately","","","",""
"Big worries","2008","secondary school degree","general elemantary","163","0.371105801041138","0.32784266469475","0.414368937387526"
"Big worries","2008","secondary school degree","middle vocational","1444","0.362860713019759","0.347969365523439","0.377752060516078"
"Big worries","2008","secondary school degree","vocational + Abi","15","","",""
"Big worries","2008","secondary school degree","higher vocational","228","0.375019641023975","0.336881198116507","0.413158083931444"
"Big worries","2008","secondary school degree","higher education","228","0.368194659712006","0.329888392527471","0.406500926896542"
"Big worries","2008","college entrance qualification","in school","","","",""
"Big worries","2008","college entrance qualification","inadequately","","","",""
"Big worries","2008","college entrance qualification","general elemantary","","","",""
"Big worries","2008","college entrance qualification","middle vocational","138","0.194661997355442","0.164968084926606","0.224355909784279"
"Big worries","2008","college entrance qualification","vocational + Abi","283","0.292396008402585","0.263317975670479","0.321474041134691"
"Big worries","2008","college entrance qualification","higher vocational","92","0.286759905713925","0.237053584745833","0.336466226682017"
"Big worries","2008","college entrance qualification","higher education","844","0.25461078365136","0.239519186511779","0.269702380790941"
"Big worries","2008","Other degree","in school","","","",""
"Big worries","2008","Other degree","inadequately","13","","",""
"Big worries","2008","Other degree","general elemantary","105","0.395423790152421","0.334448126129009","0.456399454175833"
"Big worries","2008","Other degree","middle vocational","138","0.438674355531408","0.384048654295468","0.493300056767348"
"Big worries","2008","Other degree","vocational + Abi","40","0.383961564027853","0.293485357670849","0.474437770384856"
"Big worries","2008","Other degree","higher vocational","22","","",""
"Big worries","2008","Other degree","higher education","75","0.348429811388129","0.278629102816832","0.418230519959427"
"Big worries","2008","no degree/no degree yet","in school","92","0.31997234034925","0.271311428136422","0.368633252562078"
"Big worries","2008","no degree/no degree yet","inadequately","53","0.399566192278347","0.320386035039852","0.478746349516843"
"Big worries","2008","no degree/no degree yet","general elemantary","","","",""
"Big worries","2008","no degree/no degree yet","middle vocational","13","","",""
"Big worries","2008","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","2008","no degree/no degree yet","higher vocational","","","",""
"Big worries","2008","no degree/no degree yet","higher education","3","","",""
"Some worries","2008","lower secondary degree","in school","","","",""
"Some worries","2008","lower secondary degree","inadequately","","","",""
"Some worries","2008","lower secondary degree","general elemantary","588","0.448817372620026","0.421728196505922","0.475906548734131"
"Some worries","2008","lower secondary degree","middle vocational","2100","0.459609870956042","0.445138668790995","0.47408107312109"
"Some worries","2008","lower secondary degree","vocational + Abi","6","","",""
"Some worries","2008","lower secondary degree","higher vocational","196","0.428518194083161","0.381134718101288","0.475901670065034"
"Some worries","2008","lower secondary degree","higher education","83","0.420542452502792","0.347818547411879","0.493266357593705"
"Some worries","2008","secondary school degree","in school","","","",""
"Some worries","2008","secondary school degree","inadequately","","","",""
"Some worries","2008","secondary school degree","general elemantary","227","0.447395145530279","0.402867132516377","0.491923158544181"
"Some worries","2008","secondary school degree","middle vocational","2021","0.506242448050373","0.490758454377065","0.521726441723682"
"Some worries","2008","secondary school degree","vocational + Abi","14","","",""
"Some worries","2008","secondary school degree","higher vocational","312","0.485378947131756","0.446006989540325","0.524750904723186"
"Some worries","2008","secondary school degree","higher education","284","0.453734663449304","0.414194155356819","0.493275171541788"
"Some worries","2008","college entrance qualification","in school","","","",""
"Some worries","2008","college entrance qualification","inadequately","","","",""
"Some worries","2008","college entrance qualification","general elemantary","","","",""
"Some worries","2008","college entrance qualification","middle vocational","401","0.600981474285463","0.564256220011602","0.637706728559324"
"Some worries","2008","college entrance qualification","vocational + Abi","514","0.567045234610944","0.53537040562346","0.598720063598429"
"Some worries","2008","college entrance qualification","higher vocational","180","0.548752979179108","0.494060180096544","0.603445778261673"
"Some worries","2008","college entrance qualification","higher education","1803","0.545357219423138","0.528107543632514","0.562606895213762"
"Some worries","2008","Other degree","in school","","","",""
"Some worries","2008","Other degree","inadequately","15","","",""
"Some worries","2008","Other degree","general elemantary","105","0.435523200409453","0.373689062498376","0.49735733832053"
"Some worries","2008","Other degree","middle vocational","148","0.447651199722839","0.392912428540461","0.502389970905216"
"Some worries","2008","Other degree","vocational + Abi","56","0.507730920083216","0.414726264953054","0.600735575213379"
"Some worries","2008","Other degree","higher vocational","23","","",""
"Some worries","2008","Other degree","higher education","83","0.533246025610467","0.460160832053819","0.606331219167115"
"Some worries","2008","no degree/no degree yet","in school","193","0.507188922381396","0.455035135400197","0.559342709362596"
