"plh0039","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","2008","Full Time","in school","","","",""
"Big worries","2008","Full Time","inadequately","11","","",""
"Big worries","2008","Full Time","general elemantary","142","0.368762622679442","0.322565930441537","0.414959314917346"
"Big worries","2008","Full Time","middle vocational","1214","0.340266066818371","0.324793229174402","0.35573890446234"
"Big worries","2008","Full Time","vocational + Abi","152","0.308421463657663","0.268495116233156","0.34834781108217"
"Big worries","2008","Full Time","higher vocational","200","0.316315923536095","0.280917853282461","0.351713993789729"
"Big worries","2008","Full Time","higher education","511","0.213837911662064","0.196482532701253","0.231193290622874"
"Big worries","2008","Part Time","in school","19","","",""
"Big worries","2008","Part Time","inadequately","12","","",""
"Big worries","2008","Part Time","general elemantary","169","0.440405797459011","0.392116799758861","0.488694795159161"
"Big worries","2008","Part Time","middle vocational","806","0.361833358654259","0.342169319271725","0.381497398036793"
"Big worries","2008","Part Time","vocational + Abi","92","0.257017474609108","0.209726115555239","0.304308833662976"
"Big worries","2008","Part Time","higher vocational","108","0.420133386862954","0.363617319969972","0.476649453755936"
"Big worries","2008","Part Time","higher education","252","0.293211790790393","0.263353996283323","0.323069585297464"
"Big worries","2008","Not Working","in school","73","0.303467221310634","0.250369177596392","0.356565265024875"
"Big worries","2008","Not Working","inadequately","43","0.415093235700504","0.325036682493363","0.505149788907645"
"Big worries","2008","Not Working","general elemantary","478","0.406170186147465","0.378336705381831","0.4340036669131"
"Big worries","2008","Not Working","middle vocational","1688","0.450318195107321","0.434584114683608","0.466052275531034"
"Big worries","2008","Not Working","vocational + Abi","99","0.37623930122354","0.317011908771538","0.435466693675542"
"Big worries","2008","Not Working","higher vocational","216","0.472370473985493","0.426648889849473","0.518092058121512"
"Big worries","2008","Not Working","higher education","474","0.411407236819649","0.383077026706812","0.439737446932486"
"Some worries","2008","Full Time","in school","","","",""
"Some worries","2008","Full Time","inadequately","16","","",""
"Some worries","2008","Full Time","general elemantary","212","0.489158356519943","0.44129435927382","0.537022353766065"
"Some worries","2008","Full Time","middle vocational","1876","0.527488054690414","0.511184250625564","0.543791858755264"
"Some worries","2008","Full Time","vocational + Abi","284","0.539268829051672","0.496177192497719","0.582360465605625"
"Some worries","2008","Full Time","higher vocational","368","0.535003898479186","0.49703793234052","0.572969864617852"
"Some worries","2008","Full Time","higher education","1227","0.563675045017334","0.542682981543335","0.584667108491333"
"Some worries","2008","Part Time","in school","36","0.527196543607158","0.404880140211684","0.649512947002632"
"Some worries","2008","Part Time","inadequately","14","","",""
"Some worries","2008","Part Time","general elemantary","176","0.394594183789197","0.347051498417818","0.442136869160575"
"Some worries","2008","Part Time","middle vocational","1167","0.485625844855426","0.465173559207074","0.506078130503777"
"Some worries","2008","Part Time","vocational + Abi","181","0.589005170077679","0.535758935395786","0.642251404759571"
"Some worries","2008","Part Time","higher vocational","155","0.453803514767638","0.396797240359054","0.510809789176222"
"Some worries","2008","Part Time","higher education","490","0.53150249420566","0.498773801642139","0.564231186769182"
"Some worries","2008","Not Working","in school","157","0.502919308378385","0.445174299969976","0.560664316786794"
"Some worries","2008","Not Working","inadequately","49","0.418608628945217","0.328443719697886","0.508773538192548"
"Some worries","2008","Not Working","general elemantary","532","0.447704174002434","0.419522683860575","0.475885664144293"
"Some worries","2008","Not Working","middle vocational","1720","0.44973217503143","0.433999956265677","0.465464393797182"
"Some worries","2008","Not Working","vocational + Abi","125","0.515751533497856","0.454652277714421","0.57685078928129"
"Some worries","2008","Not Working","higher vocational","194","0.426056968034051","0.380768922131217","0.471345013936885"
"Some worries","2008","Not Working","higher education","553","0.460046923508518","0.431353296509583","0.488740550507452"
"No worries","2008","Full Time","in school","1","","",""
"No worries","2008","Full Time","inadequately","11","","",""
"No worries","2008","Full Time","general elemantary","65","0.142079020800615","0.108649534638571","0.175508506962659"
"No worries","2008","Full Time","middle vocational","512","0.132245878491215","0.12118306343016","0.143308693552269"
"No worries","2008","Full Time","vocational + Abi","78","0.152309707290666","0.121246311644062","0.18337310293727"
"No worries","2008","Full Time","higher vocational","95","0.148680177984719","0.121599206757226","0.175761149212212"
"No worries","2008","Full Time","higher education","406","0.222487043320602","0.20488180614118","0.240092280500024"
"No worries","2008","Part Time","in school","9","","",""
"No worries","2008","Part Time","inadequately","5","","",""
"No worries","2008","Part Time","general elemantary","61","0.165000018751792","0.128894773124828","0.201105264378756"
"No worries","2008","Part Time","middle vocational","321","0.152540796490315","0.137827709952304","0.167253883028326"
"No worries","2008","Part Time","vocational + Abi","55","0.153977355313214","0.114917503534014","0.193037207092413"
"No worries","2008","Part Time","higher vocational","30","0.126063098369408","0.088057435802406","0.16406876093641"
"No worries","2008","Part Time","higher education","151","0.175285715003947","0.150348532576136","0.200222897431757"
"No worries","2008","Not Working","in school","58","0.193613470310981","0.14797918387704","0.239247756744923"
"No worries","2008","Not Working","inadequately","23","","",""
"No worries","2008","Not Working","general elemantary","186","0.146125639850101","0.126106625053454","0.166144654646748"
"No worries","2008","Not Working","middle vocational","433","0.0999496298612492","0.0904643545701275","0.109434905152371"
"No worries","2008","Not Working","vocational + Abi","33","0.108009165278604","0.0700608910561275","0.145957439501081"
"No worries","2008","Not Working","higher vocational","48","0.101572557980456","0.0739066421528108","0.129238473808102"
"No worries","2008","Not Working","higher education","132","0.128545839671834","0.109276906986784","0.147814772356884"
"Big worries","2009","Full Time","in school","","","",""
"Big worries","2009","Full Time","inadequately","16","","",""
