"plh0039","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2008","lower secondary degree","West Germany","2178","0.433653074525867","0.420158668185715","0.447147480866018"
"Big worries","2008","lower secondary degree","East Germany","545","0.425565604182576","0.398511183374779","0.452620024990373"
"Big worries","2008","secondary school degree","West Germany","1365","0.378415625299089","0.362666621777645","0.394164628820532"
"Big worries","2008","secondary school degree","East Germany","713","0.336204034162625","0.315999110769811","0.356408957555439"
"Big worries","2008","college entrance qualification","West Germany","1087","0.257707764546473","0.244194187697184","0.271221341395762"
"Big worries","2008","college entrance qualification","East Germany","270","0.246806880930843","0.221533753163578","0.272080008698108"
"Big worries","2008","Other degree","West Germany","376","0.407226700908087","0.374893498529197","0.439559903286977"
"Big worries","2008","Other degree","East Germany","17","","",""
"Big worries","2008","no degree/no degree yet","West Germany","128","0.343086394686752","0.298977724773831","0.387195064599672"
"Big worries","2008","no degree/no degree yet","East Germany","33","0.390319875335245","0.295650533665204","0.484989217005285"
"Some worries","2008","lower secondary degree","West Germany","2422","0.458599287057873","0.445031238344531","0.472167335771215"
"Some worries","2008","lower secondary degree","East Germany","551","0.424069040460739","0.397027074668284","0.451111006253194"
"Some worries","2008","secondary school degree","West Germany","1832","0.499439570551003","0.483203226821219","0.515675914280786"
"Some worries","2008","secondary school degree","East Germany","1026","0.48104382183381","0.459674235879829","0.50241340778779"
"Some worries","2008","college entrance qualification","West Germany","2253","0.558912345965939","0.543571355234651","0.574253336697227"
"Some worries","2008","college entrance qualification","East Germany","645","0.554857113013943","0.52572530177705","0.583988924250835"
"Some worries","2008","Other degree","West Germany","401","0.462418232737782","0.429606737548153","0.49522972792741"
"Some worries","2008","Other degree","East Germany","29","","",""
"Some worries","2008","no degree/no degree yet","West Germany","230","0.497364661114924","0.450909704649291","0.543819617580557"
"Some worries","2008","no degree/no degree yet","East Germany","50","0.450088988325096","0.353540960441367","0.546637016208826"
"No worries","2008","lower secondary degree","West Germany","581","0.10774763841626","0.0993047892992506","0.11619048753327"
"No worries","2008","lower secondary degree","East Germany","187","0.150365355356685","0.130807340947413","0.169923369765956"
"No worries","2008","secondary school degree","West Germany","446","0.122144804149909","0.111511519349015","0.132778088950802"
"No worries","2008","secondary school degree","East Germany","361","0.182752144003566","0.166223144030715","0.199281143976416"
"No worries","2008","college entrance qualification","West Germany","684","0.183379889487588","0.171423364005388","0.195336414969787"
"No worries","2008","college entrance qualification","East Germany","203","0.198336006055214","0.17496248396044","0.221709528149988"
"No worries","2008","Other degree","West Germany","110","0.130355066354132","0.108197542566473","0.15251259014179"
"No worries","2008","Other degree","East Germany","7","","",""
"No worries","2008","no degree/no degree yet","West Germany","87","0.159548944198325","0.12552604907828","0.193571839318369"
"No worries","2008","no degree/no degree yet","East Germany","19","","",""
"Big worries","2009","lower secondary degree","West Germany","1943","0.421008126218613","0.406934991970026","0.4350812604672"
"Big worries","2009","lower secondary degree","East Germany","510","0.445468181551446","0.417312075283691","0.473624287819202"
"Big worries","2009","secondary school degree","West Germany","1179","0.352479472296589","0.33642107058806","0.368537874005118"
"Big worries","2009","secondary school degree","East Germany","682","0.358051124740167","0.337107639941444","0.37899460953889"
"Big worries","2009","college entrance qualification","West Germany","940","0.251655863499562","0.237876161989998","0.265435565009125"
"Big worries","2009","college entrance qualification","East Germany","261","0.215699271107373","0.191225614054946","0.2401729281598"
"Big worries","2009","Other degree","West Germany","298","0.407726678948562","0.372835450898793","0.44261790699833"
"Big worries","2009","Other degree","East Germany","13","","",""
"Big worries","2009","no degree/no degree yet","West Germany","121","0.351039412884324","0.304726178687192","0.397352647081457"
"Big worries","2009","no degree/no degree yet","East Germany","19","","",""
"Some worries","2009","lower secondary degree","West Germany","2264","0.473897636895816","0.459664954606004","0.488130319185628"
"Some worries","2009","lower secondary degree","East Germany","507","0.396859255854157","0.369143380060406","0.424575131647908"
"Some worries","2009","secondary school degree","West Germany","1783","0.518086623416794","0.50129107022099","0.534882176612597"
"Some worries","2009","secondary school degree","East Germany","1026","0.505034231211951","0.483193146981321","0.526875315442581"
"Some worries","2009","college entrance qualification","West Germany","2191","0.565895249999829","0.550157200880191","0.581633299119468"
"Some worries","2009","college entrance qualification","East Germany","623","0.561658482511868","0.532134449215429","0.591182515808308"
"Some worries","2009","Other degree","West Germany","362","0.46971214943315","0.434276341365553","0.505147957500748"
"Some worries","2009","Other degree","East Germany","23","","",""
"Some worries","2009","no degree/no degree yet","West Germany","204","0.44451777871824","0.396301059237169","0.49273449819931"
"Some worries","2009","no degree/no degree yet","East Germany","41","0.508157402339154","0.394251972019815","0.622062832658492"
"No worries","2009","lower secondary degree","West Germany","521","0.105094236885571","0.0963527067308353","0.113835767040306"
"No worries","2009","lower secondary degree","East Germany","180","0.157672562594396","0.13702734081805","0.178317784370743"
"No worries","2009","secondary school degree","West Germany","438","0.129433904286617","0.11815067189521","0.140717136678025"
"No worries","2009","secondary school degree","East Germany","305","0.136914644047882","0.121897822205256","0.151931465890508"
"No worries","2009","college entrance qualification","West Germany","679","0.182448886500609","0.170185408143547","0.194712364857671"
"No worries","2009","college entrance qualification","East Germany","201","0.222642246380759","0.197888127237613","0.247396365523904"
"No worries","2009","Other degree","West Germany","102","0.122561171618288","0.0992772846812557","0.14584505855532"
"No worries","2009","Other degree","East Germany","10","","",""
"No worries","2009","no degree/no degree yet","West Germany","83","0.204442808397436","0.165310124794277","0.243575492000595"
