"plh0039","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2008","16-34 y.","no migration background","865","0.268421340097883","0.25358272238821","0.283259957807556","1"
"Big worries","2008","16-34 y.","direct migration background","124","0.356958350849365","0.307941728274165","0.405974973424564","1"
"Big worries","2008","16-34 y.","indirect migration background","191","0.329420534629376","0.290734250197838","0.368106819060914","1"
"Big worries","2008","35-65 y.","no migration background","3146","0.348642861715837","0.33895562280055","0.358330100631123","1"
"Big worries","2008","35-65 y.","direct migration background","462","0.398202346465914","0.370068093626041","0.426336599305786","1"
"Big worries","2008","35-65 y.","indirect migration background","66","0.312106141731589","0.246394354267682","0.377817929195496","1"
"Big worries","2008","66 and older","no migration background","1837","0.473786360635924","0.45820925176614","0.489363469505707","1"
"Big worries","2008","66 and older","direct migration background","166","0.407845363807301","0.357771332003553","0.457919395611049","1"
"Big worries","2008","66 and older","indirect migration background","3","","","","1"
"No worries","2008","66 and older","no migration background","397","0.0963714691073645","0.0871651985288875","0.105577739685842","3"
"No worries","2008","35-65 y.","direct migration background","146","0.123543788667533","0.104631947881208","0.142455629453857","3"
"No worries","2008","35-65 y.","indirect migration background","26","","","","3"
"No worries","2008","66 and older","direct migration background","45","0.1249575918631","0.0912643264452692","0.158650857280932","3"
"No worries","2008","66 and older","indirect migration background","","","","","3"
"No worries","2008","35-65 y.","no migration background","1314","0.142579179398498","0.135471544656495","0.149686814140501","3"
"No worries","2008","16-34 y.","indirect migration background","99","0.197232624052818","0.164480400073671","0.229984848031966","3"
"No worries","2008","16-34 y.","direct migration background","54","0.145691515725899","0.10959713878891","0.181785892662888","3"
"No worries","2008","16-34 y.","no migration background","712","0.205789339177432","0.192251987721618","0.219326690633245","3"
"Some worries","2008","35-65 y.","direct migration background","555","0.478253864866554","0.449544928798205","0.506962800934903","2"
"Some worries","2008","35-65 y.","indirect migration background","99","0.53892378481906","0.468229965964262","0.609617603673859","2"
"Some worries","2008","35-65 y.","no migration background","4836","0.508777958885666","0.498615399404748","0.518940518366583","2"
"Some worries","2008","16-34 y.","indirect migration background","277","0.473346841317806","0.432249980469075","0.514443702166537","2"
