"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","4.79","5","20662","3","4","6","7","4.77","4.81","5","5"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","4.67","5","17987","3","4","6","7","4.65","4.69","5","5"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","5.01","5","7111","3","4","6","7","4.97","5.05","5","5"
"2013","4.81","5","18837","3","4","6","7","4.79","4.83","5","5"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","4.92","5","29181","3","4","6","7","4.9","4.94","5","5"
"2018","","","","","","","","","","",""
"2019","4.78","5","25734","3","4","6","7","4.76","4.8","5","5"
