"year","age_gr","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","(0) in school","5.39","6","654","5.29","5.49","3","4","7","7"
"2005","16-34 y.","(1a) inadequately completed","4.78","5","40","4.29","5.27","3","4","6","7"
"2005","16-34 y.","(1b) general elementary school","5.06","5","414","4.91","5.21","3","4","6","7"
"2005","16-34 y.","(1c) basic vocational qualification","4.95","5","606","4.83","5.07","3","4","6","7"
"2005","16-34 y.","(2a) intermediate vocational","4.9","5","1148","4.81","4.99","3","4","6","7"
"2005","16-34 y.","(2b) intermediate general qualification","5.38","6","442","5.24","5.52","3","4","7","7"
"2005","16-34 y.","(2c_gen) general maturity certificate","5.22","5","657","5.11","5.33","3","4","6","7"
"2005","16-34 y.","(2c_voc) vocational maturity certificate","4.98","5","504","4.85","5.11","3","4","6","7"
"2005","16-34 y.","(3a) lower tertiary education","5.08","5","198","4.87","5.29","3","4","6","7"
"2005","16-34 y.","(3b) higher tertiary education","5.17","5","325","5.03","5.31","3","4","6","7"
"2005","35-65 y.","(0) in school","","","","","","","","",""
"2005","35-65 y.","(1a) inadequately completed","4.57","5","142","4.27","4.87","2","3","6","7"
"2005","35-65 y.","(1b) general elementary school","4.45","4","736","4.33","4.57","2","3","6","7"
"2005","35-65 y.","(1c) basic vocational qualification","4.68","5","3374","4.63","4.73","2","4","6","7"
"2005","35-65 y.","(2a) intermediate vocational","4.83","5","3244","4.78","4.88","3","4","6","7"
"2005","35-65 y.","(2b) intermediate general qualification","4.82","5","101","4.47","5.17","2","4","6","7"
"2005","35-65 y.","(2c_gen) general maturity certificate","4.74","5","123","4.47","5.01","3","4","6","7"
"2005","35-65 y.","(2c_voc) vocational maturity certificate","4.94","5","858","4.84","5.04","3","4","6","7"
"2005","35-65 y.","(3a) lower tertiary education","4.99","5","1157","4.91","5.07","3","4","6","7"
"2005","35-65 y.","(3b) higher tertiary education","4.94","5","1824","4.88","5","3","4","6","7"
"2005","66 and older","(0) in school","","","","","","","","",""
"2005","66 and older","(1a) inadequately completed","4.13","4","62","3.66","4.6","1","3","5","7"
"2005","66 and older","(1b) general elementary school","4.07","4","700","3.95","4.19","2","3","5","7"
"2005","66 and older","(1c) basic vocational qualification","4.33","4","1711","4.25","4.41","2","3","6","7"
"2005","66 and older","(2a) intermediate vocational","4.86","5","406","4.7","5.02","3","4","6","7"
"2005","66 and older","(2b) intermediate general qualification","4.98","5","36","4.37","5.59","3","4","7","7"
"2005","66 and older","(2c_gen) general maturity certificate","","","","","","","","",""
"2005","66 and older","(2c_voc) vocational maturity certificate","5.04","5","148","4.8","5.28","3","4","6","7"
"2005","66 and older","(3a) lower tertiary education","4.91","5","293","4.74","5.08","3","4","6","7"
