"ple0022","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Schleswig-Holstein","no migration background","95","0.157222929348955","0.127470086650373","0.186975772047537"
"Yes","2011","Schleswig-Holstein","direct migration background","13","","",""
"Yes","2011","Schleswig-Holstein","indirect migration background","2","","",""
"Yes","2011","Hamburg","no migration background","39","0.13917463828605","0.0985599086214036","0.179789367950697"
"Yes","2011","Hamburg","direct migration background","4","","",""
"Yes","2011","Hamburg","indirect migration background","1","","",""
"Yes","2011","Lower Saxony","no migration background","321","0.199076610618287","0.180061581476805","0.218091639759769"
"Yes","2011","Lower Saxony","direct migration background","36","0.225854382400395","0.163364535836477","0.288344228964314"
"Yes","2011","Lower Saxony","indirect migration background","3","","",""
"Yes","2011","Bremen","no migration background","17","","",""
"Yes","2011","Bremen","direct migration background","","","",""
"Yes","2011","Bremen","indirect migration background","","","",""
"Yes","2011","North Rhine-Westphalia","no migration background","657","0.209395918423012","0.195658764240795","0.223133072605228"
"Yes","2011","North Rhine-Westphalia","direct migration background","93","0.172486541765229","0.141306716334657","0.203666367195802"
"Yes","2011","North Rhine-Westphalia","indirect migration background","22","","",""
"Yes","2011","Hesse","no migration background","202","0.197076119025957","0.174105323305315","0.220046914746598"
"Yes","2011","Hesse","direct migration background","53","0.274892120897628","0.211741164115438","0.338043077679818"
"Yes","2011","Hesse","indirect migration background","5","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","no migration background","181","0.174378187612644","0.150802020049235","0.197954355176053"
"Yes","2011","Rhineland-Palatinate,Saarland","direct migration background","20","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","indirect migration background","5","","",""
"Yes","2011","Baden-Württemberg","no migration background","296","0.173986739488737","0.157216489920045","0.190756989057429"
"Yes","2011","Baden-Württemberg","direct migration background","64","0.168568230386139","0.130727863371611","0.206408597400667"
"Yes","2011","Baden-Württemberg","indirect migration background","11","","",""
"Yes","2011","Bavaria","no migration background","486","0.176895371215326","0.162628607015879","0.191162135414773"
"Yes","2011","Bavaria","direct migration background","70","0.204941937299862","0.160852455253773","0.249031419345951"
"Yes","2011","Bavaria","indirect migration background","14","","",""
"Yes","2011","Berlin","no migration background","131","0.211439057761072","0.181318987603156","0.241559127918988"
"Yes","2011","Berlin","direct migration background","6","","",""
"Yes","2011","Berlin","indirect migration background","1","","",""
"Yes","2011","Brandenburg","no migration background","145","0.176898518471328","0.151366024581958","0.202431012360697"
"Yes","2011","Brandenburg","direct migration background","3","","",""
"Yes","2011","Brandenburg","indirect migration background","2","","",""
"Yes","2011","Mecklenburg-Western Pomerania","no migration background","99","0.243490793230896","0.206314893194943","0.280666693266849"
"Yes","2011","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"Yes","2011","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2011","Saxony","no migration background","245","0.179482418477777","0.159168941524765","0.19979589543079"
"Yes","2011","Saxony","direct migration background","8","","",""
"Yes","2011","Saxony","indirect migration background","","","",""
"Yes","2011","Saxony-Anhalt","no migration background","154","0.183533174326329","0.157417368709912","0.209648979942747"
"Yes","2011","Saxony-Anhalt","direct migration background","3","","",""
"Yes","2011","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2011","Thuringia","no migration background","158","0.196052948978331","0.169641718123916","0.222464179832746"
"Yes","2011","Thuringia","direct migration background","1","","",""
"Yes","2011","Thuringia","indirect migration background","2","","",""
"No","2011","Schleswig-Holstein","no migration background","480","0.842777070651045","0.813024227952463","0.872529913349627"
"No","2011","Schleswig-Holstein","direct migration background","51","0.804440868249693","0.707268180053458","0.901613556445928"
"No","2011","Schleswig-Holstein","indirect migration background","12","","",""
"No","2011","Hamburg","no migration background","240","0.86082536171395","0.820210632049303","0.901440091378596"
"No","2011","Hamburg","direct migration background","17","","",""
"No","2011","Hamburg","indirect migration background","14","","",""
"No","2011","Lower Saxony","no migration background","1373","0.800923389381713","0.781908360240231","0.819938418523195"
"No","2011","Lower Saxony","direct migration background","136","0.774145617599605","0.711655771035686","0.836635464163523"
"No","2011","Lower Saxony","indirect migration background","51","0.962205340227289","0.911342534580463","1.01306814587411"
"No","2011","Bremen","no migration background","89","0.778048456135211","0.698939151672945","0.857157760597477"
"No","2011","Bremen","direct migration background","18","","",""
"No","2011","Bremen","indirect migration background","3","","",""
"No","2011","North Rhine-Westphalia","no migration background","2713","0.790604081576988","0.776866927394772","0.804341235759205"
"No","2011","North Rhine-Westphalia","direct migration background","471","0.827513458234771","0.796333632804198","0.858693283665343"
"No","2011","North Rhine-Westphalia","indirect migration background","199","0.904294629823234","0.86550862172792","0.943080637918548"
"No","2011","Hesse","no migration background","950","0.802923880974043","0.779953085253402","0.825894676694685"
"No","2011","Hesse","direct migration background","139","0.725107879102372","0.661956922320182","0.788258835884562"
"No","2011","Hesse","indirect migration background","68","0.961873795163498","0.917944170164807","1.00580342016219"
"No","2011","Rhineland-Palatinate,Saarland","no migration background","814","0.825621812387356","0.802045644823947","0.849197979950765"
"No","2011","Rhineland-Palatinate,Saarland","direct migration background","134","0.900506080880673","0.853231321758728","0.947780840002617"
"No","2011","Rhineland-Palatinate,Saarland","indirect migration background","58","0.942441360902202","0.884929126100158","0.999953595704246"
"No","2011","Baden-Württemberg","no migration background","1667","0.826013260511263","0.809243010942571","0.842783510079955"
"No","2011","Baden-Württemberg","direct migration background","312","0.831431769613861","0.793591402599333","0.869272136628389"
"No","2011","Baden-Württemberg","indirect migration background","149","0.946751112551673","0.91196056364104","0.981541661462305"
"No","2011","Bavaria","no migration background","2262","0.823104628784674","0.808837864585227","0.837371392984121"
"No","2011","Bavaria","direct migration background","252","0.795058062700138","0.750968580654049","0.839147544746227"
"No","2011","Bavaria","indirect migration background","117","0.941469938503469","0.901271872208888","0.981668004798049"
"No","2011","Berlin","no migration background","575","0.788560942238928","0.758440872081012","0.818681012396844"
"No","2011","Berlin","direct migration background","46","0.892779554734537","0.808687039908942","0.976872069560132"
"No","2011","Berlin","indirect migration background","24","","",""
"No","2011","Brandenburg","no migration background","713","0.823101481528672","0.797568987639303","0.848633975418042"
"No","2011","Brandenburg","direct migration background","19","","",""
"No","2011","Brandenburg","indirect migration background","7","","",""
"No","2011","Mecklenburg-Western Pomerania","no migration background","413","0.756509206769104","0.719333306733151","0.793685106805058"
"No","2011","Mecklenburg-Western Pomerania","direct migration background","4","","",""
"No","2011","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","2011","Saxony","no migration background","1126","0.820517581522223","0.80020410456921","0.840831058475235"
"No","2011","Saxony","direct migration background","18","","",""
"No","2011","Saxony","indirect migration background","13","","",""
"No","2011","Saxony-Anhalt","no migration background","690","0.816466825673671","0.790351020057253","0.842582631290088"
"No","2011","Saxony-Anhalt","direct migration background","14","","",""
"No","2011","Saxony-Anhalt","indirect migration background","9","","",""
