"ple0022","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2011","(0) in school","8","","",""
"Yes","2011","(1a) inadequately completed","73","1","1","1"
"Yes","2011","(1b) general elementary school","424","1","1","1"
"Yes","2011","(1c) basic vocational qualification","1341","1","1","1"
"Yes","2011","(2b) intermediate general qualification","53","1","1","1"
"Yes","2011","(2a) intermediate vocational","815","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","59","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","244","1","1","1"
"Yes","2011","(3a) lower tertiary education","267","1","1","1"
"Yes","2011","(3b) higher tertiary education","352","1","1","1"
"Yes","2012","(0) in school","","","",""
"Yes","2012","(1a) inadequately completed","","","",""
"Yes","2012","(1b) general elementary school","","","",""
"Yes","2012","(1c) basic vocational qualification","","","",""
"Yes","2012","(2b) intermediate general qualification","","","",""
"Yes","2012","(2a) intermediate vocational","","","",""
"Yes","2012","(2c_gen) general maturity certificate","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","(3a) lower tertiary education","","","",""
"Yes","2012","(3b) higher tertiary education","","","",""
"Yes","2013","(0) in school","5","","",""
"Yes","2013","(1a) inadequately completed","61","1","1","1"
"Yes","2013","(1b) general elementary school","370","1","1","1"
"Yes","2013","(1c) basic vocational qualification","1208","1","1","1"
"Yes","2013","(2b) intermediate general qualification","60","1","1","1"
"Yes","2013","(2a) intermediate vocational","782","1","1","1"
"Yes","2013","(2c_gen) general maturity certificate","62","1","1","1"
"Yes","2013","(2c_voc) vocational maturity certificate","221","1","1","1"
"Yes","2013","(3a) lower tertiary education","244","1","1","1"
"Yes","2013","(3b) higher tertiary education","373","1","1","1"
"Yes","2014","(0) in school","","","",""
"Yes","2014","(1a) inadequately completed","","","",""
"Yes","2014","(1b) general elementary school","","","",""
"Yes","2014","(1c) basic vocational qualification","","","",""
"Yes","2014","(2b) intermediate general qualification","","","",""
"Yes","2014","(2a) intermediate vocational","","","",""
"Yes","2014","(2c_gen) general maturity certificate","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","(3a) lower tertiary education","","","",""
"Yes","2014","(3b) higher tertiary education","","","",""
"Yes","2015","(0) in school","11","","",""
"Yes","2015","(1a) inadequately completed","98","1","1","1"
"Yes","2015","(1b) general elementary school","450","1","1","1"
"Yes","2015","(1c) basic vocational qualification","1259","1","1","1"
"Yes","2015","(2b) intermediate general qualification","70","1","1","1"
"Yes","2015","(2a) intermediate vocational","1009","1","1","1"
"Yes","2015","(2c_gen) general maturity certificate","95","1","1","1"
"Yes","2015","(2c_voc) vocational maturity certificate","341","1","1","1"
"Yes","2015","(3a) lower tertiary education","277","1","1","1"
"Yes","2015","(3b) higher tertiary education","461","1","1","1"
"Yes","2016","(0) in school","","","",""
"Yes","2016","(1a) inadequately completed","","","",""
"Yes","2016","(1b) general elementary school","","","",""
"Yes","2016","(1c) basic vocational qualification","","","",""
"Yes","2016","(2b) intermediate general qualification","","","",""
"Yes","2016","(2a) intermediate vocational","","","",""
"Yes","2016","(2c_gen) general maturity certificate","","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","(3a) lower tertiary education","","","",""
"Yes","2016","(3b) higher tertiary education","","","",""
"Yes","2017","(0) in school","11","","",""
"Yes","2017","(1a) inadequately completed","99","1","1","1"
"Yes","2017","(1b) general elementary school","415","1","1","1"
"Yes","2017","(1c) basic vocational qualification","1191","1","1","1"
"Yes","2017","(2b) intermediate general qualification","101","1","1","1"
"Yes","2017","(2a) intermediate vocational","1026","1","1","1"
"Yes","2017","(2c_gen) general maturity certificate","124","1","1","1"
"Yes","2017","(2c_voc) vocational maturity certificate","366","1","1","1"
"Yes","2017","(3a) lower tertiary education","258","1","1","1"
"Yes","2017","(3b) higher tertiary education","465","1","1","1"
"Yes","2018","(0) in school","","","",""
"Yes","2018","(1a) inadequately completed","","","",""
"Yes","2018","(1b) general elementary school","","","",""
"Yes","2018","(1c) basic vocational qualification","","","",""
"Yes","2018","(2b) intermediate general qualification","","","",""
"Yes","2018","(2a) intermediate vocational","","","",""
"Yes","2018","(2c_gen) general maturity certificate","","","",""
"Yes","2018","(2c_voc) vocational maturity certificate","","","",""
"Yes","2018","(3a) lower tertiary education","","","",""
"Yes","2018","(3b) higher tertiary education","","","",""
"Yes","2019","(0) in school","5","","",""
"Yes","2019","(1a) inadequately completed","94","1","1","1"
"Yes","2019","(1b) general elementary school","353","1","1","1"
"Yes","2019","(1c) basic vocational qualification","1040","1","1","1"
"Yes","2019","(2b) intermediate general qualification","92","1","1","1"
"Yes","2019","(2a) intermediate vocational","1006","1","1","1"
"Yes","2019","(2c_gen) general maturity certificate","121","1","1","1"
"Yes","2019","(2c_voc) vocational maturity certificate","375","1","1","1"
"Yes","2019","(3a) lower tertiary education","294","1","1","1"
"Yes","2019","(3b) higher tertiary education","529","1","1","1"
