"ple0022","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2011","no migration background","Urban Area","1995","0.187822664727273","0.18064739498642","0.194997934468127"
"Yes","2011","no migration background","Rural Area","1231","0.193589495290371","0.184099574978819","0.203079415601923"
"Yes","2011","direct migration background","Urban Area","279","0.189520055227368","0.170027845000848","0.209012265453889"
"Yes","2011","direct migration background","Rural Area","97","0.166915711121132","0.133095000277789","0.200736421964475"
"Yes","2011","indirect migration background","Urban Area","53","0.060478857871139","0.042306870323354","0.078650845418924"
"Yes","2011","indirect migration background","Rural Area","15","","",""
"No","2011","no migration background","Urban Area","9387","0.812177335272727","0.805002065531873","0.81935260501358"
"No","2011","no migration background","Rural Area","5428","0.806410504709629","0.796920584398077","0.815900425021181"
"No","2011","direct migration background","Urban Area","1274","0.810479944772632","0.790987734546111","0.829972154999152"
"No","2011","direct migration background","Rural Area","370","0.833084288878868","0.799263578035525","0.866904999722211"
"No","2011","indirect migration background","Urban Area","608","0.939521142128861","0.921349154581076","0.957693129676646"
"No","2011","indirect migration background","Rural Area","123","0.932977489881433","0.891256512389262","0.974698467373605"
"Yes","2012","no migration background","Urban Area","","","",""
"Yes","2012","no migration background","Rural Area","","","",""
"Yes","2012","direct migration background","Urban Area","","","",""
"Yes","2012","direct migration background","Rural Area","","","",""
"Yes","2012","indirect migration background","Urban Area","","","",""
"Yes","2012","indirect migration background","Rural Area","","","",""
"No","2012","no migration background","Urban Area","","","",""
"No","2012","no migration background","Rural Area","","","",""
"No","2012","direct migration background","Urban Area","","","",""
"No","2012","direct migration background","Rural Area","","","",""
"No","2012","indirect migration background","Urban Area","","","",""
"No","2012","indirect migration background","Rural Area","","","",""
"Yes","2013","no migration background","Urban Area","1888","0.191118605887458","0.183563840949136","0.198673370825779"
"Yes","2013","no migration background","Rural Area","1132","0.193382060516155","0.18351446417921","0.203249656853099"
"Yes","2013","direct migration background","Urban Area","251","0.219930531156246","0.197414812330039","0.242446249982453"
"Yes","2013","direct migration background","Rural Area","84","0.231644487690839","0.190092424884904","0.273196550496775"
"Yes","2013","indirect migration background","Urban Area","43","0.0770953812630616","0.0553870378011119","0.0988037247250113"
"Yes","2013","indirect migration background","Rural Area","16","","",""
"No","2013","no migration background","Urban Area","8517","0.808881394112542","0.801326629174221","0.816436159050864"
"No","2013","no migration background","Rural Area","5022","0.806617939483845","0.796750343146901","0.81648553582079"
"No","2013","direct migration background","Urban Area","1049","0.780069468843754","0.757553750017547","0.802585187669961"
"No","2013","direct migration background","Rural Area","312","0.768355512309161","0.726803449503225","0.809907575115096"
"No","2013","indirect migration background","Urban Area","537","0.922904618736938","0.901196275274989","0.944612962198888"
"No","2013","indirect migration background","Rural Area","120","0.86208662423012","0.804136111243366","0.920037137216873"
"Yes","2014","no migration background","Urban Area","","","",""
"Yes","2014","no migration background","Rural Area","","","",""
"Yes","2014","direct migration background","Urban Area","","","",""
"Yes","2014","direct migration background","Rural Area","","","",""
"Yes","2014","indirect migration background","Urban Area","","","",""
"Yes","2014","indirect migration background","Rural Area","","","",""
"No","2014","no migration background","Urban Area","","","",""
"No","2014","no migration background","Rural Area","","","",""
"No","2014","direct migration background","Urban Area","","","",""
