"ple0022","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Not Employed","Urban Area","1250","0.260554854088924","0.248752170937326","0.272357537240522"
"Yes","2011","Not Employed","Rural Area","721","0.262546983321933","0.246343980847941","0.278749985795925"
"Yes","2011","Employed","Urban Area","1077","0.131766306726472","0.1244822257584","0.139050387694545"
"Yes","2011","Employed","Rural Area","622","0.142435388330254","0.132144814484519","0.15272596217599"
"No","2011","Not Employed","Urban Area","4063","0.739445145911076","0.727642462759478","0.751247829062674"
"No","2011","Not Employed","Rural Area","2112","0.737453016678067","0.721250014204075","0.753656019152059"
"No","2011","Employed","Urban Area","7206","0.868233693273528","0.860949612305455","0.8755177742416"
"No","2011","Employed","Rural Area","3809","0.857564611669746","0.84727403782401","0.867855185515481"
"Yes","2012","Not Employed","Urban Area","","","",""
"Yes","2012","Not Employed","Rural Area","","","",""
"Yes","2012","Employed","Urban Area","","","",""
"Yes","2012","Employed","Rural Area","","","",""
"No","2012","Not Employed","Urban Area","","","",""
"No","2012","Not Employed","Rural Area","","","",""
"No","2012","Employed","Urban Area","","","",""
"No","2012","Employed","Rural Area","","","",""
"Yes","2013","Not Employed","Urban Area","1171","0.267461688076487","0.25485670227034","0.280066673882634"
"Yes","2013","Not Employed","Rural Area","665","0.265892241830482","0.249035985159613","0.28274849850135"
"Yes","2013","Employed","Urban Area","1011","0.138996937294619","0.13119258062699","0.146801293962249"
"Yes","2013","Employed","Rural Area","567","0.147997332614376","0.137057040703391","0.158937624525362"
"No","2013","Not Employed","Urban Area","3566","0.732538311923513","0.719933326117366","0.74514329772966"
"No","2013","Not Employed","Rural Area","1974","0.734107758169518","0.71725150149865","0.750964014840387"
"No","2013","Employed","Urban Area","6537","0.861003062705381","0.853198706037751","0.86880741937301"
"No","2013","Employed","Rural Area","3480","0.852002667385624","0.841062375474638","0.862942959296609"
"Yes","2014","Not Employed","Urban Area","","","",""
"Yes","2014","Not Employed","Rural Area","","","",""
"Yes","2014","Employed","Urban Area","","","",""
"Yes","2014","Employed","Rural Area","","","",""
"No","2014","Not Employed","Urban Area","","","",""
"No","2014","Not Employed","Rural Area","","","",""
"No","2014","Employed","Urban Area","","","",""
"No","2014","Employed","Rural Area","","","",""
"Yes","2015","Not Employed","Urban Area","1296","0.262665756658735","0.251045754128298","0.274285759189172"
"Yes","2015","Not Employed","Rural Area","701","0.259187543132841","0.243499603111","0.274875483154683"
"Yes","2015","Employed","Urban Area","1365","0.127644749337962","0.121386324301913","0.133903174374011"
"Yes","2015","Employed","Rural Area","776","0.141358413231755","0.132347199571216","0.150369626892293"
"No","2015","Not Employed","Urban Area","4214","0.737334243341265","0.725714240810828","0.748954245871702"
"No","2015","Not Employed","Rural Area","2296","0.740812456867159","0.725124516845317","0.756500396889001"
"No","2015","Employed","Urban Area","9556","0.872355250662038","0.866096825625989","0.878613675698087"
"No","2015","Employed","Rural Area","4966","0.858641586768245","0.849630373107707","0.867652800428783"
"Yes","2016","Not Employed","Urban Area","","","",""
"Yes","2016","Not Employed","Rural Area","","","",""
"Yes","2016","Employed","Urban Area","","","",""
"Yes","2016","Employed","Rural Area","","","",""
"No","2016","Not Employed","Urban Area","","","",""
"No","2016","Not Employed","Rural Area","","","",""
"No","2016","Employed","Urban Area","","","",""
"No","2016","Employed","Rural Area","","","",""
"Yes","2017","Not Employed","Urban Area","1171","0.237599718417978","0.226386171656368","0.248813265179587"
"Yes","2017","Not Employed","Rural Area","719","0.26455363419889","0.249026203015581","0.2800810653822"
"Yes","2017","Employed","Urban Area","1403","0.118808824243258","0.112955144511712","0.124662503974805"
"Yes","2017","Employed","Rural Area","814","0.130416642361802","0.122135028761919","0.138698255961685"
"No","2017","Not Employed","Urban Area","4363","0.762400281582022","0.751186734820413","0.773613828343632"
"No","2017","Not Employed","Rural Area","2381","0.73544636580111","0.719918934617801","0.750973796984419"
"No","2017","Employed","Urban Area","10334","0.881191175756742","0.875337496025195","0.887044855488288"
"No","2017","Employed","Rural Area","5538","0.869583357638198","0.861301744038315","0.877864971238081"
"Yes","2018","Not Employed","Urban Area","","","",""
"Yes","2018","Not Employed","Rural Area","","","",""
"Yes","2018","Employed","Urban Area","","","",""
"Yes","2018","Employed","Rural Area","","","",""
"No","2018","Not Employed","Urban Area","","","",""
"No","2018","Not Employed","Rural Area","","","",""
"No","2018","Employed","Urban Area","","","",""
"No","2018","Employed","Rural Area","","","",""
"Yes","2019","Not Employed","Urban Area","1033","0.241943085618453","0.229818919148796","0.25406725208811"
"Yes","2019","Not Employed","Rural Area","669","0.267696626784362","0.251475528975263","0.28391772459346"
"Yes","2019","Employed","Urban Area","1282","0.120129655723995","0.113964615235429","0.126294696212562"
"Yes","2019","Employed","Rural Area","738","0.126823971607064","0.11841704035002","0.135230902864107"
"No","2019","Not Employed","Urban Area","3760","0.758056914381547","0.74593274791189","0.770181080851204"
"No","2019","Not Employed","Rural Area","2193","0.732303373215639","0.71608227540654","0.748524471024738"
"No","2019","Employed","Urban Area","9401","0.879870344276005","0.873705303787438","0.886035384764571"
"No","2019","Employed","Rural Area","5281","0.873176028392936","0.864769097135892","0.88158295964998"
