"ple0022","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","(0) in school","","","",""
"Yes","2011","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2011","lower secondary degree","(1b) general elementary school","371","1","1","1"
"Yes","2011","lower secondary degree","(1c) basic vocational qualification","1262","1","1","1"
"Yes","2011","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2011","lower secondary degree","(2a) intermediate vocational","3","","",""
"Yes","2011","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"Yes","2011","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"Yes","2011","lower secondary degree","(3a) lower tertiary education","27","","",""
"Yes","2011","lower secondary degree","(3b) higher tertiary education","7","","",""
"Yes","2011","secondary school degree","(0) in school","","","",""
"Yes","2011","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2011","secondary school degree","(1b) general elementary school","","","",""
"Yes","2011","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2011","secondary school degree","(2b) intermediate general qualification","53","1","1","1"
"Yes","2011","secondary school degree","(2a) intermediate vocational","812","1","1","1"
"Yes","2011","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"Yes","2011","secondary school degree","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2011","secondary school degree","(3a) lower tertiary education","92","1","1","1"
"Yes","2011","secondary school degree","(3b) higher tertiary education","20","","",""
"Yes","2011","college entrance qualification","(0) in school","","","",""
"Yes","2011","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2011","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2011","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2011","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2011","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2011","college entrance qualification","(2c_gen) general maturity certificate","40","1","1","1"
"Yes","2011","college entrance qualification","(2c_voc) vocational maturity certificate","200","1","1","1"
"Yes","2011","college entrance qualification","(3a) lower tertiary education","139","1","1","1"
"Yes","2011","college entrance qualification","(3b) higher tertiary education","294","1","1","1"
"Yes","2011","Other degree","(0) in school","","","",""
"Yes","2011","Other degree","(1a) inadequately completed","","","",""
"Yes","2011","Other degree","(1b) general elementary school","53","1","1","1"
"Yes","2011","Other degree","(1c) basic vocational qualification","79","1","1","1"
"Yes","2011","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2011","Other degree","(2a) intermediate vocational","","","",""
