"ple0022","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2011","1-pers.-HH","Urban Area","514","0.20786309298743","0.191798665513939","0.223927520460921"
"Yes","2011","1-pers.-HH","Rural Area","267","0.221646443144858","0.197353672311391","0.245939213978326"
"Yes","2011","(Married) couple without C. ","Urban Area","1115","0.221102397079739","0.209847928650179","0.232356865509299"
"Yes","2011","(Married) couple without C. ","Rural Area","660","0.226299723588402","0.211127949302625","0.241471497874178"
"Yes","2011","Single parent ","Urban Area","108","0.128668227214629","0.105363773264729","0.151972681164529"
"Yes","2011","Single parent ","Rural Area","58","0.146950833605748","0.111399273658273","0.182502393553222"
"Yes","2011","Couple + C. LE 16 ","Urban Area","198","0.100412802867879","0.0874183392998755","0.113407266435883"
"Yes","2011","Couple + C. LE 16 ","Rural Area","101","0.0910664947927359","0.0737631046772667","0.108369884908205"
"Yes","2011","Couple + C. GT 16 ","Urban Area","250","0.122662756167789","0.10841328172997","0.136912230605608"
"Yes","2011","Couple + C. GT 16 ","Rural Area","172","0.134004469981778","0.114442950063397","0.153565989900159"
"Yes","2011","Couple + C. LE and GT 16","Urban Area","91","0.118387754250928","0.0958452693444195","0.140930239157436"
"Yes","2011","Couple + C. LE and GT 16","Rural Area","48","0.110433172629802","0.0813121145978905","0.139554230661714"
"No","2011","1-pers.-HH","Urban Area","1937","0.79213690701257","0.776072479539079","0.808201334486061"
"No","2011","1-pers.-HH","Rural Area","856","0.778353556855142","0.754060786021674","0.802646327688609"
"No","2011","(Married) couple without C. ","Urban Area","4108","0.778897602920261","0.767643134490701","0.790152071349821"
"No","2011","(Married) couple without C. ","Rural Area","2262","0.773700276411598","0.758528502125822","0.788872050697375"
"No","2011","Single parent ","Urban Area","685","0.871331772785371","0.848027318835471","0.894636226735271"
"No","2011","Single parent ","Rural Area","323","0.853049166394252","0.817497606446778","0.888600726341727"
"No","2011","Couple + C. LE 16 ","Urban Area","1857","0.899587197132121","0.886592733564117","0.912581660700125"
"No","2011","Couple + C. LE 16 ","Rural Area","961","0.908933505207264","0.891630115091795","0.926236895322733"
"No","2011","Couple + C. GT 16 ","Urban Area","1786","0.877337243832211","0.863087769394392","0.89158671827003"
"No","2011","Couple + C. GT 16 ","Rural Area","993","0.865995530018222","0.846434010099841","0.885557049936603"
"No","2011","Couple + C. LE and GT 16","Urban Area","698","0.881612245749072","0.859069760842564","0.90415473065558"
"No","2011","Couple + C. LE and GT 16","Rural Area","397","0.889566827370198","0.860445769338286","0.918687885402109"
"Yes","2012","1-pers.-HH","Urban Area","","","",""
"Yes","2012","1-pers.-HH","Rural Area","","","",""
"Yes","2012","(Married) couple without C. ","Urban Area","","","",""
"Yes","2012","(Married) couple without C. ","Rural Area","","","",""
"Yes","2012","Single parent ","Urban Area","","","",""
"Yes","2012","Single parent ","Rural Area","","","",""
"Yes","2012","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2012","Couple + C. LE 16 ","Rural Area","","","",""
"Yes","2012","Couple + C. GT 16 ","Urban Area","","","",""
"Yes","2012","Couple + C. GT 16 ","Rural Area","","","",""
"Yes","2012","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes","2012","Couple + C. LE and GT 16","Rural Area","","","",""
"No","2012","1-pers.-HH","Urban Area","","","",""
"No","2012","1-pers.-HH","Rural Area","","","",""
"No","2012","(Married) couple without C. ","Urban Area","","","",""
"No","2012","(Married) couple without C. ","Rural Area","","","",""
"No","2012","Single parent ","Urban Area","","","",""
