"ple0022","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Full Time","Rural Area","2406","0.869340080315994","0.856773309538156","0.881906851093832","2"
"No","2011","Full Time","Urban Area","4396","0.873735530243459","0.864572016900498","0.88289904358642","2"
"No","2011","Part Time","Urban Area","2810","0.858516929480186","0.846508934308762","0.87052492465161","2"
"No","2011","Part Time","Rural Area","1403","0.835668646850813","0.817884733334117","0.85345256036751","2"
"No","2011","Not Working","Urban Area","4063","0.739445145911076","0.727642462759478","0.751247829062674","2"
"No","2011","Not Working","Rural Area","2112","0.737453016678067","0.721250014204075","0.753656019152059","2"
"Yes","2011","Full Time","Urban Area","651","0.126264469756541","0.11710095641358","0.135427983099502","1"
"Yes","2011","Full Time","Rural Area","357","0.130659919684006","0.118093148906168","0.143226690461844","1"
"Yes","2011","Part Time","Urban Area","426","0.141483070519814","0.12947507534839","0.153491065691238","1"
"Yes","2011","Part Time","Rural Area","265","0.164331353149187","0.14654743963249","0.182115266665883","1"
"Yes","2011","Not Working","Urban Area","1250","0.260554854088924","0.248752170937326","0.272357537240522","1"
"Yes","2011","Not Working","Rural Area","721","0.262546983321933","0.246343980847941","0.278749985795925","1"
"No","2012","Full Time","Urban Area","","","","","2"
"No","2012","Full Time","Rural Area","","","","","2"
"No","2012","Part Time","Urban Area","","","","","2"
"No","2012","Part Time","Rural Area","","","","","2"
"No","2012","Not Working","Urban Area","","","","","2"
"No","2012","Not Working","Rural Area","","","","","2"
"Yes","2012","Full Time","Urban Area","","","","","1"
"Yes","2012","Full Time","Rural Area","","","","","1"
"Yes","2012","Part Time","Urban Area","","","","","1"
"Yes","2012","Part Time","Rural Area","","","","","1"
"Yes","2012","Not Working","Urban Area","","","","","1"
"Yes","2012","Not Working","Rural Area","","","","","1"
"No","2013","Full Time","Urban Area","3953","0.866863046517286","0.856987573022635","0.876738520011937","2"
"No","2013","Full Time","Rural Area","2135","0.862353135038052","0.848713518184312","0.875992751891791","2"
"No","2013","Part Time","Urban Area","2584","0.850617962602212","0.837866523209798","0.863369401994626","2"
"No","2013","Part Time","Rural Area","1345","0.834306438872317","0.816065496925167","0.852547380819466","2"
"No","2013","Not Working","Urban Area","3566","0.732538311923513","0.719933326117366","0.74514329772966","2"
"No","2013","Not Working","Rural Area","1974","0.734107758169518","0.71725150149865","0.750964014840387","2"
"Yes","2013","Full Time","Urban Area","593","0.133136953482714","0.123261479988063","0.143012426977365","1"
"Yes","2013","Full Time","Rural Area","316","0.137646864961948","0.124007248108209","0.151286481815688","1"
"Yes","2013","Part Time","Urban Area","418","0.149382037397788","0.136630598005374","0.162133476790202","1"
"Yes","2013","Part Time","Rural Area","251","0.165693561127683","0.147452619180534","0.183934503074833","1"
"Yes","2013","Not Working","Urban Area","1171","0.267461688076487","0.25485670227034","0.280066673882634","1"
"Yes","2013","Not Working","Rural Area","665","0.265892241830482","0.249035985159613","0.28274849850135","1"
"No","2014","Full Time","Urban Area","","","","","2"
"No","2014","Full Time","Rural Area","","","","","2"
"No","2014","Part Time","Urban Area","","","","","2"
"No","2014","Part Time","Rural Area","","","","","2"
"No","2014","Not Working","Urban Area","","","","","2"
"No","2014","Not Working","Rural Area","","","","","2"
"Yes","2014","Full Time","Urban Area","","","","","1"
"Yes","2014","Full Time","Rural Area","","","","","1"
"Yes","2014","Part Time","Urban Area","","","","","1"
"Yes","2014","Part Time","Rural Area","","","","","1"
"Yes","2014","Not Working","Urban Area","","","","","1"
"Yes","2014","Not Working","Rural Area","","","","","1"
"No","2015","Full Time","Urban Area","5499","0.882733503182496","0.87474297348766","0.890724032877333","2"
"No","2015","Full Time","Rural Area","2878","0.877995256804672","0.866821764558969","0.889168749050375","2"
"No","2015","Part Time","Urban Area","4057","0.856136884981321","0.846096065762185","0.866177704200456","2"
"No","2015","Part Time","Rural Area","2088","0.827796728732286","0.812834288926822","0.84275916853775","2"
"No","2015","Not Working","Urban Area","4214","0.737334243341265","0.725714240810828","0.748954245871702","2"
"No","2015","Not Working","Rural Area","2296","0.740812456867159","0.725124516845317","0.756500396889001","2"
"Yes","2015","Full Time","Urban Area","729","0.117266496817504","0.109275967122667","0.12525702651234","1"
"Yes","2015","Full Time","Rural Area","418","0.122004743195328","0.110831250949625","0.133178235441031","1"
"Yes","2015","Part Time","Urban Area","636","0.143863115018679","0.133822295799544","0.153903934237815","1"
"Yes","2015","Part Time","Rural Area","358","0.172203271267714","0.15724083146225","0.187165711073178","1"
"Yes","2015","Not Working","Urban Area","1296","0.262665756658735","0.251045754128298","0.274285759189172","1"
"Yes","2015","Not Working","Rural Area","701","0.259187543132841","0.243499603111","0.274875483154683","1"
"No","2016","Full Time","Urban Area","","","","","2"
"No","2016","Full Time","Rural Area","","","","","2"
"No","2016","Part Time","Urban Area","","","","","2"
"No","2016","Part Time","Rural Area","","","","","2"
"No","2016","Not Working","Urban Area","","","","","2"
"No","2016","Not Working","Rural Area","","","","","2"
"Yes","2016","Full Time","Urban Area","","","","","1"
"Yes","2016","Full Time","Rural Area","","","","","1"
"Yes","2016","Part Time","Urban Area","","","","","1"
"Yes","2016","Part Time","Rural Area","","","","","1"
"Yes","2016","Not Working","Urban Area","","","","","1"
"Yes","2016","Not Working","Rural Area","","","","","1"
"No","2017","Full Time","Urban Area","5922","0.893763384750598","0.886367908880693","0.901158860620502","2"
"No","2017","Full Time","Rural Area","3291","0.884394868510306","0.874147226322602","0.89464251069801","2"
"No","2017","Part Time","Urban Area","4412","0.862021249055061","0.852526251041483","0.871516247068638","2"
"No","2017","Part Time","Rural Area","2247","0.845370160998435","0.83150478619304","0.859235535803829","2"
"No","2017","Not Working","Urban Area","4363","0.762400281582022","0.751186734820413","0.773613828343632","2"
"No","2017","Not Working","Rural Area","2381","0.73544636580111","0.719918934617801","0.750973796984419","2"
"Yes","2017","Full Time","Urban Area","747","0.106236615249402","0.0988411393794978","0.113632091119307","1"
"Yes","2017","Full Time","Rural Area","449","0.115605131489694","0.10535748930199","0.125852773677398","1"
"Yes","2017","Part Time","Urban Area","656","0.137978750944939","0.128483752931362","0.147473748958517","1"
"Yes","2017","Part Time","Rural Area","365","0.154629839001565","0.140764464196171","0.16849521380696","1"
"Yes","2017","Not Working","Urban Area","1171","0.237599718417978","0.226386171656368","0.248813265179587","1"
"Yes","2017","Not Working","Rural Area","719","0.26455363419889","0.249026203015581","0.2800810653822","1"
"No","2018","Full Time","Urban Area","","","","","2"
"No","2018","Full Time","Rural Area","","","","","2"
"No","2018","Part Time","Urban Area","","","","","2"
"No","2018","Part Time","Rural Area","","","","","2"
"No","2018","Not Working","Urban Area","","","","","2"
"No","2018","Not Working","Rural Area","","","","","2"
"Yes","2018","Full Time","Urban Area","","","","","1"
"Yes","2018","Full Time","Rural Area","","","","","1"
"Yes","2018","Part Time","Urban Area","","","","","1"
"Yes","2018","Part Time","Rural Area","","","","","1"
"Yes","2018","Not Working","Urban Area","","","","","1"
"Yes","2018","Not Working","Rural Area","","","","","1"
"No","2019","Full Time","Urban Area","5567","0.884347732502854","0.876434938945161","0.892260526060546","2"
"No","2019","Full Time","Rural Area","3228","0.884989731961072","0.874615574970622","0.895363888951521","2"
"No","2019","Part Time","Urban Area","3834","0.873038543174818","0.863210208076169","0.882866878273466","2"
"No","2019","Part Time","Rural Area","2053","0.85381594081448","0.839640224636792","0.867991656992169","2"
"No","2019","Not Working","Urban Area","3760","0.758056914381547","0.74593274791189","0.770181080851204","2"
