"ple0022","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2011","1-pers.-HH","East Germany","697","0.765507902696708","0.737873940406996","0.79314186498642","2"
"No","2011","Couple + C. GT 16 ","East Germany","606","0.86938014408193","0.844540358491047","0.894219929672814","2"
"No","2011","Couple + C. GT 16 ","West Germany","2173","0.874303512114297","0.861293055179563","0.887313969049031","2"
"No","2011","(Married) couple without C. ","East Germany","1620","0.777475019239304","0.759586991868999","0.795363046609608","2"
"No","2011","Couple + C. LE and GT 16","West Germany","921","0.885072327007665","0.865660768708476","0.904483885306854","2"
"No","2011","1-pers.-HH","West Germany","2096","0.793885978897022","0.778545321146787","0.809226636647258","2"
"No","2011","(Married) couple without C. ","West Germany","4750","0.777093777507802","0.766621934644609","0.787565620370995","2"
"No","2011","Couple + C. LE and GT 16","East Germany","174","0.876842124176867","0.830953316294935","0.9227309320588","2"
"No","2011","Single parent ","West Germany","747","0.850317399937915","0.826812811673593","0.873821988202238","2"
"No","2011","Single parent ","East Germany","261","0.92546459631497","0.895184282038935","0.955744910591004","2"
"No","2011","Couple + C. LE 16 ","West Germany","2207","0.901349472175823","0.88954187958491","0.913157064766735","2"
"No","2011","Couple + C. LE 16 ","East Germany","611","0.908450162944852","0.886564257656778","0.930336068232927","2"
"Yes","2011","1-pers.-HH","West Germany","575","0.206114021102978","0.190773363352742","0.221454678853213","1"
"Yes","2011","1-pers.-HH","East Germany","206","0.234492097303292","0.20685813501358","0.262126059593004","1"
"Yes","2011","(Married) couple without C. ","West Germany","1318","0.222906222492198","0.212434379629005","0.233378065355391","1"
"Yes","2011","(Married) couple without C. ","East Germany","457","0.222524980760696","0.204636953390392","0.240413008131001","1"
"Yes","2011","Single parent ","West Germany","138","0.149682600062085","0.126178011797762","0.173187188326407","1"
"Yes","2011","Single parent ","East Germany","28","","","","1"
"Yes","2011","Couple + C. LE 16 ","West Germany","243","0.0986505278241771","0.0868429352332646","0.11045812041509","1"
"Yes","2011","Couple + C. LE 16 ","East Germany","56","0.0915498370551475","0.0696639317670733","0.113435742343222","1"
"Yes","2011","Couple + C. GT 16 ","West Germany","321","0.125696487885703","0.112686030950969","0.138706944820437","1"
"Yes","2011","Couple + C. GT 16 ","East Germany","101","0.13061985591807","0.105780070327186","0.155459641508953","1"
"Yes","2011","Couple + C. LE and GT 16","West Germany","116","0.114927672992335","0.0955161146931464","0.134339231291524","1"
"Yes","2011","Couple + C. LE and GT 16","East Germany","23","","","","1"
"No","2012","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2012","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2012","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2012","Couple + C. LE and GT 16","East Germany","","","","","2"
"No","2012","(Married) couple without C. ","East Germany","","","","","2"
"No","2012","1-pers.-HH","East Germany","","","","","2"
"No","2012","(Married) couple without C. ","West Germany","","","","","2"
"No","2012","1-pers.-HH","West Germany","","","","","2"
"No","2012","Single parent ","West Germany","","","","","2"
"No","2012","Single parent ","East Germany","","","","","2"
"No","2012","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2012","Couple + C. LE 16 ","East Germany","","","","","2"
"Yes","2012","1-pers.-HH","West Germany","","","","","1"
"Yes","2012","1-pers.-HH","East Germany","","","","","1"
"Yes","2012","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2012","(Married) couple without C. ","East Germany","","","","","1"
"Yes","2012","Single parent ","West Germany","","","","","1"
"Yes","2012","Single parent ","East Germany","","","","","1"
"Yes","2012","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2012","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2012","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2012","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","2013","Couple + C. LE and GT 16","East Germany","121","0.922519207307512","0.876021561308635","0.969016853306388","2"
"No","2013","Couple + C. GT 16 ","West Germany","1818","0.858804904084228","0.843971366843849","0.873638441324608","2"
"No","2013","Couple + C. GT 16 ","East Germany","444","0.869594967193025","0.840567542659806","0.898622391726245","2"
"No","2013","Couple + C. LE and GT 16","West Germany","729","0.88974349806278","0.868240262972322","0.911246733153238","2"
"No","2013","1-pers.-HH","West Germany","2011","0.764754636271528","0.748463581761076","0.781045690781981","2"
"No","2013","1-pers.-HH","East Germany","670","0.75694892902274","0.728430850415905","0.785467007629575","2"
"No","2013","(Married) couple without C. ","East Germany","1584","0.788027960490133","0.77013388211267","0.805922038867596","2"
"No","2013","(Married) couple without C. ","West Germany","4441","0.785831515803913","0.775135354592583","0.796527677015244","2"
"No","2013","Single parent ","West Germany","715","0.859585872283562","0.83629879034181","0.882872954225315","2"
"No","2013","Single parent ","East Germany","220","0.86874643911748","0.827779840820075","0.909713037414885","2"
"No","2013","Couple + C. LE 16 ","West Germany","1935","0.901048423575403","0.888461903566904","0.913634943583903","2"
"No","2013","Couple + C. LE 16 ","East Germany","563","0.904452671085139","0.88114334679404","0.927761995376238","2"
"Yes","2013","Single parent ","West Germany","140","0.140414127716438","0.117127045774685","0.16370120965819","1"
"Yes","2013","Single parent ","East Germany","41","0.13125356088252","0.0902869625851147","0.172220159179925","1"
"Yes","2013","Couple + C. LE 16 ","West Germany","227","0.0989515764245968","0.0863650564160976","0.111538096433096","1"
"Yes","2013","Couple + C. LE 16 ","East Germany","48","0.0955473289148608","0.0722380046237618","0.11885665320596","1"
"Yes","2013","Couple + C. GT 16 ","West Germany","299","0.141195095915771","0.126361558675392","0.156028633156151","1"
"Yes","2013","Couple + C. GT 16 ","East Germany","73","0.130405032806974","0.101377608273755","0.159432457340194","1"
"Yes","2013","Couple + C. LE and GT 16","West Germany","86","0.11025650193722","0.0887532668467616","0.131759737027678","1"
"Yes","2013","Couple + C. LE and GT 16","East Germany","6","","","","1"
"Yes","2013","1-pers.-HH","West Germany","593","0.235245363728472","0.218954309218019","0.251536418238924","1"
"Yes","2013","1-pers.-HH","East Germany","199","0.24305107097726","0.214532992370425","0.271569149584095","1"
"Yes","2013","(Married) couple without C. ","West Germany","1210","0.214168484196087","0.203472322984756","0.224864645407417","1"
"Yes","2013","(Married) couple without C. ","East Germany","420","0.211972039509867","0.194077961132404","0.22986611788733","1"
"No","2014","1-pers.-HH","West Germany","","","","","2"
