"ple0022","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","1674","1","1","1"
"Yes","2011","secondary school degree","988","1","1","1"
"Yes","2011","college entrance qualification","673","1","1","1"
"Yes","2011","Other degree","218","1","1","1"
"Yes","2011","no degree/no degree yet","81","1","1","1"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","1488","1","1","1"
"Yes","2013","secondary school degree","952","1","1","1"
"Yes","2013","college entrance qualification","660","1","1","1"
"Yes","2013","Other degree","218","1","1","1"
"Yes","2013","no degree/no degree yet","66","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","1515","1","1","1"
"Yes","2015","secondary school degree","1202","1","1","1"
"Yes","2015","college entrance qualification","766","1","1","1"
"Yes","2015","Other degree","474","1","1","1"
"Yes","2015","no degree/no degree yet","110","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","1393","1","1","1"
"Yes","2017","secondary school degree","1229","1","1","1"
"Yes","2017","college entrance qualification","820","1","1","1"
"Yes","2017","Other degree","497","1","1","1"
"Yes","2017","no degree/no degree yet","111","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","1251","1","1","1"
"Yes","2019","secondary school degree","1220","1","1","1"
"Yes","2019","college entrance qualification","932","1","1","1"
"Yes","2019","Other degree","386","1","1","1"
"Yes","2019","no degree/no degree yet","101","1","1","1"
