"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","3.6","4","9469","3","3","4","5","5","3.58","3.62","1","5","4","4"
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","3.72","4","13283","3","3","4","5","5","3.71","3.73","1","5","4","4"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","3.76","4","14220","3","3","4","5","5","3.75","3.77","1","5","4","4"
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","3.8","4","22170","3","3","4","5","5","3.79","3.81","1","5","4","4"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","3.92","4","19348","3","4","4","5","5","3.91","3.93","1","5","4","4"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","3.8","4","25551","3","3","4","5","5","3.79","3.81","1","5","4","4"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","4.05","4","5531","2","3","5","5","5","4.02","4.08","1","5","4","4"
"2018","3.56","4","3859","2","3","4","5","5","3.53","3.59","1","5","4","4"
"2019","3.7","4","29406","3","3","4","5","5","3.69","3.71","1","5","4","4"
