"plh0185","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2010","West Germany","Female","1498","0.239460169465298","0.229159055838372","0.249761283092223","3"
"Sometimes","2010","West Germany","Male","775","0.14551380559679","0.136560107096245","0.154467504097336","3"
"Sometimes","2010","East Germany","Female","512","0.258362916167671","0.239847099308924","0.276878733026418","3"
"Very often","2010","East Germany","Male","14","","","","5"
"Very often","2010","West Germany","Female","114","0.0168914873016024","0.0137809083638086","0.0200020662393961","5"
"Very often","2010","West Germany","Male","45","0.00851650577155629","0.00618320186348533","0.0108498096796273","5"
"Very often","2010","East Germany","Female","34","0.0192828838375625","0.013466006057768","0.0250997616173571","5"
"Very rare","2010","East Germany","Male","911","0.450217557474252","0.428314592286626","0.472120522661879","1"
"Very rare","2010","East Germany","Female","614","0.279461831885454","0.260480712747293","0.298442951023614","1"
"Very rare","2010","West Germany","Female","2096","0.298799223845788","0.287750363615155","0.309848084076421","1"
"Very rare","2010","West Germany","Male","2859","0.440263206198305","0.427658115774339","0.45286829662227","1"
"Often","2011","East Germany","Male","73","0.0433707972601506","0.0350947984541147","0.0516467960661864","4"
"Often","2011","East Germany","Female","219","0.0945403918166063","0.0832485272748765","0.105832256358336","4"
"Often","2011","West Germany","Female","714","0.0947981577366916","0.0885225176947419","0.101073797778641","4"
"Often","2011","West Germany","Male","260","0.0362995490448969","0.0320533125717349","0.040545785518059","4"
"Rarely","2011","East Germany","Male","807","0.355737455475734","0.336286267168298","0.37518864378317","2"
"Rarely","2011","East Germany","Female","914","0.363449562226158","0.344886017635316","0.382013106817001","2"
"Rarely","2011","West Germany","Female","2853","0.336499822287812","0.326377077133462","0.346622567442162","2"
"Rarely","2011","West Germany","Male","2468","0.335042590753758","0.324326670962116","0.345758510545399","2"
"Sometimes","2011","East Germany","Male","306","0.132987033945295","0.119190584131028","0.146783483759563","3"
"Sometimes","2011","East Germany","Female","666","0.25233159884838","0.235568173958168","0.269095023738593","3"
"Sometimes","2011","West Germany","Female","2011","0.243763157855324","0.234565053946304","0.252961261764344","3"
"Sometimes","2011","West Germany","Male","1062","0.156904759130982","0.148647443081763","0.1651620751802","3"
"Very often","2011","East Germany","Male","11","","","","5"
"Very often","2011","East Germany","Female","56","0.0213268371251867","0.0157510718132475","0.026902602437126","5"
"Very often","2011","West Germany","Female","195","0.0242706828176001","0.0209738946981406","0.0275674709370597","5"
"Very often","2011","West Germany","Male","56","0.00890342213697569","0.00677077501373939","0.011036069260212","5"
"Very rare","2011","East Germany","Male","1130","0.46309364641679","0.442833919726027","0.483353373107553","1"
"Very rare","2011","East Germany","Female","724","0.268351609983668","0.251250443569961","0.285452776397375","1"
"Very rare","2011","West Germany","Female","2597","0.300668179302572","0.290844577711608","0.310491780893536","1"
"Very rare","2011","West Germany","Male","3607","0.462849678933388","0.451529574495035","0.474169783371741","1"
"Often","2012","East Germany","Male","79","0.0445493827679139","0.0361214628621239","0.0529773026737039","4"
"Often","2012","East Germany","Female","193","0.0843841609266327","0.0736187547978406","0.0951495670554248","4"
"Often","2012","West Germany","Female","635","0.0759911196058678","0.0702886971271785","0.0816935420845571","4"
"Often","2012","West Germany","Male","259","0.0365625856626452","0.0322764842940399","0.0408486870312505","4"
"Rarely","2012","East Germany","Male","841","0.363144375782622","0.343499215033821","0.382789536531423","2"
"Rarely","2012","East Germany","Female","930","0.346749773791608","0.328316979374081","0.365182568209135","2"
"Rarely","2012","West Germany","Female","2880","0.350176328311763","0.339910805981032","0.360441850642494","2"
"Rarely","2012","West Germany","Male","2449","0.337341445466171","0.326544224510421","0.348138666421922","2"
"Sometimes","2012","East Germany","Male","289","0.131792765283187","0.117974519382554","0.14561101118382","3"
"Sometimes","2012","East Germany","Female","568","0.224576016533749","0.208414035098696","0.240737997968803","3"
"Sometimes","2012","West Germany","Female","1743","0.214507949651562","0.205674456254371","0.223341443048753","3"
"Sometimes","2012","West Germany","Male","894","0.132290872689045","0.124553664953635","0.140028080424455","3"
"Very often","2012","East Germany","Male","11","","","","5"
