"plh0185","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Often","2007","Couple + C. LE 16 ","vocational + Abi","18","","","","4"
"Often","2007","Couple + C. GT 16 ","vocational + Abi","7","","","","4"
"Often","2007","Couple + C. LE 16 ","middle vocational","72","0.0483401138502049","0.038189069036219","0.0584911586641908","4"
"Often","2007","Couple + C. GT 16 ","inadequately","8","","","","4"
"Often","2007","Couple + C. GT 16 ","middle vocational","88","0.0578021338231726","0.0469455820931462","0.068658685553199","4"
"Often","2007","Couple + C. LE 16 ","higher vocational","21","","","","4"
"Often","2007","Couple + C. GT 16 ","general elemantary","23","","","","4"
"Often","2007","Couple + C. LE 16 ","higher education","37","0.0655093382694957","0.0490966372470823","0.0819220392919091","4"
"Often","2007","Couple + C. GT 16 ","in school","10","","","","4"
"Often","2007","Single parent ","in school","","","","","4"
"Often","2007","Single parent ","inadequately","5","","","","4"
"Often","2007","Single parent ","general elemantary","18","","","","4"
"Often","2007","Single parent ","middle vocational","53","0.101062146690867","0.0758032997306396","0.126320993651094","4"
"Often","2007","Single parent ","vocational + Abi","7","","","","4"
"Often","2007","Single parent ","higher vocational","1","","","","4"
"Often","2007","Single parent ","higher education","15","","","","4"
"Often","2007","Couple + C. LE 16 ","in school","","","","","4"
"Often","2007","Couple + C. LE 16 ","inadequately","2","","","","4"
"Often","2007","Couple + C. LE 16 ","general elemantary","24","","","","4"
"Often","2007","Couple + C. GT 16 ","higher vocational","15","","","","4"
"Often","2007","Couple + C. GT 16 ","higher education","29","","","","4"
"Often","2007","Couple + C. LE and GT 16","in school","4","","","","4"
"Often","2007","Couple + C. LE and GT 16","inadequately","3","","","","4"
"Often","2007","Couple + C. LE and GT 16","general elemantary","11","","","","4"
"Often","2007","Couple + C. LE and GT 16","middle vocational","37","0.0794844296453889","0.0568372350199081","0.10213162427087","4"
"Often","2007","Couple + C. LE and GT 16","vocational + Abi","4","","","","4"
"Often","2007","Couple + C. LE and GT 16","higher vocational","3","","","","4"
"Often","2007","Couple + C. LE and GT 16","higher education","5","","","","4"
"Often","2007","1-pers.-HH","in school","","","","","4"
"Often","2007","1-pers.-HH","inadequately","1","","","","4"
"Often","2007","1-pers.-HH","general elemantary","51","0.125979271461752","0.0945058058929942","0.157452737030511","4"
"Often","2007","1-pers.-HH","middle vocational","126","0.0605138546663373","0.049026456066247","0.0720012532664277","4"
"Often","2007","1-pers.-HH","vocational + Abi","22","","","","4"
"Often","2007","1-pers.-HH","higher vocational","17","","","","4"
"Often","2007","1-pers.-HH","higher education","40","0.0875312169543161","0.0654454106347854","0.109617023273847","4"
"Often","2007","(Married) couple without C. ","in school","","","","","4"
"Often","2007","(Married) couple without C. ","inadequately","10","","","","4"
"Often","2007","(Married) couple without C. ","general elemantary","63","0.0965572016158803","0.0742594636096963","0.118854939622064","4"
"Often","2007","(Married) couple without C. ","middle vocational","274","0.0760664510831709","0.0677054380179719","0.08442746414837","4"
"Often","2007","(Married) couple without C. ","vocational + Abi","36","0.101722978790228","0.0702338141418112","0.133212143438645","4"
"Often","2007","(Married) couple without C. ","higher vocational","28","","","","4"
"Often","2007","(Married) couple without C. ","higher education","79","0.0588008744239686","0.0479118092798121","0.0696899395681251","4"
"Rarely","2007","1-pers.-HH","middle vocational","479","0.297383749418287","0.275361240047739","0.319406258788835","2"
"Rarely","2007","Single parent ","vocational + Abi","16","","","","2"
"Rarely","2007","Single parent ","higher vocational","13","","","","2"
"Rarely","2007","Single parent ","higher education","46","0.279818856507694","0.208918716568412","0.350718996446975","2"
"Rarely","2007","(Married) couple without C. ","general elemantary","203","0.320879132241917","0.285636980422212","0.356121284061621","2"
"Rarely","2007","(Married) couple without C. ","middle vocational","1156","0.315719566121661","0.301060383137266","0.330378749106056","2"
"Rarely","2007","(Married) couple without C. ","vocational + Abi","98","0.262920459631721","0.217062383644422","0.30877853561902","2"
"Rarely","2007","1-pers.-HH","in school","","","","","2"
"Rarely","2007","1-pers.-HH","inadequately","7","","","","2"
"Rarely","2007","1-pers.-HH","general elemantary","123","0.284598650314839","0.241800455709929","0.327396844919749","2"
"Rarely","2007","Single parent ","general elemantary","53","0.274573200887206","0.210776967607066","0.338369434167345","2"
"Rarely","2007","Single parent ","middle vocational","165","0.292877297316498","0.254740460162795","0.331014134470201","2"
"Rarely","2007","Couple + C. LE 16 ","middle vocational","602","0.34812586903152","0.325580048243776","0.370671689819265","2"
"Rarely","2007","Couple + C. LE 16 ","vocational + Abi","116","0.33227239792704","0.283204974044771","0.381339821809309","2"
"Rarely","2007","Couple + C. LE 16 ","higher vocational","115","0.332277386959107","0.283687831535306","0.380866942382908","2"
"Rarely","2007","Couple + C. LE 16 ","higher education","303","0.349300727550824","0.317675702743668","0.38092575235798","2"
"Rarely","2007","1-pers.-HH","vocational + Abi","52","0.292624550160297","0.226159672519174","0.35908942780142","2"
