"plh0185","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","16-34 y.","(0) in school","158","0.476919299024333","0.423828968454537","0.530009629594129"
"Very rare","2007","16-34 y.","(1a) inadequately completed","19","","",""
"Very rare","2007","16-34 y.","(1b) general elementary school","145","0.447280997527258","0.393797294212923","0.500764700841594"
"Very rare","2007","16-34 y.","(1c) basic vocational qualification","210","0.377928971912177","0.33597099988004","0.419886943944313"
"Very rare","2007","16-34 y.","(2b) intermediate general qualification","144","0.387983208680492","0.339181296615072","0.436785120745911"
"Very rare","2007","16-34 y.","(2a) intermediate vocational","386","0.355165099316082","0.325548374277723","0.384781824354441"
"Very rare","2007","16-34 y.","(2c_gen) general maturity certificate","252","0.334882084425382","0.299172720769101","0.370591448081662"
"Very rare","2007","16-34 y.","(2c_voc) vocational maturity certificate","167","0.348774049571426","0.305870141712275","0.391677957430576"
"Very rare","2007","16-34 y.","(3a) lower tertiary education","81","0.362074353332589","0.296603676386722","0.427545030278457"
"Very rare","2007","16-34 y.","(3b) higher tertiary education","139","0.421216201635893","0.369488309054994","0.472944094216791"
"Very rare","2007","35-65 y.","(0) in school","","","",""
"Very rare","2007","35-65 y.","(1a) inadequately completed","37","0.283898439959371","0.201490703783466","0.366306176135276"
"Very rare","2007","35-65 y.","(1b) general elementary school","249","0.366702008605956","0.329880986152082","0.403523031059831"
"Very rare","2007","35-65 y.","(1c) basic vocational qualification","1296","0.400805907669835","0.383615647084112","0.417996168255557"
"Very rare","2007","35-65 y.","(2b) intermediate general qualification","43","0.417185350458345","0.321020323259755","0.513350377656935"
"Very rare","2007","35-65 y.","(2a) intermediate vocational","1336","0.385068525919746","0.368605127543671","0.401531924295821"
"Very rare","2007","35-65 y.","(2c_gen) general maturity certificate","53","0.369527582932167","0.284571647798504","0.45448351806583"
"Very rare","2007","35-65 y.","(2c_voc) vocational maturity certificate","371","0.385926658149527","0.354245068905126","0.417608247393929"
"Very rare","2007","35-65 y.","(3a) lower tertiary education","475","0.375975981490975","0.347883135206256","0.404068827775693"
"Very rare","2007","35-65 y.","(3b) higher tertiary education","820","0.420336345520847","0.397981806961511","0.442690884080183"
"Very rare","2007","66 and older","(0) in school","","","",""
"Very rare","2007","66 and older","(1a) inadequately completed","22","","",""
"Very rare","2007","66 and older","(1b) general elementary school","232","0.304229733530367","0.271058651902771","0.337400815157962"
