"plh0185","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","in school","Urban Area","99","0.403063776834157","0.339254178011111","0.466873375657203"
"Very rare","2007","in school","Rural Area","59","0.624889083869543","0.535622238019883","0.714155929719202"
"Very rare","2007","inadequately","Urban Area","49","0.328899926085632","0.254211754404996","0.403588097766268"
"Very rare","2007","inadequately","Rural Area","22","","",""
"Very rare","2007","general elemantary","Urban Area","559","0.379669971332319","0.354818974967442","0.404520967697195"
"Very rare","2007","general elemantary","Rural Area","258","0.324246834676897","0.29058904431758","0.357904625036213"
"Very rare","2007","middle vocational","Urban Area","2750","0.4026987907965","0.390810689618841","0.414586891974158"
"Very rare","2007","middle vocational","Rural Area","1472","0.374876819890578","0.359481181356148","0.390272458425008"
"Very rare","2007","vocational + Abi","Urban Area","348","0.398290756806539","0.365964635955907","0.430616877657171"
"Very rare","2007","vocational + Abi","Rural Area","110","0.346729297671129","0.291858530744743","0.401600064597516"
"Very rare","2007","higher vocational","Urban Area","436","0.437837134193044","0.406404592836338","0.469269675549751"
"Very rare","2007","higher vocational","Rural Area","231","0.376293065554519","0.336764270297502","0.415821860811537"
"Very rare","2007","higher education","Urban Area","1411","0.422571995003974","0.405286170115161","0.439857819892788"
"Very rare","2007","higher education","Rural Area","516","0.396971252100669","0.369912871068714","0.424029633132625"
"Rarely","2007","in school","Urban Area","75","0.341643478843572","0.279948147498761","0.403338810188382"
"Rarely","2007","in school","Rural Area","32","0.226034419500733","0.148916202275717","0.303152636725748"
"Rarely","2007","inadequately","Urban Area","36","0.241561374672498","0.173515740738282","0.309607008606715"
"Rarely","2007","inadequately","Rural Area","21","","",""
"Rarely","2007","general elemantary","Urban Area","456","0.288587009869189","0.265384842068241","0.311789177670137"
"Rarely","2007","general elemantary","Rural Area","237","0.316758684821141","0.283308000279029","0.350209369363253"
"Rarely","2007","middle vocational","Urban Area","2029","0.311610172248269","0.300383561415984","0.322836783080555"
"Rarely","2007","middle vocational","Rural Area","1221","0.327652638129224","0.312725577460971","0.342579698797478"
"Rarely","2007","vocational + Abi","Urban Area","268","0.287759043173574","0.257864763095668","0.317653323251479"
"Rarely","2007","vocational + Abi","Rural Area","96","0.339832080791691","0.285223792337087","0.394440369246296"
"Rarely","2007","higher vocational","Urban Area","295","0.318852487269421","0.289326283389995","0.348378691148846"
"Rarely","2007","higher vocational","Rural Area","198","0.365221265387891","0.325934217385652","0.40450831339013"
"Rarely","2007","higher education","Urban Area","1009","0.3159074712823","0.29963969452584","0.33217524803876"
"Rarely","2007","higher education","Rural Area","418","0.335555144555236","0.3094416680437","0.361668621066773"
"Sometimes","2007","in school","Urban Area","42","0.209486497999633","0.156548461771775","0.262424534227492"
"Sometimes","2007","in school","Rural Area","14","","",""
"Sometimes","2007","inadequately","Urban Area","38","0.239459703957052","0.171616924481622","0.307302483432482"
"Sometimes","2007","inadequately","Rural Area","11","","",""
"Sometimes","2007","general elemantary","Urban Area","276","0.206575831246051","0.185844759915539","0.227306902576562"
"Sometimes","2007","general elemantary","Rural Area","168","0.242378850983013","0.211566340096731","0.273191361869295"
"Sometimes","2007","middle vocational","Urban Area","1209","0.198558815502964","0.188889270306046","0.208228360699882"
"Sometimes","2007","middle vocational","Rural Area","798","0.213774929324494","0.200736585158246","0.226813273490742"
"Sometimes","2007","vocational + Abi","Urban Area","173","0.215144955642598","0.188010541592006","0.24227936969319"
"Sometimes","2007","vocational + Abi","Rural Area","58","0.230362358236284","0.18181695893609","0.278907757536478"
"Sometimes","2007","higher vocational","Urban Area","152","0.147774807022186","0.125291017722388","0.170258596321984"
"Sometimes","2007","higher vocational","Rural Area","116","0.199131202591099","0.166546742491716","0.231715662690483"
"Sometimes","2007","higher education","Urban Area","542","0.183783221523813","0.170229875672869","0.197336567374758"
"Sometimes","2007","higher education","Rural Area","244","0.191840094088347","0.170064419845511","0.213615768331183"
"Often","2007","in school","Urban Area","8","","",""
"Often","2007","in school","Rural Area","6","","",""
"Often","2007","inadequately","Urban Area","22","","",""
"Often","2007","inadequately","Rural Area","9","","",""
"Often","2007","general elemantary","Urban Area","136","0.102813702429898","0.0872613498220789","0.118366055037717"
"Often","2007","general elemantary","Rural Area","66","0.0965002746260053","0.0752687114055698","0.117731837846441"
"Often","2007","middle vocational","Urban Area","429","0.0685734406135716","0.0624474276449229","0.0746994535822202"
"Often","2007","middle vocational","Rural Area","237","0.0656538495811958","0.0577769626935681","0.0735307364688234"
"Often","2007","vocational + Abi","Urban Area","74","0.0770445768307157","0.0594361102718529","0.0946530433895785"
"Often","2007","vocational + Abi","Rural Area","22","","",""
"Often","2007","higher vocational","Urban Area","61","0.069298736963538","0.0532085928698251","0.0853888810572509"
"Often","2007","higher vocational","Rural Area","25","","",""
"Often","2007","higher education","Urban Area","148","0.0654871726547596","0.0568302889071952","0.0741440564023239"
"Often","2007","higher education","Rural Area","61","0.0644490618427222","0.0508692019079095","0.0780289217775349"
"Very often","2007","in school","Urban Area","3","","",""
"Very often","2007","in school","Rural Area","2","","",""
