"plh0185","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","no migration background","West Germany","5466","0.407006988533901","0.398479213181008","0.415534763886794"
"Very rare","2007","no migration background","East Germany","1820","0.363789861927549","0.350290654502429","0.37728906935267"
"Very rare","2007","direct migration background","West Germany","826","0.387923162639148","0.366726089396686","0.409120235881609"
"Very rare","2007","direct migration background","East Germany","27","","",""
"Very rare","2007","indirect migration background","West Germany","296","0.38195399906711","0.347018285741795","0.416889712392426"
"Very rare","2007","indirect migration background","East Germany","19","","",""
"Rarely","2007","no migration background","West Germany","4017","0.31823485871535","0.310149462605306","0.326320254825394"
"Rarely","2007","no migration background","East Germany","1612","0.330595199362265","0.317395155793756","0.343795242930774"
"Rarely","2007","direct migration background","West Germany","593","0.276910423749209","0.257444914293342","0.296375933205077"
"Rarely","2007","direct migration background","East Germany","26","","",""
"Rarely","2007","indirect migration background","West Germany","237","0.310018568277026","0.276762857152428","0.343274279401624"
"Rarely","2007","indirect migration background","East Germany","11","","",""
"Sometimes","2007","no migration background","West Germany","2273","0.190097019230654","0.183285967439441","0.196908071021867"
"Sometimes","2007","no migration background","East Germany","1052","0.209430882235766","0.198013331089616","0.220848433381916"
"Sometimes","2007","direct migration background","West Germany","391","0.222654353969025","0.204556680282825","0.240752027655225"
"Sometimes","2007","direct migration background","East Germany","30","0.421445446428658","0.321088033408594","0.521802859448722"
"Sometimes","2007","indirect migration background","West Germany","146","0.224443010361975","0.194443540176496","0.254442480547453"
"Sometimes","2007","indirect migration background","East Germany","7","","",""
"Often","2007","no migration background","West Germany","794","0.0684643536987775","0.0640806415799108","0.0728480658176442"
"Often","2007","no migration background","East Germany","307","0.075533120021383","0.0681183604639891","0.082947879578777"
"Often","2007","direct migration background","West Germany","168","0.0860049221402647","0.0738084661211","0.0982013781594293"
"Often","2007","direct migration background","East Germany","9","","",""
"Often","2007","indirect migration background","West Germany","49","0.0644501428614934","0.046793867443435","0.0821064182795518"
"Often","2007","indirect migration background","East Germany","4","","",""
"Very often","2007","no migration background","West Germany","199","0.0161967798213175","0.0140055976300209","0.018387962012614"
"Very often","2007","no migration background","East Germany","88","0.0206509364530365","0.0166604916003876","0.0246413813056854"
"Very often","2007","direct migration background","West Germany","52","0.0265071375023536","0.0195192183232526","0.0334950566814546"
"Very often","2007","direct migration background","East Germany","1","","",""
"Very often","2007","indirect migration background","West Germany","15","","",""
"Very often","2007","indirect migration background","East Germany","","","",""
"Very rare","2008","no migration background","West Germany","5008","0.40542625401117","0.396647254960113","0.414205253062226"
"Very rare","2008","no migration background","East Germany","1725","0.370982936732827","0.35711186822963","0.384854005236025"
"Very rare","2008","direct migration background","West Germany","716","0.377726973870443","0.355489922874133","0.399964024866753"
"Very rare","2008","direct migration background","East Germany","19","","",""
"Very rare","2008","indirect migration background","West Germany","319","0.436851078385808","0.400846091147196","0.472856065624421"
"Very rare","2008","indirect migration background","East Germany","15","","",""
"Rarely","2008","no migration background","West Germany","4128","0.340456671427083","0.331983640458871","0.348929702395296"
"Rarely","2008","no migration background","East Germany","1731","0.356058026181492","0.342308570894992","0.369807481467993"
"Rarely","2008","direct migration background","West Germany","574","0.300693449102342","0.279660823744475","0.321726074460209"
"Rarely","2008","direct migration background","East Germany","24","","",""
"Rarely","2008","indirect migration background","West Germany","242","0.317632897120145","0.283837612734531","0.351428181505758"
"Rarely","2008","indirect migration background","East Germany","18","","",""
"Sometimes","2008","no migration background","West Germany","1990","0.174072305811739","0.167292425004687","0.180852186618791"
"Sometimes","2008","no migration background","East Germany","850","0.182967197022086","0.17186502122368","0.194069372820492"
"Sometimes","2008","direct migration background","West Germany","360","0.218321335931773","0.199373486562951","0.237269185300595"
"Sometimes","2008","direct migration background","East Germany","20","","",""
"Sometimes","2008","indirect migration background","West Germany","119","0.165059171856475","0.138110832548861","0.192007511164088"
"Sometimes","2008","indirect migration background","East Germany","8","","",""
"Often","2008","no migration background","West Germany","699","0.062471492324154","0.0581441686081699","0.066798816040138"
"Often","2008","no migration background","East Germany","280","0.0715797910649969","0.0641774474413207","0.0789821346886731"
"Often","2008","direct migration background","West Germany","139","0.08340407203224","0.0707222897359767","0.0960858543285033"
"Often","2008","direct migration background","East Germany","16","","",""
"Often","2008","indirect migration background","West Germany","41","0.0739325781260853","0.0549382666474536","0.092926889604717"
"Often","2008","indirect migration background","East Germany","2","","",""
"Very often","2008","no migration background","West Germany","190","0.0175732764258539","0.0152238456282073","0.0199227072235004"
"Very often","2008","no migration background","East Germany","73","0.0184120489985974","0.0145517814477921","0.0222723165494028"
"Very often","2008","direct migration background","West Germany","37","0.0198541690632022","0.0134558055422076","0.0262525325841967"
"Very often","2008","direct migration background","East Germany","","","",""
"Very often","2008","indirect migration background","West Germany","8","","",""
"Very often","2008","indirect migration background","East Germany","","","",""
"Very rare","2009","no migration background","West Germany","4610","0.396431370965268","0.38737910995648","0.405483631974056"
"Very rare","2009","no migration background","East Germany","1670","0.37508747752173","0.360804859450016","0.389370095593443"
"Very rare","2009","direct migration background","West Germany","616","0.357496785162362","0.333865177355605","0.38112839296912"
