"plh0185","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2007","(Married) couple without C. ","Rural Area","162","0.0741788421805512","0.0637377967856095","0.0846198875754929"
"Often","2007","(Married) couple without C. ","Urban Area","333","0.0756091809703953","0.0682361907732462","0.0829821711675444"
"Often","2007","1-pers.-HH","Rural Area","89","0.0851926391953625","0.0679330314414341","0.102452246949291"
"Often","2007","1-pers.-HH","Urban Area","173","0.0798079108344172","0.0683689668957441","0.0912468547730903"
"Often","2007","Couple + C. GT 16 ","Rural Area","71","0.0437787624881722","0.0329524148488764","0.054605110127468"
"Often","2007","Couple + C. GT 16 ","Urban Area","120","0.069590446492916","0.0588571367642591","0.080323756221573"
"Often","2007","Couple + C. LE 16 ","Rural Area","40","0.0440603919604619","0.0320033737961125","0.0561174101248112"
"Often","2007","Couple + C. LE 16 ","Urban Area","134","0.0645870325735089","0.0548917179966971","0.0742823471503207"
"Often","2007","Couple + C. LE and GT 16","Rural Area","25","","",""
"Often","2007","Couple + C. LE and GT 16","Urban Area","45","0.0561100659594117","0.0409394566011102","0.0712806753177131"
"Often","2007","Single parent ","Rural Area","34","0.0939651700355885","0.0652633963135652","0.122666943757612"
"Often","2007","Single parent ","Urban Area","67","0.0890518120639339","0.0678462546746188","0.110257369453249"
"Rarely","2007","(Married) couple without C. ","Rural Area","744","0.31437762156171","0.295880305721085","0.332874937402334"
"Rarely","2007","(Married) couple without C. ","Urban Area","1476","0.312534884115957","0.299607723042128","0.325462045189786"
"Rarely","2007","1-pers.-HH","Rural Area","292","0.295378834502401","0.26717341336312","0.323584255641682"
"Rarely","2007","1-pers.-HH","Urban Area","650","0.300538397097187","0.281185070079227","0.319891724115147"
"Rarely","2007","Couple + C. GT 16 ","Rural Area","458","0.344780539943003","0.319630666625039","0.369930413260967"
"Rarely","2007","Couple + C. GT 16 ","Urban Area","728","0.310086936144939","0.29057678251797","0.329597089771909"
"Rarely","2007","Couple + C. LE 16 ","Rural Area","425","0.39284350935652","0.364151522652253","0.421535496060786"
"Rarely","2007","Couple + C. LE 16 ","Urban Area","802","0.315529785851619","0.297198834522084","0.333860737181154"
"Rarely","2007","Couple + C. LE and GT 16","Rural Area","161","0.329756907869846","0.286512168010184","0.373001647729508"
"Rarely","2007","Couple + C. LE and GT 16","Urban Area","292","0.322161494589215","0.291356446427495","0.352966542750935"
"Rarely","2007","Single parent ","Rural Area","109","0.277761666358449","0.233703211749319","0.321820120967578"
"Rarely","2007","Single parent ","Urban Area","209","0.283819429623102","0.25025233115935","0.317386528086854"
"Sometimes","2007","(Married) couple without C. ","Rural Area","529","0.225662618211301","0.209007975043026","0.242317261379576"
"Sometimes","2007","(Married) couple without C. ","Urban Area","907","0.192999448363594","0.181993093082104","0.204005803645084"
"Sometimes","2007","1-pers.-HH","Rural Area","198","0.208953366758276","0.183817678009257","0.234089055507296"
"Sometimes","2007","1-pers.-HH","Urban Area","414","0.204610189565946","0.187581651945674","0.221638727186218"
"Sometimes","2007","Couple + C. GT 16 ","Rural Area","276","0.19330554011802","0.172410282832034","0.214200797404006"
"Sometimes","2007","Couple + C. GT 16 ","Urban Area","392","0.197977323710449","0.181169061355349","0.214785586065548"
"Sometimes","2007","Couple + C. LE 16 ","Rural Area","211","0.186528968135255","0.16364429578778","0.20941364048273"
"Sometimes","2007","Couple + C. LE 16 ","Urban Area","392","0.157878039201891","0.143495488803372","0.17226058960041"
"Sometimes","2007","Couple + C. LE and GT 16","Rural Area","89","0.272628966258494","0.231666682283306","0.313591250233682"
"Sometimes","2007","Couple + C. LE and GT 16","Urban Area","169","0.228825787984619","0.201134019568433","0.256517556400805"
"Sometimes","2007","Single parent ","Rural Area","86","0.209989822404198","0.169924531175814","0.250055113632582"
"Sometimes","2007","Single parent ","Urban Area","141","0.221864624935261","0.190929413806507","0.252799836064015"
"Very often","2007","(Married) couple without C. ","Rural Area","45","0.0149766058601563","0.0101374414123832","0.0198157703079294"
"Very often","2007","(Married) couple without C. ","Urban Area","81","0.018351333670554","0.0146081560619459","0.0220945112791621"
"Very often","2007","1-pers.-HH","Rural Area","20","","",""
"Very often","2007","1-pers.-HH","Urban Area","55","0.0236869306434951","0.0172678525618345","0.0301060087251557"
"Very often","2007","Couple + C. GT 16 ","Rural Area","18","","",""
"Very often","2007","Couple + C. GT 16 ","Urban Area","27","","",""
"Very often","2007","Couple + C. LE 16 ","Rural Area","13","","",""
"Very often","2007","Couple + C. LE 16 ","Urban Area","26","","",""
"Very often","2007","Couple + C. LE and GT 16","Rural Area","5","","",""
"Very often","2007","Couple + C. LE and GT 16","Urban Area","14","","",""
"Very often","2007","Single parent ","Rural Area","10","","",""
"Very often","2007","Single parent ","Urban Area","27","","",""
"Very rare","2007","(Married) couple without C. ","Rural Area","940","0.370804312186282","0.35155985504341","0.390048769329153"
"Very rare","2007","(Married) couple without C. ","Urban Area","2142","0.400505152879499","0.386839658142513","0.414170647616486"
"Very rare","2007","1-pers.-HH","Rural Area","406","0.387109488004874","0.356995143302962","0.417223832706787"
"Very rare","2007","1-pers.-HH","Urban Area","864","0.391356571858954","0.37075542031436","0.411957723403549"
"Very rare","2007","Couple + C. GT 16 ","Rural Area","549","0.401624004764551","0.37568412564508","0.427563883884022"
"Very rare","2007","Couple + C. GT 16 ","Urban Area","892","0.411903898108816","0.391143108312543","0.432664687905088"
"Very rare","2007","Couple + C. LE 16 ","Rural Area","424","0.366846414567512","0.338532678230025","0.395160150904999"
"Very rare","2007","Couple + C. LE 16 ","Urban Area","1115","0.451496643288745","0.431867359500695","0.471125927076794"
"Very rare","2007","Couple + C. LE and GT 16","Rural Area","174","0.314315488037575","0.271611815584018","0.357019160491132"
"Very rare","2007","Couple + C. LE and GT 16","Urban Area","364","0.373015832312526","0.341136157817871","0.404895506807182"
"Very rare","2007","Single parent ","Rural Area","158","0.398449202032315","0.350290422532126","0.446607981532505"
"Very rare","2007","Single parent ","Urban Area","249","0.364171042855519","0.328344547199573","0.399997538511466"
"Often","2008","(Married) couple without C. ","Rural Area","153","0.0761404042259627","0.0653943076721478","0.0868865007797776"
"Often","2008","(Married) couple without C. ","Urban Area","293","0.0701169724449292","0.0628324207443177","0.0774015241455408"
"Often","2008","1-pers.-HH","Rural Area","87","0.0840059764990303","0.0663849571078648","0.101626995890196"
"Often","2008","1-pers.-HH","Urban Area","162","0.0819031720909044","0.0701328142635672","0.0936735299182415"
"Often","2008","Couple + C. GT 16 ","Rural Area","60","0.0466939117610872","0.0351447519510818","0.0582430715710925"
"Often","2008","Couple + C. GT 16 ","Urban Area","115","0.0658686167416635","0.0552008601964731","0.076536373286854"
"Often","2008","Couple + C. LE 16 ","Rural Area","40","0.0531940221898147","0.0392215525553469","0.0671664918242826"
