"plh0185","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","in school","Male","90","0.556630441305805","0.479894015743661","0.633366866867948"
"Very rare","2007","in school","Female","68","0.399922108369187","0.328157041231769","0.471687175506604"
"Very rare","2007","inadequately","Male","40","0.512866691378947","0.403337657274139","0.622395725483756"
"Very rare","2007","inadequately","Female","31","0.226952460451071","0.157068244569309","0.296836676332833"
"Very rare","2007","general elemantary","Male","347","0.481353357943564","0.443963499469425","0.518743216417702"
"Very rare","2007","general elemantary","Female","470","0.308390411256569","0.285188610083589","0.331592212429549"
"Very rare","2007","middle vocational","Male","2419","0.466759076273717","0.452788880469148","0.480729272078286"
"Very rare","2007","middle vocational","Female","1803","0.322093282625793","0.309672635401562","0.334513929850023"
"Very rare","2007","vocational + Abi","Male","230","0.451470915745011","0.406336859108032","0.496604972381991"
"Very rare","2007","vocational + Abi","Female","228","0.33708596281511","0.30214222404804","0.37202970158218"
"Very rare","2007","higher vocational","Male","436","0.458397767893337","0.425808741005912","0.490986794780762"
"Very rare","2007","higher vocational","Female","231","0.35329199413652","0.316143556784678","0.390440431488362"
"Very rare","2007","higher education","Male","1211","0.463063195004682","0.443151354260157","0.482975035749207"
"Very rare","2007","higher education","Female","716","0.355638540371919","0.334574268814929","0.376702811928909"
"Rarely","2007","in school","Male","48","0.316280538351628","0.244449795354101","0.388111281349155"
"Rarely","2007","in school","Female","59","0.290470601031864","0.223965054822408","0.356976147241319"
"Rarely","2007","inadequately","Male","17","","",""
"Rarely","2007","inadequately","Female","40","0.285312556992638","0.209972305318589","0.360652808666688"
"Rarely","2007","general elemantary","Male","229","0.311952420167664","0.277283569154879","0.346621271180449"
"Rarely","2007","general elemantary","Female","464","0.290817967773635","0.268002454450333","0.313633481096937"
"Rarely","2007","middle vocational","Male","1531","0.32323248924898","0.310135495342121","0.336329483155839"
"Rarely","2007","middle vocational","Female","1719","0.311400875178727","0.299092192598596","0.323709557758859"
"Rarely","2007","vocational + Abi","Male","145","0.315079745165528","0.272946986249986","0.357212504081071"
"Rarely","2007","vocational + Abi","Female","219","0.28841608968073","0.254927779735407","0.321904399626052"
"Rarely","2007","higher vocational","Male","293","0.340375250839316","0.309384123043575","0.371366378635056"
"Rarely","2007","higher vocational","Female","200","0.327071607934609","0.290610876026268","0.363532339842949"
"Rarely","2007","higher education","Male","774","0.336973510382696","0.31809824736329","0.355848773402101"
"Rarely","2007","higher education","Female","653","0.299969365108856","0.279805479168756","0.320133251048956"
"Sometimes","2007","in school","Male","18","","",""
"Sometimes","2007","in school","Female","38","0.237375964545796","0.175046242368551","0.299705686723042"
"Sometimes","2007","inadequately","Male","16","","",""
"Sometimes","2007","inadequately","Female","33","0.233475270895482","0.162893576974338","0.304056964816626"
"Sometimes","2007","general elemantary","Male","78","0.139087342143688","0.113192731584113","0.164981952703262"
"Sometimes","2007","general elemantary","Female","366","0.253438197523128","0.2315852670894","0.275291127956855"
"Sometimes","2007","middle vocational","Male","699","0.158079318711357","0.14786363382996","0.168295003592754"
"Sometimes","2007","middle vocational","Female","1308","0.247877086229696","0.236400016356623","0.25935415610277"
"Sometimes","2007","vocational + Abi","Male","68","0.182618536211674","0.147577699177102","0.217659373246245"
"Sometimes","2007","vocational + Abi","Female","163","0.245911562215558","0.21407904051113","0.277744083919987"
"Sometimes","2007","higher vocational","Male","126","0.144763474266006","0.121749981234388","0.167776967297624"
"Sometimes","2007","higher vocational","Female","142","0.197121855282023","0.166203830550332","0.228039880013713"
"Sometimes","2007","higher education","Male","328","0.138565682649376","0.124769192400167","0.152362172898585"
"Sometimes","2007","higher education","Female","458","0.246767775463695","0.227796963213652","0.265738587713739"
"Often","2007","in school","Male","3","","",""
"Often","2007","in school","Female","11","","",""
"Often","2007","inadequately","Male","4","","",""
"Often","2007","inadequately","Female","27","","",""
"Often","2007","general elemantary","Male","28","","",""
"Often","2007","general elemantary","Female","174","0.116987170608148","0.100840113163948","0.133134228052348"
"Often","2007","middle vocational","Male","192","0.0405723179221644","0.0350475326446391","0.0460971031996898"
"Often","2007","middle vocational","Female","474","0.0934991296131085","0.0857606379109131","0.101237621315304"
"Often","2007","vocational + Abi","Male","17","","",""
"Often","2007","vocational + Abi","Female","79","0.11035997508888","0.087197584429717","0.133522365748042"
"Often","2007","higher vocational","Male","37","0.0498457179806425","0.0356119161322509","0.0640795198290341"
"Often","2007","higher vocational","Female","49","0.083257675013466","0.0617865246151418","0.10472882541179"
"Often","2007","higher education","Male","76","0.051399055208768","0.0425814827842832","0.0602166276332527"
"Often","2007","higher education","Female","133","0.0830781920285968","0.0709334882469013","0.0952228958102923"
"Very often","2007","in school","Male","2","","",""
"Very often","2007","in school","Female","3","","",""
"Very often","2007","inadequately","Male","3","","",""
"Very often","2007","inadequately","Female","7","","",""
"Very often","2007","general elemantary","Male","4","","",""
"Very often","2007","general elemantary","Female","48","0.0303662528385201","0.0217455985744425","0.0389869071025978"
"Very often","2007","middle vocational","Male","58","0.0113567978437815","0.0083896300176695","0.0143239656698934"
"Very often","2007","middle vocational","Female","133","0.0251296263526751","0.020969228377831","0.0292900243275192"
"Very often","2007","vocational + Abi","Male","7","","",""
"Very often","2007","vocational + Abi","Female","14","","",""
"Very often","2007","higher vocational","Male","6","","",""
"Very often","2007","higher vocational","Female","14","","",""
"Very often","2007","higher education","Male","20","","",""
"Very often","2007","higher education","Female","24","","",""
"Very rare","2008","in school","Male","99","0.631020542363617","0.558485733129063","0.703555351598171"
"Very rare","2008","in school","Female","63","0.305142646029049","0.238244870018396","0.372040422039701"
"Very rare","2008","inadequately","Male","39","0.594003458846012","0.481350574781417","0.706656342910607"
"Very rare","2008","inadequately","Female","21","","",""
"Very rare","2008","general elemantary","Male","321","0.482490520581766","0.443594335379875","0.521386705783656"
"Very rare","2008","general elemantary","Female","412","0.294547959929268","0.270601560087533","0.318494359771003"
"Very rare","2008","middle vocational","Male","2195","0.457642608878146","0.443258006429587","0.472027211326705"
"Very rare","2008","middle vocational","Female","1647","0.324862622613256","0.312057109351425","0.337668135875087"
"Very rare","2008","vocational + Abi","Male","218","0.458919339399212","0.412358485283236","0.505480193515188"
"Very rare","2008","vocational + Abi","Female","224","0.356618110218076","0.319963189501751","0.3932730309344"
"Very rare","2008","higher vocational","Male","377","0.449401395449555","0.415539942649886","0.483262848249223"
"Very rare","2008","higher vocational","Female","184","0.331530330972049","0.29344729813313","0.369613363810967"
"Very rare","2008","higher education","Male","1169","0.488445237096667","0.468003321101046","0.508887153092289"
"Very rare","2008","higher education","Female","690","0.366974662241335","0.345302618075787","0.388646706406884"
"Rarely","2008","in school","Male","58","0.317532462690518","0.247554918802119","0.387510006578917"
"Rarely","2008","in school","Female","81","0.485733555578477","0.413122032882341","0.558345078274612"
"Rarely","2008","inadequately","Male","23","","",""
