"plh0185","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Full Time","no migration background","2998","0.419242256926418","0.407540050123969","0.430944463728866"
"Very rare","2007","Full Time","direct migration background","353","0.482923291070359","0.44598413302719","0.519862449113529"
"Very rare","2007","Full Time","indirect migration background","135","0.419060758418428","0.365582399863607","0.472539116973249"
"Very rare","2007","Part Time","no migration background","1469","0.359970982724576","0.34498713468285","0.374954830766302"
"Very rare","2007","Part Time","direct migration background","190","0.340607972593878","0.30074704261908","0.380468902568675"
"Very rare","2007","Part Time","indirect migration background","94","0.362519093183659","0.299705177775401","0.425333008591916"
"Very rare","2007","Not Working","no migration background","2819","0.396362865120263","0.384784502670131","0.407941227570395"
"Very rare","2007","Not Working","direct migration background","310","0.328103698485159","0.297029138873178","0.359178258097139"
"Very rare","2007","Not Working","indirect migration background","86","0.336587880170305","0.275782076041972","0.397393684298639"
"Rarely","2007","Full Time","no migration background","2338","0.351347531283436","0.340025815976849","0.362669246590023"
"Rarely","2007","Full Time","direct migration background","206","0.271743826851123","0.238859242312369","0.304628411389877"
"Rarely","2007","Full Time","indirect migration background","109","0.324298456165922","0.273561534859627","0.375035377472217"
"Rarely","2007","Part Time","no migration background","1311","0.320387671631374","0.305821067981749","0.334954275280999"
"Rarely","2007","Part Time","direct migration background","170","0.283255636529246","0.245357347836965","0.321153925221526"
"Rarely","2007","Part Time","indirect migration background","69","0.286710831893268","0.227621143894235","0.3458005198923"
"Rarely","2007","Not Working","no migration background","1980","0.292499160040429","0.28173107496565","0.303267245115209"
"Rarely","2007","Not Working","direct migration background","243","0.271719279667786","0.242277915568864","0.301160643766709"
"Rarely","2007","Not Working","indirect migration background","70","0.322638734677021","0.262483623956466","0.382793845397575"
"Sometimes","2007","Full Time","no migration background","1130","0.169523786303669","0.160625289268886","0.178422283338453"
"Sometimes","2007","Full Time","direct migration background","104","0.173377933568336","0.145393221879851","0.201362645256822"
"Sometimes","2007","Full Time","indirect migration background","64","0.211228333454331","0.166987229857185","0.255469437051477"
"Sometimes","2007","Part Time","no migration background","800","0.20976071004649","0.197051131116182","0.222470288976798"
"Sometimes","2007","Part Time","direct migration background","123","0.270805735821599","0.233429227503891","0.308182244139307"
"Sometimes","2007","Part Time","indirect migration background","38","0.256254636142159","0.199211310978744","0.313297961305574"
"Sometimes","2007","Not Working","no migration background","1395","0.209846816595009","0.200208093002563","0.219485540187455"
"Sometimes","2007","Not Working","direct migration background","194","0.24851071484278","0.21990964687752","0.277111782808041"
"Sometimes","2007","Not Working","indirect migration background","51","0.214657041123754","0.161823910555904","0.267490171691603"
"Often","2007","Full Time","no migration background","292","0.0494481431989406","0.0443065153337113","0.05458977106417"
"Often","2007","Full Time","direct migration background","33","0.0518253804758451","0.0354388941044863","0.068211866847204"
"Often","2007","Full Time","indirect migration background","15","","",""
"Often","2007","Part Time","no migration background","283","0.0833741296586018","0.0747443145155434","0.0920039448016602"
"Often","2007","Part Time","direct migration background","45","0.0790473343666287","0.056353365983426","0.101741302749831"
"Often","2007","Part Time","indirect migration background","22","","",""
"Often","2007","Not Working","no migration background","526","0.0825657501027231","0.0760509645200921","0.0890805356853541"
"Often","2007","Not Working","direct migration background","99","0.1212773058312","0.0996718225124091","0.142882789149991"
"Often","2007","Not Working","indirect migration background","16","","",""
"Very often","2007","Full Time","no migration background","72","0.0104382822875362","0.00802796785733828","0.0128485967177341"
"Very often","2007","Full Time","direct migration background","7","","",""
