"plh0185","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Often","2007","(Married) couple without C. ","Female","355","0.109666956994356","0.0995944516136944","0.119739462375018"
"Often","2007","(Married) couple without C. ","Male","140","0.041807740007196","0.0353252240266116","0.0482902559877804"
"Often","2007","1-pers.-HH","Female","186","0.0937855302786021","0.0804395562956595","0.107131504261545"
"Often","2007","1-pers.-HH","Male","76","0.0658349474107482","0.0524969967033959","0.0791728981181005"
"Often","2007","Couple + C. GT 16 ","Female","133","0.0906319989255572","0.0768712976247713","0.104392700226343"
"Often","2007","Couple + C. GT 16 ","Male","58","0.0356928721690743","0.0272593919057595","0.0441263524323891"
"Often","2007","Couple + C. LE 16 ","Female","117","0.0765896494728723","0.0644416823788619","0.0887376165668828"
"Often","2007","Couple + C. LE 16 ","Male","57","0.0409014536280682","0.0315978822625984","0.0502050249935379"
"Often","2007","Couple + C. LE and GT 16","Female","55","0.104704702752644","0.081434320672055","0.127975084833232"
"Often","2007","Couple + C. LE and GT 16","Male","15","","",""
"Often","2007","Single parent ","Female","88","0.109884357723371","0.0878800158416205","0.131888699605122"
"Often","2007","Single parent ","Male","13","","",""
"Rarely","2007","(Married) couple without C. ","Female","1128","0.307699928375699","0.292822281323049","0.322577575428349"
"Rarely","2007","(Married) couple without C. ","Male","1092","0.318360941445198","0.30327313704584","0.333448745844557"
"Rarely","2007","1-pers.-HH","Female","523","0.276583985169696","0.256106603127456","0.297061367211936"
"Rarely","2007","1-pers.-HH","Male","419","0.327189641545582","0.301955114987659","0.352424168103505"
"Rarely","2007","Couple + C. GT 16 ","Female","574","0.327755210401952","0.305255937724671","0.350254483079234"
"Rarely","2007","Couple + C. GT 16 ","Male","612","0.318351307927648","0.297175401060734","0.339527214794563"
"Rarely","2007","Couple + C. LE 16 ","Female","652","0.351363331138754","0.329556118265238","0.373170544012271"
"Rarely","2007","Couple + C. LE 16 ","Male","575","0.325283968169356","0.303277996481888","0.347289939856823"
"Rarely","2007","Couple + C. LE and GT 16","Female","233","0.319749622572174","0.284302851182073","0.355196393962275"
"Rarely","2007","Couple + C. LE and GT 16","Male","220","0.328570054473894","0.293084229827236","0.364055879120552"
"Rarely","2007","Single parent ","Female","215","0.260526402468223","0.229644472212386","0.291408332724061"
"Rarely","2007","Single parent ","Male","103","0.333581339072253","0.281430930454113","0.385731747690393"
"Sometimes","2007","(Married) couple without C. ","Female","920","0.254130193588056","0.240096143804478","0.268164243371634"
"Sometimes","2007","(Married) couple without C. ","Male","516","0.154405679118496","0.142702561097359","0.166108797139632"
"Sometimes","2007","1-pers.-HH","Female","423","0.245421899589977","0.225721473763154","0.265122325416801"
"Sometimes","2007","1-pers.-HH","Male","189","0.156247265810085","0.136719036629977","0.175775494990192"
"Sometimes","2007","Couple + C. GT 16 ","Female","396","0.241568195763284","0.221051467777555","0.262084923749013"
"Sometimes","2007","Couple + C. GT 16 ","Male","272","0.159550927234735","0.142904778776746","0.176197075692723"
"Sometimes","2007","Couple + C. LE 16 ","Female","390","0.207137966768026","0.188626115079808","0.225649818456244"
"Sometimes","2007","Couple + C. LE 16 ","Male","213","0.126215180807467","0.110615821915472","0.141814539699462"
"Sometimes","2007","Couple + C. LE and GT 16","Female","165","0.30118364240367","0.266315044042831","0.33605224076451"
"Sometimes","2007","Couple + C. LE and GT 16","Male","93","0.191697534608882","0.161957889998364","0.2214371792194"
"Sometimes","2007","Single parent ","Female","176","0.24432319143578","0.21409113958507","0.274555243286491"
"Sometimes","2007","Single parent ","Male","51","0.153823245007809","0.11391847640244","0.193728013613178"
"Very often","2007","(Married) couple without C. ","Female","80","0.0229365489883491","0.018110977129743","0.0277621208469551"
"Very often","2007","(Married) couple without C. ","Male","46","0.0118065566784096","0.00830814001287312","0.015304973343946"
"Very often","2007","1-pers.-HH","Female","54","0.0281860853983991","0.0206094603264742","0.035762710470324"
"Very often","2007","1-pers.-HH","Male","21","","",""
"Very often","2007","Couple + C. GT 16 ","Female","34","0.0207475576246464","0.0139153544015818","0.027579760847711"
"Very often","2007","Couple + C. GT 16 ","Male","11","","",""
"Very often","2007","Couple + C. LE 16 ","Female","30","0.0171199045601082","0.0111944436635151","0.0230453654567012"
"Very often","2007","Couple + C. LE 16 ","Male","9","","",""
"Very often","2007","Couple + C. LE and GT 16","Female","15","","",""
"Very often","2007","Couple + C. LE and GT 16","Male","4","","",""
"Very often","2007","Single parent ","Female","32","0.0445174080580192","0.0300065345920221","0.0590282815240164"
"Very often","2007","Single parent ","Male","5","","",""
"Very rare","2007","(Married) couple without C. ","Female","1214","0.305566372053539","0.290717566629291","0.320415177477787"
"Very rare","2007","(Married) couple without C. ","Male","1868","0.4736190827507","0.457447460600679","0.489790704900722"
"Very rare","2007","1-pers.-HH","Female","647","0.356022499563326","0.334102480472774","0.377942518653878"
"Very rare","2007","1-pers.-HH","Male","623","0.432904706296234","0.406256178048949","0.459553234543519"
"Very rare","2007","Couple + C. GT 16 ","Female","535","0.31929703728456","0.296950706700128","0.341643367868991"
"Very rare","2007","Couple + C. GT 16 ","Male","906","0.480374010666243","0.457662627737178","0.503085393595308"
"Very rare","2007","Couple + C. LE 16 ","Female","652","0.34778914806024","0.326033440096878","0.369544856023602"
