"plh0185","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Often","2007","Employed","West Germany","537","0.0607789599278204","0.0560149230691234","0.0655429967865174"
"Often","2007","Employed","East Germany","153","0.0668778396782638","0.0577983537565646","0.075957325599963"
"Often","2007","Not Employed","West Germany","474","0.0866146541462846","0.0794131703041888","0.0938161379883804"
"Often","2007","Not Employed","East Germany","167","0.0908281714967766","0.0785522158199403","0.103104127173613"
"Rarely","2007","Employed","West Germany","3200","0.326971749641694","0.317617987173638","0.336325512109749"
"Rarely","2007","Employed","East Germany","1003","0.348996344166451","0.331672150004796","0.366320538328106"
"Rarely","2007","Not Employed","West Germany","1647","0.287646310744901","0.276056495147448","0.299236126342355"
"Rarely","2007","Not Employed","East Germany","646","0.302038004524567","0.282423889180059","0.321652119869075"
"Sometimes","2007","Employed","West Germany","1663","0.190455554651457","0.182626095821642","0.198285013481273"
"Sometimes","2007","Employed","East Germany","596","0.189938668307493","0.175682049582421","0.204195287032564"
"Sometimes","2007","Not Employed","West Germany","1147","0.206651821997837","0.19628487646714","0.217018767528534"
"Sometimes","2007","Not Employed","East Germany","493","0.247335571330202","0.228903844434099","0.265767298226304"
"Very often","2007","Employed","West Germany","132","0.0151869462350696","0.0127484241094806","0.0176254683606586"
"Very often","2007","Employed","East Germany","47","0.0219719038865188","0.0166439506943604","0.0272998570786771"
"Very often","2007","Not Employed","West Germany","134","0.0221354801343815","0.0183685887250386","0.0259023715437244"
"Very often","2007","Not Employed","East Germany","42","0.0183018847048876","0.0125757847196068","0.0240279846901684"
"Very rare","2007","Employed","West Germany","4130","0.406606789543959","0.396812494693987","0.41640108439393"
"Very rare","2007","Employed","East Germany","1109","0.372215243961274","0.354645988782386","0.389784499140162"
"Very rare","2007","Not Employed","West Germany","2458","0.396951732976596","0.384424816809422","0.409478649143769"
"Very rare","2007","Not Employed","East Germany","757","0.341496367943567","0.321238479613369","0.361754256273764"
"Often","2008","Employed","West Germany","466","0.0558161591670453","0.0510992282639429","0.0605330900701477"
"Often","2008","Employed","East Germany","148","0.0594915755154789","0.0507253843304908","0.0682577667004671"
"Often","2008","Not Employed","West Germany","413","0.0831171471968649","0.0758021026813718","0.090432191712358"
"Often","2008","Not Employed","East Germany","150","0.0947697233484689","0.0818815431662383","0.107657903530699"
"Rarely","2008","Employed","West Germany","3226","0.34935226024161","0.339556097306506","0.359148423176714"
"Rarely","2008","Employed","East Germany","1077","0.362103852479697","0.344292642642961","0.379915062316432"
"Rarely","2008","Not Employed","West Germany","1718","0.307116011284626","0.2948924930192","0.319339529550052"
"Rarely","2008","Not Employed","East Germany","696","0.347052975768491","0.326106347917598","0.367999603619385"
"Sometimes","2008","Employed","West Germany","1432","0.169087737461994","0.161386067585649","0.176789407338339"
"Sometimes","2008","Employed","East Germany","467","0.173455808252418","0.159423493405523","0.187488123099312"
"Sometimes","2008","Not Employed","West Germany","1037","0.1983095801383","0.187744083210435","0.208875077066164"
"Sometimes","2008","Not Employed","East Germany","411","0.197005928536711","0.179504517111017","0.214507339962405"
"Very often","2008","Employed","West Germany","124","0.0148464287664449","0.0123614983848021","0.0173313591480878"
"Very often","2008","Employed","East Germany","39","0.0196246788950329","0.014484250396222","0.0247651073938438"
"Very often","2008","Not Employed","West Germany","111","0.0212725653258083","0.0174491141591617","0.0250960164924548"
"Very often","2008","Not Employed","East Germany","34","0.0155553318797893","0.0101101479594221","0.0210005158001566"
"Very rare","2008","Employed","West Germany","3851","0.410897414362905","0.400788292609998","0.421006536115813"
"Very rare","2008","Employed","East Germany","1066","0.385324084857374","0.367288175920349","0.403359993794398"
"Very rare","2008","Not Employed","West Germany","2192","0.390184696054401","0.37725914674073","0.403110245368073"
"Very rare","2008","Not Employed","East Germany","693","0.34561604046654","0.324689833084375","0.366542247848704"
"Often","2009","Employed","West Germany","461","0.0563735835189569","0.0514727244169443","0.0612744426209695"
"Often","2009","Employed","East Germany","142","0.0498852634411625","0.0416474506757077","0.0581230762066174"
"Often","2009","Not Employed","West Germany","364","0.078102519380265","0.0706371759905362","0.0855678627699938"
"Often","2009","Not Employed","East Germany","143","0.0776707265240198","0.0654676653689336","0.089873787679106"
"Rarely","2009","Employed","West Germany","2976","0.352134910029663","0.341985724748281","0.362284095311045"
"Rarely","2009","Employed","East Germany","1024","0.373528053060057","0.355223877147634","0.39183222897248"
"Rarely","2009","Not Employed","West Germany","1498","0.308712078296076","0.29585973703503","0.321564419557123"
"Rarely","2009","Not Employed","East Germany","629","0.331435147722239","0.30997324810395","0.352897047340528"
"Sometimes","2009","Employed","West Germany","1466","0.180210666749599","0.172043419022121","0.188377914477077"
"Sometimes","2009","Employed","East Germany","465","0.183323638383644","0.16868259655708","0.197964680210209"
"Sometimes","2009","Not Employed","West Germany","980","0.212162045050695","0.200787651524833","0.223536438576556"
"Sometimes","2009","Not Employed","East Germany","360","0.211539772394648","0.192919629073282","0.230159915716014"
"Very often","2009","Employed","West Germany","141","0.01613075965697","0.0134538701082364","0.0188076492057035"
"Very often","2009","Employed","East Germany","27","","",""
"Very often","2009","Not Employed","West Germany","87","0.0168890383293945","0.0133041165562393","0.0204739601025497"
"Very often","2009","Not Employed","East Germany","37","0.0266814306890612","0.0193341070767054","0.0340287543014171"
"Very rare","2009","Employed","West Germany","3464","0.395150080044812","0.384761906381744","0.405538253707879"
"Very rare","2009","Employed","East Germany","1025","0.384365398466766","0.365958890313595","0.402771906619938"
"Very rare","2009","Not Employed","West Germany","2034","0.384134318943569","0.370602365032678","0.397666272854461"
"Very rare","2009","Not Employed","East Germany","679","0.352672922670032","0.330888550254842","0.374457295085222"
"Often","2010","Employed","West Germany","391","0.0463140686699714","0.0416761428763773","0.0509519944635656"
"Often","2010","Employed","East Germany","117","0.0511827333920904","0.0424797348145232","0.0598857319696577"
"Often","2010","Not Employed","West Germany","362","0.0935784334935361","0.0852191628999955","0.101937704087077"
"Often","2010","Not Employed","East Germany","136","0.102152170103731","0.087609781032383","0.116694559175079"
"Rarely","2010","Employed","West Germany","2894","0.38096808358215","0.370251275403814","0.391684891760487"
"Rarely","2010","Employed","East Germany","973","0.355753720709149","0.33684698427302","0.374660457145278"
"Rarely","2010","Not Employed","West Germany","1517","0.329492166892634","0.316001299966876","0.342983033818391"
"Rarely","2010","Not Employed","East Germany","581","0.363768808347224","0.340667807309952","0.386869809384496"
"Sometimes","2010","Employed","West Germany","1366","0.184500311289244","0.175940285137903","0.193060337440585"
"Sometimes","2010","Employed","East Germany","401","0.186282694083411","0.17090685176876","0.201658536398062"
"Sometimes","2010","Not Employed","West Germany","907","0.207663261701684","0.196020657984721","0.219305865418647"
"Sometimes","2010","Not Employed","East Germany","348","0.195338921119889","0.176301352468978","0.2143764897708"
"Very often","2010","Employed","West Germany","76","0.0106544257850646","0.00838871917331357","0.0129201323968156"
"Very often","2010","Employed","East Germany","19","","",""
"Very often","2010","Not Employed","West Germany","83","0.0161968438441266","0.0125737074241084","0.0198199802641448"
