"year","pgcasmin","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1985","(1b) general elementary school","higher education","","","","","","","","","","",""
"1985","(1b) general elementary school","higher vocational","","","","","","","","","","",""
"1985","(1b) general elementary school","in school","","","","","","","","","","",""
"1985","(1b) general elementary school","inadequately","","","","","","","","","","",""
"1985","(1b) general elementary school","middle vocational","","","","","","","","","","",""
"1985","(1b) general elementary school","vocational + Abi","","","","","","","","","","",""
"1985","(1c) basic vocational qualification","general elemantary","","","","","","","","","","",""
"1985","(1c) basic vocational qualification","higher education","","","","","","","","","","",""
"1985","(1c) basic vocational qualification","higher vocational","7.38","8","277","5","7","9","10","7.15","7.61","8","8"
"1985","(1c) basic vocational qualification","in school","","","","","","","","","","",""
"1985","(1c) basic vocational qualification","inadequately","","","","","","","","","","",""
"1985","(1c) basic vocational qualification","middle vocational","7.25","8","3527","5","6","9","10","7.18","7.32","8","8"
"1985","(1c) basic vocational qualification","vocational + Abi","","","","","","","","","","",""
"1985","(2a) intermediate vocational","general elemantary","","","","","","","","","","",""
"1985","(2a) intermediate vocational","higher education","","","","","","","","","","",""
"1985","(2a) intermediate vocational","higher vocational","7.65","8","197","5","7","9","10","7.42","7.88","8","8"
"1985","(2a) intermediate vocational","in school","","","","","","","","","","",""
"1985","(2a) intermediate vocational","inadequately","","","","","","","","","","",""
"1985","(2a) intermediate vocational","middle vocational","7.68","8","1134","5","7","9","10","7.58","7.78","8","8"
"1985","(2a) intermediate vocational","vocational + Abi","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","general elemantary","7.54","8","468","5","7","9","10","7.37","7.71","8","8"
"1985","(2b) intermediate general qualification","higher education","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","higher vocational","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","in school","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","inadequately","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","middle vocational","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","vocational + Abi","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","general elemantary","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","higher education","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","higher vocational","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","in school","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","inadequately","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","middle vocational","7.58","8","375","5","7","9","10","7.39","7.77","8","8"
"1985","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","higher education","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","higher vocational","7.47","8","133","5","7","8","9","7.19","7.75","8","8"
"1985","(2c_voc) vocational maturity certificate","in school","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","vocational + Abi","7.54","8","276","5","7","8","10","7.32","7.76","8","8"
"1985","(3a) lower tertiary education","general elemantary","","","","","","","","","","",""
"1985","(3a) lower tertiary education","higher education","7.72","8","247","5","7","9","10","7.5","7.94","8","8"
"1985","(3a) lower tertiary education","higher vocational","","","","","","","","","","",""
"1985","(3a) lower tertiary education","in school","","","","","","","","","","",""
"1985","(3a) lower tertiary education","inadequately","","","","","","","","","","",""
"1985","(3a) lower tertiary education","middle vocational","","","","","","","","","","",""
"1985","(3a) lower tertiary education","vocational + Abi","","","","","","","","","","",""
"1985","(3b) higher tertiary education","general elemantary","","","","","","","","","","",""
"1985","(3b) higher tertiary education","higher education","7.77","8","503","6","7","9","10","7.63","7.91","8","8"
"1985","(3b) higher tertiary education","higher vocational","","","","","","","","","","",""
"1985","(3b) higher tertiary education","in school","","","","","","","","","","",""
"1985","(3b) higher tertiary education","inadequately","","","","","","","","","","",""
"1985","(3b) higher tertiary education","middle vocational","","","","","","","","","","",""
"1985","(3b) higher tertiary education","vocational + Abi","","","","","","","","","","",""
"1986","(0) in school","general elemantary","","","","","","","","","","",""
"1986","(0) in school","higher education","","","","","","","","","","",""
"1986","(0) in school","higher vocational","","","","","","","","","","",""
"1986","(0) in school","in school","7.94","8","188","6","7","9","10","7.72","8.16","8","8"
"1986","(0) in school","inadequately","","","","","","","","","","",""
"1986","(0) in school","middle vocational","","","","","","","","","","",""
"1986","(0) in school","vocational + Abi","","","","","","","","","","",""
"1986","(1a) inadequately completed","general elemantary","","","","","","","","","","",""
"1986","(1a) inadequately completed","higher education","","","","","","","","","","",""
"1986","(1a) inadequately completed","higher vocational","","","","","","","","","","",""
"1986","(1a) inadequately completed","in school","","","","","","","","","","",""
"1986","(1a) inadequately completed","inadequately","6.92","7","752","4","6","9","10","6.77","7.07","7","8"
"1986","(1a) inadequately completed","middle vocational","7.27","7.54","87","5","6","9","10","6.84","7.7","7","8"
"1986","(1a) inadequately completed","vocational + Abi","","","","","","","","","","",""
"1986","(1b) general elementary school","general elemantary","7.34","8","2422","5","6","9","10","7.26","7.42","8","8"
"1986","(1b) general elementary school","higher education","","","","","","","","","","",""
"1986","(1b) general elementary school","higher vocational","","","","","","","","","","",""
"1986","(1b) general elementary school","in school","","","","","","","","","","",""
"1986","(1b) general elementary school","inadequately","","","","","","","","","","",""
"1986","(1b) general elementary school","middle vocational","","","","","","","","","","",""
"1986","(1b) general elementary school","vocational + Abi","","","","","","","","","","",""
"1986","(1c) basic vocational qualification","general elemantary","","","","","","","","","","",""
"1986","(1c) basic vocational qualification","higher education","","","","","","","","","","",""
"1986","(1c) basic vocational qualification","higher vocational","7.47","8","263","5","6","9","10","7.25","7.69","8","8"
"1986","(1c) basic vocational qualification","in school","","","","","","","","","","",""
"1986","(1c) basic vocational qualification","inadequately","","","","","","","","","","",""
"1986","(1c) basic vocational qualification","middle vocational","7.45","8","3332","5","6","9","10","7.39","7.51","8","8"
"1986","(1c) basic vocational qualification","vocational + Abi","","","","","","","","","","",""
