"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","7.45","8","12042","5","6","9","10","7.41","7.49","8","8"
"1985","7.36","8","10946","5","6","9","10","7.32","7.4","8","8"
"1986","7.51","8","10516","5","7","9","10","7.47","7.55","8","8"
"1987","7.28","8","10380","5","6","9","10","7.24","7.32","8","8"
"1988","","","","","","","","","","",""
"1989","","","","","","","","","","",""
"1990","","","","","","","","","","",""
"1991","","","","","","","","","","",""
"1992","","","","","","","","","","",""
"1993","","","","","","","","","","",""
"1994","","","","","","","","","","",""
"1995","","","","","","","","","","",""
"1996","","","","","","","","","","",""
"1997","","","","","","","","","","",""
"1998","","","","","","","","","","",""
"1999","","","","","","","","","","",""
"2000","","","","","","","","","","",""
"2001","","","","","","","","","","",""
"2002","","","","","","","","","","",""
"2003","","","","","","","","","","",""
"2004","","","","","","","","","","",""
"2005","","","","","","","","","","",""
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","7.01","7","19240","5","6","8","9","6.98","7.04","7","8"
"2009","","","","","","","","","","",""
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","","","","","","","","","","",""
"2013","7.35","8","23627","5","7","8","9","7.33","7.37","8","8"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","","","","","","","","","","",""
"2018","7.59","8","25464","5","7","9","9","7.57","7.61","8","8"
