"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","7.79","8","1268","5","7","9","10","7.69","7.89","8","8"
"1984","lower secondary degree","7.28","8","6047","5","6","9","10","7.22","7.34","8","8"
"1984","no degree/no degree yet","7.31","8","1286","4","6","9","10","7.19","7.43","8","8"
"1984","Other degree","7.23","8","1425","4","6","9","10","7.11","7.35","8","8"
"1984","secondary school degree","7.83","8","1927","5","7","9","10","7.75","7.91","8","8"
"1985","college entrance qualification","7.66","8","1218","5","7","9","10","7.57","7.75","8","8"
"1985","lower secondary degree","7.21","8","5430","5","6","9","10","7.15","7.27","8","8"
"1985","no degree/no degree yet","7.34","8","1077","4","6","9","10","7.22","7.46","8","8"
"1985","Other degree","7.15","8","1219","4","6","9","10","7.03","7.27","8","8"
"1985","secondary school degree","7.64","8","1863","5","7","9","10","7.56","7.72","8","8"
"1986","college entrance qualification","7.75","8","1243","5","7","9","10","7.66","7.84","8","8"
"1986","lower secondary degree","7.41","8","5127","5","6","9","10","7.36","7.46","8","8"
"1986","no degree/no degree yet","7.35","8","1025","5","6","9","10","7.23","7.47","8","8"
"1986","Other degree","7.36","8","1152","5","6","9","10","7.25","7.47","8","8"
"1986","secondary school degree","7.68","8","1825","5","7","9","10","7.6","7.76","8","8"
"1987","college entrance qualification","7.49","8","1215","5","7","9","9","7.39","7.59","8","8"
"1987","lower secondary degree","7.2","8","5069","5","6","8","10","7.15","7.25","8","8"
"1987","no degree/no degree yet","7.08","8","993","4","6","9","10","6.95","7.21","8","8"
"1987","Other degree","7.24","8","1130","5","6","8","10","7.13","7.35","8","8"
"1987","secondary school degree","7.43","8","1810","5","7","9","10","7.35","7.51","8","8"
"1988","college entrance qualification","","","","","","","","","","",""
"1988","lower secondary degree","","","","","","","","","","",""
"1988","no degree/no degree yet","","","","","","","","","","",""
"1988","Other degree","","","","","","","","","","",""
"1988","secondary school degree","","","","","","","","","","",""
"1989","college entrance qualification","","","","","","","","","","",""
"1989","lower secondary degree","","","","","","","","","","",""
"1989","no degree/no degree yet","","","","","","","","","","",""
"1989","Other degree","","","","","","","","","","",""
"1989","secondary school degree","","","","","","","","","","",""
"1990","college entrance qualification","","","","","","","","","","",""
"1990","lower secondary degree","","","","","","","","","","",""
"1990","no degree/no degree yet","","","","","","","","","","",""
"1990","Other degree","","","","","","","","","","",""
"1990","secondary school degree","","","","","","","","","","",""
"1991","college entrance qualification","","","","","","","","","","",""
"1991","lower secondary degree","","","","","","","","","","",""
"1991","no degree/no degree yet","","","","","","","","","","",""
"1991","Other degree","","","","","","","","","","",""
"1991","secondary school degree","","","","","","","","","","",""
"1992","college entrance qualification","","","","","","","","","","",""
"1992","lower secondary degree","","","","","","","","","","",""
"1992","no degree/no degree yet","","","","","","","","","","",""
"1992","Other degree","","","","","","","","","","",""
"1992","secondary school degree","","","","","","","","","","",""
"1993","college entrance qualification","","","","","","","","","","",""
"1993","lower secondary degree","","","","","","","","","","",""
"1993","no degree/no degree yet","","","","","","","","","","",""
"1993","Other degree","","","","","","","","","","",""
"1993","secondary school degree","","","","","","","","","","",""
"1994","college entrance qualification","","","","","","","","","","",""
"1994","lower secondary degree","","","","","","","","","","",""
"1994","no degree/no degree yet","","","","","","","","","","",""
"1994","Other degree","","","","","","","","","","",""
"1994","secondary school degree","","","","","","","","","","",""
"1995","college entrance qualification","","","","","","","","","","",""
"1995","lower secondary degree","","","","","","","","","","",""
"1995","no degree/no degree yet","","","","","","","","","","",""
"1995","Other degree","","","","","","","","","","",""
"1995","secondary school degree","","","","","","","","","","",""
"1996","college entrance qualification","","","","","","","","","","",""
"1996","lower secondary degree","","","","","","","","","","",""
"1996","no degree/no degree yet","","","","","","","","","","",""
"1996","Other degree","","","","","","","","","","",""
"1996","secondary school degree","","","","","","","","","","",""
"1997","college entrance qualification","","","","","","","","","","",""
"1997","lower secondary degree","","","","","","","","","","",""
"1997","no degree/no degree yet","","","","","","","","","","",""
"1997","Other degree","","","","","","","","","","",""
"1997","secondary school degree","","","","","","","","","","",""
"1998","college entrance qualification","","","","","","","","","","",""
"1998","lower secondary degree","","","","","","","","","","",""
"1998","no degree/no degree yet","","","","","","","","","","",""
"1998","Other degree","","","","","","","","","","",""
"1998","secondary school degree","","","","","","","","","","",""
"1999","college entrance qualification","","","","","","","","","","",""
"1999","lower secondary degree","","","","","","","","","","",""
"1999","no degree/no degree yet","","","","","","","","","","",""
"1999","Other degree","","","","","","","","","","",""
"1999","secondary school degree","","","","","","","","","","",""
"2000","college entrance qualification","","","","","","","","","","",""
"2000","lower secondary degree","","","","","","","","","","",""
"2000","no degree/no degree yet","","","","","","","","","","",""
"2000","Other degree","","","","","","","","","","",""
"2000","secondary school degree","","","","","","","","","","",""
"2001","college entrance qualification","","","","","","","","","","",""
"2001","lower secondary degree","","","","","","","","","","",""
"2001","no degree/no degree yet","","","","","","","","","","",""
"2001","Other degree","","","","","","","","","","",""
"2001","secondary school degree","","","","","","","","","","",""
"2002","college entrance qualification","","","","","","","","","","",""
"2002","lower secondary degree","","","","","","","","","","",""
"2002","no degree/no degree yet","","","","","","","","","","",""
"2002","Other degree","","","","","","","","","","",""
"2002","secondary school degree","","","","","","","","","","",""
"2003","college entrance qualification","","","","","","","","","","",""
"2003","lower secondary degree","","","","","","","","","","",""
"2003","no degree/no degree yet","","","","","","","","","","",""
"2003","Other degree","","","","","","","","","","",""
"2003","secondary school degree","","","","","","","","","","",""
"2004","college entrance qualification","","","","","","","","","","",""
"2004","lower secondary degree","","","","","","","","","","",""
"2004","no degree/no degree yet","","","","","","","","","","",""
"2004","Other degree","","","","","","","","","","",""
"2004","secondary school degree","","","","","","","","","","",""
"2005","college entrance qualification","","","","","","","","","","",""
"2005","lower secondary degree","","","","","","","","","","",""
"2005","no degree/no degree yet","","","","","","","","","","",""
"2005","Other degree","","","","","","","","","","",""
"2005","secondary school degree","","","","","","","","","","",""
"2006","college entrance qualification","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","",""
"2008","college entrance qualification","7.47","8","5124","5","7","9","9","7.43","7.51","8","8"
"2008","lower secondary degree","6.72","7","6399","4","5","8","9","6.67","6.77","7","7"
"2008","no degree/no degree yet","7.15","7","544","5","6","8","9","7","7.3","8","8"
"2008","Other degree","6.77","7","929","4","6","8","9","6.65","6.89","7","7"
"2008","secondary school degree","7.01","7","5742","5","6","8","9","6.96","7.06","7","8"
"2009","college entrance qualification","","","","","","","","","","",""
"2009","lower secondary degree","","","","","","","","","","",""
"2009","no degree/no degree yet","","","","","","","","","","",""
"2009","Other degree","","","","","","","","","","",""
"2009","secondary school degree","","","","","","","","","","",""
"2010","college entrance qualification","","","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","","","",""
"2010","Other degree","","","","","","","","","","",""
"2010","secondary school degree","","","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","",""
"2012","college entrance qualification","","","","","","","","","","",""
"2012","lower secondary degree","","","","","","","","","","",""
"2012","no degree/no degree yet","","","","","","","","","","",""
"2012","Other degree","","","","","","","","","","",""
"2012","secondary school degree","","","","","","","","","","",""
"2013","college entrance qualification","7.77","8","6010","6","7","9","9","7.73","7.81","8","8"
"2013","lower secondary degree","6.97","7","6369","5","6","8","9","6.92","7.02","7","8"
"2013","no degree/no degree yet","7.31","8","975","5","6","9","10","7.19","7.43","8","8"
"2013","Other degree","7.49","8","3466","5","7","9","10","7.43","7.55","8","8"
"2013","secondary school degree","7.31","8","6164","5","7","8","9","7.27","7.35","8","8"
"2014","college entrance qualification","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","","","",""
"2014","Other degree","","","","","","","","","","",""
"2014","secondary school degree","","","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","","","",""
"2015","Other degree","","","","","","","","","","",""
"2015","secondary school degree","","","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","","","",""
"2016","Other degree","","","","","","","","","","",""
"2016","secondary school degree","","","","","","","","","","",""
"2017","college entrance qualification","","","","","","","","","","",""
"2017","lower secondary degree","","","","","","","","","","",""
"2017","no degree/no degree yet","","","","","","","","","","",""
"2017","Other degree","","","","","","","","","","",""
"2017","secondary school degree","","","","","","","","","","",""
"2018","college entrance qualification","7.9","8","7625","6","7","9","9","7.87","7.93","8","8"
"2018","lower secondary degree","7.21","8","5644","5","6","8","9","7.16","7.26","8","8"
"2018","no degree/no degree yet","7.35","8","882","5","6","9","10","7.22","7.48","8","8"
"2018","Other degree","7.65","8","2890","5","7","9","10","7.59","7.71","8","8"
"2018","secondary school degree","7.57","8","7183","5","7","9","9","7.53","7.61","8","8"
