"plh0110","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Important","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Important","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Important","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Important","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Important","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Important","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Less important","1990","lower secondary degree","(0) in school","","","",""
"Less important","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Less important","1990","lower secondary degree","(1b) general elementary school","131","0.102055214705876","0.0856748491256233","0.118435580286128"
"Less important","1990","lower secondary degree","(1c) basic vocational qualification","307","0.121726789420122","0.109430017723455","0.134023561116788"
"Less important","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Less important","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Less important","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Less important","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","1990","lower secondary degree","(3a) lower tertiary education","1","","",""
"Less important","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Less important","1990","secondary school degree","(0) in school","","","",""
"Less important","1990","secondary school degree","(1a) inadequately completed","","","",""
"Less important","1990","secondary school degree","(1b) general elementary school","","","",""
"Less important","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Less important","1990","secondary school degree","(2b) intermediate general qualification","74","0.262932144103934","0.212781350158378","0.31308293804949"
"Less important","1990","secondary school degree","(2a) intermediate vocational","180","0.155079112133382","0.134708580337304","0.17544964392946"
"Less important","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Less important","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","1990","secondary school degree","(3a) lower tertiary education","3","","",""
"Less important","1990","secondary school degree","(3b) higher tertiary education","2","","",""
"Less important","1990","college entrance qualification","(0) in school","","","",""
"Less important","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Less important","1990","college entrance qualification","(1b) general elementary school","","","",""
"Less important","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Less important","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Less important","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Less important","1990","college entrance qualification","(2c_gen) general maturity certificate","79","0.338075582282724","0.279318594827941","0.396832569737508"
"Less important","1990","college entrance qualification","(2c_voc) vocational maturity certificate","69","0.24630017325638","0.19872017952171","0.29388016699105"
"Less important","1990","college entrance qualification","(3a) lower tertiary education","27","","",""
"Less important","1990","college entrance qualification","(3b) higher tertiary education","69","0.182577239958197","0.144859796353779","0.220294683562615"
"Less important","1990","Other degree","(0) in school","","","",""
"Less important","1990","Other degree","(1a) inadequately completed","","","",""
"Less important","1990","Other degree","(1b) general elementary school","2","","",""
"Less important","1990","Other degree","(1c) basic vocational qualification","4","","",""
"Less important","1990","Other degree","(2b) intermediate general qualification","","","",""
"Less important","1990","Other degree","(2a) intermediate vocational","","","",""
"Less important","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"Less important","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","1990","Other degree","(3a) lower tertiary education","","","",""
"Less important","1990","Other degree","(3b) higher tertiary education","1","","",""
"Less important","1990","no degree/no degree yet","(0) in school","38","0.381967854701725","0.288588609037637","0.475347100365813"
"Less important","1990","no degree/no degree yet","(1a) inadequately completed","11","","",""
"Less important","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Less important","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Less important","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Less important","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Less important","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Less important","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Less important","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Less important","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Quite unimportant","1990","lower secondary degree","(0) in school","","","",""
"Quite unimportant","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Quite unimportant","1990","lower secondary degree","(1b) general elementary school","96","0.0877757208923489","0.0724641697444476","0.10308727204025"
"Quite unimportant","1990","lower secondary degree","(1c) basic vocational qualification","127","0.0614029956316146","0.052374454731682","0.0704315365315471"
"Quite unimportant","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Quite unimportant","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1990","lower secondary degree","(3a) lower tertiary education","1","","",""
"Quite unimportant","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Quite unimportant","1990","secondary school degree","(0) in school","","","",""
"Quite unimportant","1990","secondary school degree","(1a) inadequately completed","","","",""
"Quite unimportant","1990","secondary school degree","(1b) general elementary school","","","",""
"Quite unimportant","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Quite unimportant","1990","secondary school degree","(2b) intermediate general qualification","20","","",""
"Quite unimportant","1990","secondary school degree","(2a) intermediate vocational","74","0.0785502638646784","0.0634102128085383","0.0936903149208185"
"Quite unimportant","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1990","secondary school degree","(3a) lower tertiary education","1","","",""
"Quite unimportant","1990","secondary school degree","(3b) higher tertiary education","1","","",""
"Quite unimportant","1990","college entrance qualification","(0) in school","","","",""
"Quite unimportant","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Quite unimportant","1990","college entrance qualification","(1b) general elementary school","","","",""
"Quite unimportant","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Quite unimportant","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Quite unimportant","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Quite unimportant","1990","college entrance qualification","(2c_gen) general maturity certificate","22","","",""
"Quite unimportant","1990","college entrance qualification","(2c_voc) vocational maturity certificate","24","","",""
"Quite unimportant","1990","college entrance qualification","(3a) lower tertiary education","19","","",""
"Quite unimportant","1990","college entrance qualification","(3b) higher tertiary education","34","0.0969564658174834","0.0680670805988646","0.125845851036102"
"Quite unimportant","1990","Other degree","(0) in school","","","",""
"Quite unimportant","1990","Other degree","(1a) inadequately completed","","","",""
"Quite unimportant","1990","Other degree","(1b) general elementary school","6","","",""
"Quite unimportant","1990","Other degree","(1c) basic vocational qualification","1","","",""
"Quite unimportant","1990","Other degree","(2b) intermediate general qualification","","","",""
"Quite unimportant","1990","Other degree","(2a) intermediate vocational","","","",""
"Quite unimportant","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1990","Other degree","(3a) lower tertiary education","","","",""
"Quite unimportant","1990","Other degree","(3b) higher tertiary education","","","",""
"Quite unimportant","1990","no degree/no degree yet","(0) in school","11","","",""
"Quite unimportant","1990","no degree/no degree yet","(1a) inadequately completed","9","","",""
"Quite unimportant","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Quite unimportant","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Quite unimportant","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Quite unimportant","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Quite unimportant","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Quite unimportant","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Very important","1991","lower secondary degree","(0) in school","","","",""
"Very important","1991","lower secondary degree","(1a) inadequately completed","","","",""
"Very important","1991","lower secondary degree","(1b) general elementary school","","","",""
"Very important","1991","lower secondary degree","(1c) basic vocational qualification","","","",""
"Very important","1991","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very important","1991","lower secondary degree","(2a) intermediate vocational","","","",""
"Very important","1991","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very important","1991","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very important","1991","lower secondary degree","(3a) lower tertiary education","","","",""
"Very important","1991","lower secondary degree","(3b) higher tertiary education","","","",""
"Very important","1991","secondary school degree","(0) in school","","","",""
"Very important","1991","secondary school degree","(1a) inadequately completed","","","",""
"Very important","1991","secondary school degree","(1b) general elementary school","","","",""
"Very important","1991","secondary school degree","(1c) basic vocational qualification","","","",""
"Very important","1991","secondary school degree","(2b) intermediate general qualification","","","",""
"Very important","1991","secondary school degree","(2a) intermediate vocational","","","",""
