"plh0110","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","Urban Area","706","0.328661473039528","0.308044224877957","0.3492787212011"
"Very important","1990","16-34 y.","Rural Area","232","0.361421013503392","0.323390528404588","0.399451498602197"
"Very important","1990","35-65 y.","Urban Area","1134","0.392727683645971","0.374276308370393","0.411179058921549"
"Very important","1990","35-65 y.","Rural Area","346","0.420773416726978","0.385926104072304","0.455620729381652"
"Very important","1990","66 and older","Urban Area","269","0.341095050181701","0.307345920186193","0.374844180177208"
"Very important","1990","66 and older","Rural Area","93","0.364038107342121","0.30303694490292","0.425039269781322"
"Important","1990","16-34 y.","Urban Area","677","0.336657492501903","0.315915590870848","0.357399394132957"
"Important","1990","16-34 y.","Rural Area","217","0.342318866689928","0.304757536544211","0.379880196835645"
"Important","1990","35-65 y.","Urban Area","1135","0.423357912121006","0.404689892391314","0.442025931850698"
"Important","1990","35-65 y.","Rural Area","336","0.444879332622732","0.40980126058991","0.479957404655555"
"Important","1990","66 and older","Urban Area","338","0.434717431175072","0.399427581172875","0.47000728117727"
"Important","1990","66 and older","Rural Area","104","0.435324751914898","0.37246752795758","0.498181975872215"
"Less important","1990","16-34 y.","Urban Area","472","0.258742172834031","0.23951994278155","0.277964402886512"
"Less important","1990","16-34 y.","Rural Area","128","0.239986706569096","0.206178507185986","0.273794905952205"
"Less important","1990","35-65 y.","Urban Area","286","0.120190528459077","0.107904240750118","0.132476816168036"
"Less important","1990","35-65 y.","Rural Area","64","0.0956063852071872","0.0748504123142853","0.116362358100089"
"Less important","1990","66 and older","Urban Area","64","0.0874328545066532","0.0673241898565055","0.107541519156801"
"Less important","1990","66 and older","Rural Area","14","","",""
"Quite unimportant","1990","16-34 y.","Urban Area","139","0.0759388616245381","0.0643118553079296","0.0875658679411466"
"Quite unimportant","1990","16-34 y.","Rural Area","36","0.0562734132375837","0.0380305678329098","0.0745162586422577"
"Quite unimportant","1990","35-65 y.","Urban Area","136","0.0637238757739458","0.0544950954670248","0.0729526560808668"
"Quite unimportant","1990","35-65 y.","Rural Area","25","","",""
"Quite unimportant","1990","66 and older","Urban Area","87","0.136754664136574","0.112294932821732","0.161214395451416"
"Quite unimportant","1990","66 and older","Rural Area","28","","",""
"Very important","1991","16-34 y.","Urban Area","","","",""
"Very important","1991","16-34 y.","Rural Area","","","",""
"Very important","1991","35-65 y.","Urban Area","","","",""
"Very important","1991","35-65 y.","Rural Area","","","",""
"Very important","1991","66 and older","Urban Area","","","",""
"Very important","1991","66 and older","Rural Area","","","",""
"Important","1991","16-34 y.","Urban Area","","","",""
"Important","1991","16-34 y.","Rural Area","","","",""
"Important","1991","35-65 y.","Urban Area","","","",""
"Important","1991","35-65 y.","Rural Area","","","",""
"Important","1991","66 and older","Urban Area","","","",""
"Important","1991","66 and older","Rural Area","","","",""
"Less important","1991","16-34 y.","Urban Area","","","",""
"Less important","1991","16-34 y.","Rural Area","","","",""
"Less important","1991","35-65 y.","Urban Area","","","",""
"Less important","1991","35-65 y.","Rural Area","","","",""
"Less important","1991","66 and older","Urban Area","","","",""
"Less important","1991","66 and older","Rural Area","","","",""
"Quite unimportant","1991","16-34 y.","Urban Area","","","",""
"Quite unimportant","1991","16-34 y.","Rural Area","","","",""
"Quite unimportant","1991","35-65 y.","Urban Area","","","",""
"Quite unimportant","1991","35-65 y.","Rural Area","","","",""
"Quite unimportant","1991","66 and older","Urban Area","","","",""
"Quite unimportant","1991","66 and older","Rural Area","","","",""
"Very important","1992","16-34 y.","Urban Area","944","0.359285031674208","0.33996048836572","0.378609574982696"
"Very important","1992","16-34 y.","Rural Area","700","0.434222353145236","0.409122500888413","0.459322205402058"
"Very important","1992","35-65 y.","Urban Area","1690","0.450832895235355","0.434151893872369","0.46751389659834"
"Very important","1992","35-65 y.","Rural Area","1201","0.505185043324581","0.483841847989795","0.526528238659368"
"Very important","1992","66 and older","Urban Area","313","0.319418077873516","0.288956893396326","0.349879262350706"
"Very important","1992","66 and older","Rural Area","170","0.346724370871633","0.304192355157328","0.389256386585939"
"Important","1992","16-34 y.","Urban Area","758","0.325420090617686","0.306549038059871","0.3442911431755"
"Important","1992","16-34 y.","Rural Area","470","0.322757381284213","0.299081703756442","0.346433058811984"
"Important","1992","35-65 y.","Urban Area","1190","0.362674154151408","0.346556526044991","0.378791782257824"
"Important","1992","35-65 y.","Rural Area","685","0.358764188017309","0.338289079376798","0.379239296657821"
"Important","1992","66 and older","Urban Area","393","0.442407386147828","0.409958744074139","0.474856028221517"
"Important","1992","66 and older","Rural Area","204","0.431953940962537","0.387686333651755","0.47622154827332"
"Less important","1992","16-34 y.","Urban Area","493","0.230291589960171","0.213334184792468","0.247248995127874"
"Less important","1992","16-34 y.","Rural Area","258","0.197031597478991","0.176889283964275","0.217173910993707"
"Less important","1992","35-65 y.","Urban Area","347","0.120524791362946","0.109610084988972","0.13143949773692"
"Less important","1992","35-65 y.","Rural Area","141","0.0878728650498471","0.0757872747136925","0.0999584553860017"
"Less important","1992","66 and older","Urban Area","71","0.080130457979551","0.0623931066506782","0.0978678093084238"
"Less important","1992","66 and older","Rural Area","32","0.0611346591395885","0.0397244478178492","0.0825448704613277"
"Quite unimportant","1992","16-34 y.","Urban Area","173","0.0850032877479355","0.073770569369269","0.096236006126602"
"Quite unimportant","1992","16-34 y.","Rural Area","70","0.0459886680915603","0.035381624175584","0.0565957120075367"
"Quite unimportant","1992","35-65 y.","Urban Area","191","0.0659681592502918","0.0576464969947942","0.0742898215057893"
"Quite unimportant","1992","35-65 y.","Rural Area","81","0.0481779036082624","0.0390364632891963","0.0573193439273286"
"Quite unimportant","1992","66 and older","Urban Area","123","0.158044077999105","0.134212070443946","0.181876085554264"
"Quite unimportant","1992","66 and older","Rural Area","75","0.160187029026241","0.127409175122182","0.1929648829303"
"Very important","1993","16-34 y.","Urban Area","","","",""
"Very important","1993","16-34 y.","Rural Area","","","",""
"Very important","1993","35-65 y.","Urban Area","","","",""
"Very important","1993","35-65 y.","Rural Area","","","",""
"Very important","1993","66 and older","Urban Area","","","",""
"Very important","1993","66 and older","Rural Area","","","",""
"Important","1993","16-34 y.","Urban Area","","","",""
"Important","1993","16-34 y.","Rural Area","","","",""
"Important","1993","35-65 y.","Urban Area","","","",""
"Important","1993","35-65 y.","Rural Area","","","",""
"Important","1993","66 and older","Urban Area","","","",""
"Important","1993","66 and older","Rural Area","","","",""
"Less important","1993","16-34 y.","Urban Area","","","",""
"Less important","1993","16-34 y.","Rural Area","","","",""
"Less important","1993","35-65 y.","Urban Area","","","",""
"Less important","1993","35-65 y.","Rural Area","","","",""
"Less important","1993","66 and older","Urban Area","","","",""
"Less important","1993","66 and older","Rural Area","","","",""
"Quite unimportant","1993","16-34 y.","Urban Area","","","",""
"Quite unimportant","1993","16-34 y.","Rural Area","","","",""
"Quite unimportant","1993","35-65 y.","Urban Area","","","",""
"Quite unimportant","1993","35-65 y.","Rural Area","","","",""
"Quite unimportant","1993","66 and older","Urban Area","","","",""
"Quite unimportant","1993","66 and older","Rural Area","","","",""
"Very important","1994","16-34 y.","Urban Area","","","",""
"Very important","1994","16-34 y.","Rural Area","","","",""
"Very important","1994","35-65 y.","Urban Area","","","",""
"Very important","1994","35-65 y.","Rural Area","","","",""
"Very important","1994","66 and older","Urban Area","","","",""
"Very important","1994","66 and older","Rural Area","","","",""
"Important","1994","16-34 y.","Urban Area","","","",""
"Important","1994","16-34 y.","Rural Area","","","",""
"Important","1994","35-65 y.","Urban Area","","","",""
"Important","1994","35-65 y.","Rural Area","","","",""
"Important","1994","66 and older","Urban Area","","","",""
"Important","1994","66 and older","Rural Area","","","",""
"Less important","1994","16-34 y.","Urban Area","","","",""
"Less important","1994","16-34 y.","Rural Area","","","",""
"Less important","1994","35-65 y.","Urban Area","","","",""
"Less important","1994","35-65 y.","Rural Area","","","",""
"Less important","1994","66 and older","Urban Area","","","",""
"Less important","1994","66 and older","Rural Area","","","",""
"Quite unimportant","1994","16-34 y.","Urban Area","","","",""
"Quite unimportant","1994","16-34 y.","Rural Area","","","",""
