"plh0110","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","Male","357","0.242466829488187","0.219285266097027","0.265648392879347"
"Very important","1990","16-34 y.","Female","581","0.434386820448286","0.407379653247554","0.461393987649018"
"Very important","1990","35-65 y.","Male","666","0.371723718673629","0.348655993177106","0.394791444170153"
"Very important","1990","35-65 y.","Female","814","0.425737983915081","0.40274195449633","0.448734013333832"
"Very important","1990","66 and older","Male","135","0.32804909847592","0.281571545743783","0.374526651208058"
"Very important","1990","66 and older","Female","227","0.356700714788817","0.318530119949063","0.39487130962857"
"Important","1990","16-34 y.","Male","479","0.364362996540578","0.338332200681353","0.390393792399803"
"Important","1990","16-34 y.","Female","415","0.310306862771001","0.28510082426149","0.335512901280513"
"Important","1990","35-65 y.","Male","746","0.437301493032744","0.413623348491657","0.460979637573831"
"Important","1990","35-65 y.","Female","725","0.419208177227086","0.396259813241717","0.442156541212456"
"Important","1990","66 and older","Male","191","0.489746994953146","0.440260837456978","0.539233152449314"
"Important","1990","66 and older","Female","251","0.40514650330804","0.366028069313809","0.444264937302272"
"Less important","1990","16-34 y.","Male","364","0.302445996481365","0.277601593451476","0.327290399511255"
"Less important","1990","16-34 y.","Female","236","0.204124322274078","0.182163381176197","0.226085263371959"
"Less important","1990","35-65 y.","Male","189","0.126479246109582","0.110613315376866","0.142345176842297"
"Less important","1990","35-65 y.","Female","161","0.103143255752879","0.0889980728498924","0.117288438655865"
"Less important","1990","66 and older","Male","34","0.0820081281783398","0.054846679787353","0.109169576569327"
"Less important","1990","66 and older","Female","44","0.0811613685028694","0.059401077071329","0.10292165993441"
"Quite unimportant","1990","16-34 y.","Male","113","0.090724177489869","0.0751886834221896","0.106259671557548"
"Quite unimportant","1990","16-34 y.","Female","62","0.0511819945066346","0.0391750911619465","0.0631888978513227"
"Quite unimportant","1990","35-65 y.","Male","85","0.0644955421840447","0.0527706978481497","0.0762203865199398"
"Quite unimportant","1990","35-65 y.","Female","76","0.0519105831049538","0.0415929705969687","0.0622281956129389"
"Quite unimportant","1990","66 and older","Male","32","0.100195778392594","0.070472015895868","0.12991954088932"
"Quite unimportant","1990","66 and older","Female","83","0.156991413400274","0.128003006246426","0.185979820554122"
"Very important","1991","16-34 y.","Male","","","",""
"Very important","1991","16-34 y.","Female","","","",""
"Very important","1991","35-65 y.","Male","","","",""
"Very important","1991","35-65 y.","Female","","","",""
