"plh0110","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Full Time","West Germany","1155","0.3381316920374","0.321691950379589","0.354571433695212"
"Very important","1990","Full Time","East Germany","","","",""
"Very important","1990","Part Time","West Germany","570","0.400249589193039","0.373928140545748","0.42657103784033"
"Very important","1990","Part Time","East Germany","","","",""
"Very important","1990","Not Working","West Germany","1055","0.388481897442014","0.369579029661056","0.407384765222973"
"Very important","1990","Not Working","East Germany","","","",""
"Important","1990","Full Time","West Germany","1295","0.404189249116117","0.387135777487403","0.421242720744831"
"Important","1990","Full Time","East Germany","","","",""
"Important","1990","Part Time","West Germany","496","0.378965679280143","0.352903135359273","0.405028223201013"
"Important","1990","Part Time","East Germany","","","",""
"Important","1990","Not Working","West Germany","1016","0.40519459032062","0.386155029839628","0.424234150801612"
"Important","1990","Not Working","East Germany","","","",""
"Less important","1990","Full Time","West Germany","539","0.186511178965444","0.172975049959488","0.2000473079714"
"Less important","1990","Full Time","East Germany","","","",""
"Less important","1990","Part Time","West Germany","200","0.16566466196166","0.145691615061402","0.185637708861919"
"Less important","1990","Part Time","East Germany","","","",""
"Less important","1990","Not Working","West Germany","289","0.113612644686551","0.101305345583838","0.125919943789265"
"Less important","1990","Not Working","East Germany","","","",""
"Quite unimportant","1990","Full Time","West Germany","192","0.0711678798810391","0.0622332434823915","0.0801025162796866"
"Quite unimportant","1990","Full Time","East Germany","","","",""
"Quite unimportant","1990","Part Time","West Germany","65","0.0551200695651577","0.0428597369056572","0.0673804022246582"
"Quite unimportant","1990","Part Time","East Germany","","","",""
"Quite unimportant","1990","Not Working","West Germany","194","0.0927108675508146","0.0814628542421247","0.103958880859504"
"Quite unimportant","1990","Not Working","East Germany","","","",""
"Very important","1991","Full Time","West Germany","","","",""
"Very important","1991","Full Time","East Germany","","","",""
"Very important","1991","Part Time","West Germany","","","",""
"Very important","1991","Part Time","East Germany","","","",""
"Very important","1991","Not Working","West Germany","","","",""
"Very important","1991","Not Working","East Germany","","","",""
"Important","1991","Full Time","West Germany","","","",""
"Important","1991","Full Time","East Germany","","","",""
"Important","1991","Part Time","West Germany","","","",""
"Important","1991","Part Time","East Germany","","","",""
"Important","1991","Not Working","West Germany","","","",""
"Important","1991","Not Working","East Germany","","","",""
"Less important","1991","Full Time","West Germany","","","",""
"Less important","1991","Full Time","East Germany","","","",""
"Less important","1991","Part Time","West Germany","","","",""
"Less important","1991","Part Time","East Germany","","","",""
"Less important","1991","Not Working","West Germany","","","",""
"Less important","1991","Not Working","East Germany","","","",""
"Quite unimportant","1991","Full Time","West Germany","","","",""
"Quite unimportant","1991","Full Time","East Germany","","","",""
"Quite unimportant","1991","Part Time","West Germany","","","",""
"Quite unimportant","1991","Part Time","East Germany","","","",""
"Quite unimportant","1991","Not Working","West Germany","","","",""
"Quite unimportant","1991","Not Working","East Germany","","","",""
"Very important","1992","Full Time","West Germany","1242","0.370236782801099","0.353342099752161","0.387131465850037"
"Very important","1992","Full Time","East Germany","1264","0.533689683402127","0.512680905947143","0.554698460857112"
"Very important","1992","Part Time","West Germany","657","0.466587442473944","0.440102544516827","0.493072340431062"
"Very important","1992","Part Time","East Germany","448","0.561630600456172","0.52623737752226","0.597023823390084"
"Very important","1992","Not Working","West Germany","1052","0.388011093277123","0.368785959988944","0.407236226565302"
"Very important","1992","Not Working","East Germany","425","0.398718257895296","0.368310073391561","0.429126442399031"
"Important","1992","Full Time","West Germany","1142","0.369295722560937","0.352409922280446","0.386181522841429"
"Important","1992","Full Time","East Germany","632","0.309389525679036","0.289923008890304","0.328856042467769"
"Important","1992","Part Time","West Germany","463","0.343119266927255","0.317915469655709","0.368323064198801"
"Important","1992","Part Time","East Germany","208","0.279560664222252","0.247548771294494","0.31157255715001"
"Important","1992","Not Working","West Germany","941","0.399851230391365","0.380524686750747","0.419177774031983"
"Important","1992","Not Working","East Germany","337","0.346934600704588","0.317373502325519","0.376495699083656"
"Less important","1992","Full Time","West Germany","555","0.187801487277519","0.174136720305308","0.201466254249729"
"Less important","1992","Full Time","East Germany","196","0.113841923300161","0.100465944336127","0.127217902264195"
"Less important","1992","Part Time","West Germany","184","0.141856836679032","0.123334099176619","0.160379574181445"
"Less important","1992","Part Time","East Germany","71","0.10733036613506","0.0852512694430598","0.12940946282706"
"Less important","1992","Not Working","West Germany","250","0.102473686772791","0.0905088910289516","0.11443848251663"
"Less important","1992","Not Working","East Germany","99","0.0915606812598036","0.0736496376639166","0.109471724855691"
"Quite unimportant","1992","Full Time","West Germany","199","0.0726660073604449","0.0635835083231811","0.0817485063977088"
"Quite unimportant","1992","Full Time","East Germany","74","0.0430788676186751","0.0345284155452741","0.0516293196920762"
