"plh0110","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","Full Time","40","0.361604086423395","0.268362486013206","0.454845686833584"
"Very important","1990","Schleswig-Holstein","Part Time","22","","",""
"Very important","1990","Schleswig-Holstein","Not Working","50","0.47454174184319","0.373595423282482","0.575488060403899"
"Very important","1990","Hamburg","Full Time","12","","",""
"Very important","1990","Hamburg","Part Time","9","","",""
"Very important","1990","Hamburg","Not Working","14","","",""
"Very important","1990","Lower Saxony","Full Time","144","0.37474886536696","0.325292569113653","0.424205161620267"
"Very important","1990","Lower Saxony","Part Time","64","0.359834297031423","0.284518986532967","0.435149607529879"
"Very important","1990","Lower Saxony","Not Working","145","0.43707036303729","0.382118976055262","0.492021750019317"
"Very important","1990","Bremen","Full Time","11","","",""
"Very important","1990","Bremen","Part Time","2","","",""
"Very important","1990","Bremen","Not Working","22","","",""
"Very important","1990","North Rhine-Westphalia","Full Time","318","0.347480237128628","0.31537457536861","0.379585898888647"
"Very important","1990","North Rhine-Westphalia","Part Time","141","0.381845866630766","0.329664144242954","0.434027589018579"
"Very important","1990","North Rhine-Westphalia","Not Working","321","0.418401466410805","0.382811452273373","0.453991480548237"
"Very important","1990","Hesse","Full Time","84","0.297816958411027","0.244443736864383","0.35119017995767"
"Very important","1990","Hesse","Part Time","45","0.319402144311489","0.241328939068275","0.397475349554703"
"Very important","1990","Hesse","Not Working","84","0.308192442243453","0.250255333167155","0.36612955131975"
"Very important","1990","Rhineland-Palatinate,Saarland","Full Time","96","0.361319894981854","0.300031292126986","0.422608497836721"
"Very important","1990","Rhineland-Palatinate,Saarland","Part Time","47","0.459830459735315","0.356288352028425","0.563372567442206"
"Very important","1990","Rhineland-Palatinate,Saarland","Not Working","88","0.326401787235176","0.265934730694244","0.386868843776109"
"Very important","1990","Baden-Württemberg","Full Time","219","0.37076303625158","0.330359698202112","0.411166374301048"
