"plh0110","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","West Germany","112","0.420503521301458","0.359434431181205","0.48157261142171"
"Very important","1990","Schleswig-Holstein","East Germany","","","",""
"Very important","1990","Hamburg","West Germany","35","0.245645846746282","0.170482661852094","0.320809031640469"
"Very important","1990","Hamburg","East Germany","","","",""
"Very important","1990","Lower Saxony","West Germany","353","0.398376741689042","0.365210622407958","0.431542860970127"
"Very important","1990","Lower Saxony","East Germany","","","",""
"Very important","1990","Bremen","West Germany","35","0.40267226451786","0.297792755196628","0.507551773839092"
"Very important","1990","Bremen","East Germany","","","",""
"Very important","1990","North Rhine-Westphalia","West Germany","780","0.382228591620384","0.360470248256384","0.403986934984385"
"Very important","1990","North Rhine-Westphalia","East Germany","","","",""
"Very important","1990","Hesse","West Germany","213","0.306229396028135","0.271144296501634","0.341314495554636"
"Very important","1990","Hesse","East Germany","","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","West Germany","231","0.361823575759057","0.321881603656108","0.401765547862006"
"Very important","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Very important","1990","Baden-Württemberg","West Germany","487","0.403804368403423","0.375409080049524","0.432199656757321"
"Very important","1990","Baden-Württemberg","East Germany","","","",""
"Very important","1990","Bavaria","West Germany","469","0.354318511014702","0.327866459468391","0.380770562561013"
"Very important","1990","Bavaria","East Germany","","","",""
"Very important","1990","Berlin","West Germany","65","0.267037136249255","0.209861502175678","0.324212770322832"
"Very important","1990","Berlin","East Germany","","","",""
"Very important","1990","Brandenburg","West Germany","","","",""
"Very important","1990","Brandenburg","East Germany","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","East Germany","","","",""
"Very important","1990","Saxony","West Germany","","","",""
"Very important","1990","Saxony","East Germany","","","",""
"Very important","1990","Saxony-Anhalt","West Germany","","","",""
"Very important","1990","Saxony-Anhalt","East Germany","","","",""
"Very important","1990","Thuringia","West Germany","","","",""
"Very important","1990","Thuringia","East Germany","","","",""
