"plh0110","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","1-pers.-HH","Male","40","0.109907348153328","0.0759549649806675","0.143859731325988"
"Very important","1990","1-pers.-HH","Female","153","0.269360863787498","0.232973654346183","0.305748073228812"
"Very important","1990","(Married) couple without C. ","Male","291","0.302732797646777","0.273997102799977","0.331468492493578"
"Very important","1990","(Married) couple without C. ","Female","377","0.372470737287051","0.34268413921179","0.402257335362313"
"Very important","1990","Single parent ","Male","27","","",""
"Very important","1990","Single parent ","Female","86","0.353774356880664","0.29184656161964","0.415702152141688"
"Very important","1990","Couple + C. LE 16 ","Male","435","0.600816837623438","0.564870017306011","0.636763657940865"
"Very important","1990","Couple + C. LE 16 ","Female","528","0.69890557444147","0.666162230665741","0.731648918217199"
"Very important","1990","Couple + C. GT 16 ","Male","228","0.272136789144713","0.242021598053362","0.302251980236064"
"Very important","1990","Couple + C. GT 16 ","Female","283","0.406441949162883","0.369333618175955","0.443550280149811"
"Very important","1990","Couple + C. LE and GT 16","Male","78","0.356865285241643","0.293123921366794","0.420606649116493"
"Very important","1990","Couple + C. LE and GT 16","Female","100","0.473763589536578","0.407329725818164","0.540197453254993"
"Important","1990","1-pers.-HH","Male","137","0.41806537181046","0.364522891002813","0.471607852618108"
"Important","1990","1-pers.-HH","Female","221","0.375209922689494","0.335496779996501","0.414923065382487"
"Important","1990","(Married) couple without C. ","Male","428","0.430570326044546","0.39960080829352","0.461539843795572"
"Important","1990","(Married) couple without C. ","Female","404","0.401737800704549","0.371533070197932","0.431942531211167"
"Important","1990","Single parent ","Male","70","0.481682707031491","0.4027665174536","0.560598896609381"
"Important","1990","Single parent ","Female","104","0.465427231914673","0.400823194412095","0.530031269417251"
"Important","1990","Couple + C. LE 16 ","Male","262","0.374147334214938","0.338628336116381","0.409666332313495"
"Important","1990","Couple + C. LE 16 ","Female","208","0.277712080083041","0.245744115934613","0.30968004423147"
"Important","1990","Couple + C. GT 16 ","Male","363","0.432027253800916","0.398508610541291","0.465545897060541"
"Important","1990","Couple + C. GT 16 ","Female","286","0.434752378177531","0.397299869441745","0.472204886913317"
"Important","1990","Couple + C. LE and GT 16","Male","95","0.446364314770625","0.380222669272573","0.512505960268677"
"Important","1990","Couple + C. LE and GT 16","Female","89","0.40911195461655","0.343694760710691","0.474529148522408"
"Less important","1990","1-pers.-HH","Male","94","0.28047694194465","0.231711717118291","0.329242166771009"
"Less important","1990","1-pers.-HH","Female","108","0.184673843738321","0.152846644803323","0.216501042673318"
"Less important","1990","(Married) couple without C. ","Male","180","0.18135688659171","0.157257461667557","0.205456311515864"
"Less important","1990","(Married) couple without C. ","Female","160","0.157326548449532","0.134893489475989","0.179759607423074"
"Less important","1990","Single parent ","Male","42","0.267726854292854","0.197795771612926","0.337657936972782"
"Less important","1990","Single parent ","Female","28","","",""
"Less important","1990","Couple + C. LE 16 ","Male","15","","",""
"Less important","1990","Couple + C. LE 16 ","Female","15","","",""
"Less important","1990","Couple + C. GT 16 ","Male","192","0.228972444303234","0.200541343802504","0.257403544803964"
"Less important","1990","Couple + C. GT 16 ","Female","83","0.122364070348801","0.097605548434425","0.147122592263178"
"Less important","1990","Couple + C. LE and GT 16","Male","37","0.165171800900271","0.11576522785138","0.214578373949161"
"Less important","1990","Couple + C. LE and GT 16","Female","22","","",""
"Quite unimportant","1990","1-pers.-HH","Male","55","0.191550338091562","0.148832698793956","0.234267977389167"
