"plh0110","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Lower Saxony","Urban Area","157","0.379168798469727","0.333416882962393","0.424920713977062","2"
"Important","1990","North Rhine-Westphalia","Urban Area","722","0.393084284758262","0.370809081503914","0.41535948801261","2"
"Important","1990","Bremen","Rural Area","","","","","2"
"Important","1990","Lower Saxony","Rural Area","153","0.384481192159892","0.337102966366268","0.431859417953516","2"
"Important","1990","Hamburg","Rural Area","","","","","2"
"Important","1990","Bremen","Urban Area","31","0.372707240259014","0.269305582816884","0.476108897701144","2"
"Important","1990","Schleswig-Holstein","Urban Area","36","0.323853148671842","0.238328017735687","0.409378279607996","2"
"Important","1990","North Rhine-Westphalia","Rural Area","31","0.434838903156019","0.317869069818107","0.55180873649393","2"
"Important","1990","Hesse","Urban Area","244","0.441845076164344","0.400417364765357","0.483272787563331","2"
"Important","1990","Schleswig-Holstein","Rural Area","48","0.341682514824316","0.261973450814733","0.421391578833899","2"
"Important","1990","Hamburg","Urban Area","50","0.426118318943244","0.339772939591456","0.512463698295032","2"
"Important","1990","Rhineland-Palatinate,Saarland","Rural Area","42","0.452317965363926","0.358880508729424","0.545755421998429","2"
"Important","1990","Bavaria","Urban Area","248","0.389309014012189","0.350990303736659","0.42762772428772","2"
"Important","1990","Hesse","Rural Area","40","0.343901696567879","0.255535081756283","0.432268311379475","2"
"Important","1990","Rhineland-Palatinate,Saarland","Urban Area","178","0.406467315529907","0.360933980181006","0.452000650878809","2"
"Important","1990","Baden-Württemberg","Urban Area","387","0.39234153218792","0.361895441424161","0.422787622951678","2"
"Important","1990","Baden-Württemberg","Rural Area","58","0.347396168340081","0.273386773932957","0.421405562747204","2"
"Important","1990","Bavaria","Rural Area","285","0.463514159433484","0.424697862903637","0.502330455963331","2"
"Important","1990","Berlin","Urban Area","97","0.419070251401981","0.35530421868703","0.482836284116931","2"
"Important","1990","Brandenburg","Rural Area","","","","","2"
"Important","1990","Berlin","Rural Area","","","","","2"
"Important","1990","Brandenburg","Urban Area","","","","","2"
"Important","1990","Saxony","Urban Area","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Important","1990","Saxony","Rural Area","","","","","2"
"Important","1990","Saxony-Anhalt","Urban Area","","","","","2"
"Important","1990","Thuringia","Rural Area","","","","","2"
"Important","1990","Thuringia","Urban Area","","","","","2"
"Important","1990","Saxony-Anhalt","Rural Area","","","","","2"
"Less important","1990","Bremen","Rural Area","","","","","3"
"Less important","1990","Lower Saxony","Urban Area","62","0.146355563931314","0.113024487203738","0.17968664065889","3"
"Less important","1990","Hamburg","Urban Area","22","","","","3"
"Less important","1990","Bremen","Urban Area","7","","","","3"
"Less important","1990","Schleswig-Holstein","Rural Area","18","","","","3"
"Less important","1990","Hamburg","Rural Area","","","","","3"
"Less important","1990","North Rhine-Westphalia","Urban Area","289","0.168717025459074","0.15163778546345","0.185796265454699","3"
"Less important","1990","North Rhine-Westphalia","Rural Area","4","","","","3"
"Less important","1990","Schleswig-Holstein","Urban Area","24","","","","3"
"Less important","1990","Lower Saxony","Rural Area","52","0.119917322165311","0.0882782836699644","0.151556360660657","3"
"Less important","1990","Hesse","Urban Area","88","0.151792425178194","0.121859119873036","0.181725730483352","3"
"Less important","1990","Hesse","Rural Area","27","","","","3"
"Less important","1990","Rhineland-Palatinate,Saarland","Urban Area","55","0.150442307723105","0.117300532988856","0.183584082457354","3"
"Less important","1990","Rhineland-Palatinate,Saarland","Rural Area","14","","","","3"
"Less important","1990","Baden-Württemberg","Urban Area","127","0.130339188624686","0.109345822716139","0.151332554533233","3"
"Less important","1990","Baden-Württemberg","Rural Area","23","","","","3"
"Less important","1990","Bavaria","Urban Area","104","0.173776434869937","0.143998324927221","0.203554544812653","3"
"Less important","1990","Bavaria","Rural Area","68","0.112568995242763","0.0879664433858939","0.137171547099632","3"
"Less important","1990","Berlin","Urban Area","44","0.204035846952912","0.151954265241364","0.25611742866446","3"
"Less important","1990","Berlin","Rural Area","","","","","3"
"Less important","1990","Brandenburg","Urban Area","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Less important","1990","Brandenburg","Rural Area","","","","","3"
"Less important","1990","Saxony","Urban Area","","","","","3"
"Less important","1990","Saxony","Rural Area","","","","","3"
"Less important","1990","Saxony-Anhalt","Urban Area","","","","","3"
"Less important","1990","Saxony-Anhalt","Rural Area","","","","","3"
"Less important","1990","Thuringia","Urban Area","","","","","3"
"Less important","1990","Thuringia","Rural Area","","","","","3"
"Quite unimportant","1990","Schleswig-Holstein","Urban Area","3","","","","4"
"Quite unimportant","1990","Schleswig-Holstein","Rural Area","10","","","","4"
"Quite unimportant","1990","Hamburg","Rural Area","","","","","4"
"Quite unimportant","1990","Lower Saxony","Urban Area","33","0.0908062784044631","0.0637110778387233","0.117901478970203","4"
"Quite unimportant","1990","Hamburg","Urban Area","19","","","","4"
"Quite unimportant","1990","Lower Saxony","Rural Area","27","","","","4"
"Quite unimportant","1990","North Rhine-Westphalia","Urban Area","90","0.0591424513683003","0.0483845826325101","0.0699003201040905","4"
"Quite unimportant","1990","Bremen","Urban Area","11","","","","4"
"Quite unimportant","1990","Bremen","Rural Area","","","","","4"
"Quite unimportant","1990","North Rhine-Westphalia","Rural Area","","","","","4"
"Quite unimportant","1990","Berlin","Rural Area","","","","","4"
"Quite unimportant","1990","Brandenburg","Urban Area","","","","","4"
"Quite unimportant","1990","Berlin","Urban Area","24","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","Urban Area","32","0.0879473486333287","0.0616921287272474","0.11420256853941","4"
"Quite unimportant","1990","Brandenburg","Rural Area","","","","","4"
"Quite unimportant","1990","Hesse","Urban Area","39","0.0915335292975134","0.0674775463227114","0.115589512272315","4"
"Quite unimportant","1990","Hesse","Rural Area","12","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","Rural Area","4","","","","4"
"Quite unimportant","1990","Baden-Württemberg","Urban Area","57","0.0760338793820092","0.0595066057679724","0.092561152996046","4"
"Quite unimportant","1990","Baden-Württemberg","Rural Area","8","","","","4"
"Quite unimportant","1990","Bavaria","Urban Area","54","0.101698432256669","0.0779452879878285","0.12545157652551","4"
"Quite unimportant","1990","Bavaria","Rural Area","28","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Quite unimportant","1990","Saxony","Urban Area","","","","","4"
"Quite unimportant","1990","Saxony","Rural Area","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","Urban Area","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","Rural Area","","","","","4"
"Quite unimportant","1990","Thuringia","Urban Area","","","","","4"
"Quite unimportant","1990","Thuringia","Rural Area","","","","","4"
"Very important","1990","Schleswig-Holstein","Urban Area","52","0.426551338758105","0.336158901365404","0.516943776150805","1"
"Very important","1990","Schleswig-Holstein","Rural Area","60","0.416144763955461","0.333302216772445","0.498987311138477","1"
"Very important","1990","Hamburg","Urban Area","35","0.245645846746282","0.170482661852094","0.320809031640469","1"
"Very important","1990","Hamburg","Rural Area","","","","","1"
"Very important","1990","Lower Saxony","Urban Area","180","0.383669359194496","0.337813835724334","0.429524882664658","1"
"Very important","1990","Lower Saxony","Rural Area","173","0.414407794394524","0.366430894621802","0.462384694167245","1"
"Very important","1990","Bremen","Urban Area","35","0.40267226451786","0.297792755196628","0.507551773839092","1"
"Very important","1990","Bremen","Rural Area","","","","","1"
"Very important","1990","North Rhine-Westphalia","Urban Area","746","0.379056238414363","0.356930763486612","0.401181713342114","1"
"Very important","1990","North Rhine-Westphalia","Rural Area","34","0.479956222763814","0.362075087129915","0.597837358397713","1"
"Very important","1990","Hesse","Urban Area","181","0.314828969359948","0.276083993715193","0.353573945004704","1"
"Very important","1990","Hesse","Rural Area","32","0.264448068982073","0.182400924324614","0.346495213639532","1"
"Very important","1990","Rhineland-Palatinate,Saarland","Urban Area","182","0.355143028113659","0.310779336681927","0.399506719545391","1"
"Very important","1990","Rhineland-Palatinate,Saarland","Rural Area","49","0.392873744270356","0.301188203176582","0.484559285364129","1"
"Very important","1990","Baden-Württemberg","Urban Area","417","0.401285399805386","0.370721679084872","0.431849120525899","1"
"Very important","1990","Baden-Württemberg","Rural Area","70","0.418293768757417","0.34162083442348","0.494966703091354","1"
"Very important","1990","Bavaria","Urban Area","216","0.335216118861204","0.2981176841602","0.372314553562208","1"
"Very important","1990","Bavaria","Rural Area","253","0.373357458315155","0.335706519013638","0.411008397616671","1"
"Very important","1990","Berlin","Urban Area","65","0.267037136249255","0.209861502175678","0.324212770322832","1"
"Very important","1990","Berlin","Rural Area","","","","","1"
"Very important","1990","Brandenburg","Urban Area","","","","","1"
"Very important","1990","Brandenburg","Rural Area","","","","","1"
"Very important","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Very important","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Very important","1990","Saxony","Urban Area","","","","","1"
"Very important","1990","Saxony","Rural Area","","","","","1"
"Very important","1990","Saxony-Anhalt","Urban Area","","","","","1"
"Very important","1990","Saxony-Anhalt","Rural Area","","","","","1"
"Very important","1990","Thuringia","Urban Area","","","","","1"
"Very important","1990","Thuringia","Rural Area","","","","","1"
"Important","1991","Bremen","Urban Area","","","","","2"
"Important","1991","Hamburg","Rural Area","","","","","2"
"Important","1991","Schleswig-Holstein","Urban Area","","","","","2"
"Important","1991","Bremen","Rural Area","","","","","2"
