"plh0105","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","Male","219","0.154141614909082","0.134691916106241","0.173591313711923"
"Very important","1990","16-34 y.","Female","395","0.292551074152129","0.267792450560144","0.317309697744114"
"Very important","1990","35-65 y.","Male","260","0.156998088952928","0.139668786782897","0.17432739112296"
"Very important","1990","35-65 y.","Female","458","0.253432727684255","0.233282154774029","0.273583300594481"
"Very important","1990","66 and older","Male","71","0.171616115681389","0.134985371556037","0.208246859806741"
"Very important","1990","66 and older","Female","172","0.25897189996803","0.224764388892017","0.293179411044043"
"Important","1990","16-34 y.","Male","918","0.701976073636759","0.67733890368316","0.726613243590358"
"Important","1990","16-34 y.","Female","806","0.628624193769814","0.602328753141416","0.654919634398213"
"Important","1990","35-65 y.","Male","1207","0.700470606151253","0.678651633715968","0.722289578586538"
"Important","1990","35-65 y.","Female","1214","0.677067897475309","0.655406159564267","0.698729635386352"
"Important","1990","66 and older","Male","276","0.668066839904108","0.622317359650998","0.713816320157218"
"Important","1990","66 and older","Female","381","0.603585687535664","0.565389330347678","0.64178204472365"
"Less important","1990","16-34 y.","Male","178","0.138083514474951","0.119500866141033","0.156666162808868"
"Less important","1990","16-34 y.","Female","87","0.0728636049696474","0.0587185302771772","0.0870086796621176"
"Less important","1990","35-65 y.","Male","213","0.132078870628237","0.115951022840112","0.148206718416363"
"Less important","1990","35-65 y.","Female","112","0.0670638524439273","0.0554762980816515","0.078651406806203"
"Less important","1990","66 and older","Male","50","0.132246680842173","0.0993356550725422","0.165157706611804"
"Less important","1990","66 and older","Female","62","0.107855747057207","0.0836333564614243","0.13207813765299"
"Quite unimportant","1990","16-34 y.","Male","9","","",""
"Quite unimportant","1990","16-34 y.","Female","9","","",""
"Quite unimportant","1990","35-65 y.","Male","13","","",""
"Quite unimportant","1990","35-65 y.","Female","6","","",""
"Quite unimportant","1990","66 and older","Male","10","","",""
"Quite unimportant","1990","66 and older","Female","15","","",""
"Very important","1991","16-34 y.","Male","","","",""
"Very important","1991","16-34 y.","Female","","","",""
"Very important","1991","35-65 y.","Male","","","",""
"Very important","1991","35-65 y.","Female","","","",""
"Very important","1991","66 and older","Male","","","",""
"Very important","1991","66 and older","Female","","","",""
"Important","1991","16-34 y.","Male","","","",""
"Important","1991","16-34 y.","Female","","","",""
"Important","1991","35-65 y.","Male","","","",""
"Important","1991","35-65 y.","Female","","","",""
"Important","1991","66 and older","Male","","","",""
"Important","1991","66 and older","Female","","","",""
"Less important","1991","16-34 y.","Male","","","",""
"Less important","1991","16-34 y.","Female","","","",""
"Less important","1991","35-65 y.","Male","","","",""
"Less important","1991","35-65 y.","Female","","","",""
"Less important","1991","66 and older","Male","","","",""
"Less important","1991","66 and older","Female","","","",""
"Quite unimportant","1991","16-34 y.","Male","","","",""
"Quite unimportant","1991","16-34 y.","Female","","","",""
"Quite unimportant","1991","35-65 y.","Male","","","",""
"Quite unimportant","1991","35-65 y.","Female","","","",""
"Quite unimportant","1991","66 and older","Male","","","",""
"Quite unimportant","1991","66 and older","Female","","","",""
"Very important","1992","16-34 y.","Male","394","0.196372440549205","0.178667782793457","0.214077098304954"
"Very important","1992","16-34 y.","Female","719","0.365263270153079","0.344202897415357","0.3863236428908"
"Very important","1992","35-65 y.","Male","490","0.177977146781725","0.163686629741864","0.192267663821586"
"Very important","1992","35-65 y.","Female","760","0.266936304424055","0.250797379347728","0.283075229500381"
"Very important","1992","66 and older","Male","98","0.180978131435764","0.148354522769268","0.213601740102259"
"Very important","1992","66 and older","Female","194","0.183534043770752","0.158144802729047","0.208923284812456"
"Important","1992","16-34 y.","Male","1302","0.678945169833708","0.658137338842349","0.699753000825066"
"Important","1992","16-34 y.","Female","1149","0.573126721572715","0.551492511109205","0.594760932036224"
"Important","1992","35-65 y.","Male","1856","0.663795130259218","0.646145203519871","0.681445056998564"
"Important","1992","35-65 y.","Female","1923","0.66294302445207","0.645696972500338","0.680189076403802"
"Important","1992","66 and older","Male","348","0.631643081919912","0.590769613980438","0.672516549859386"
"Important","1992","66 and older","Female","564","0.63915141298728","0.607653139986185","0.670649685988375"
"Less important","1992","16-34 y.","Male","225","0.11829698962409","0.103903441490988","0.132690537757192"
"Less important","1992","16-34 y.","Female","136","0.0598351579036878","0.049461152717532","0.0702091630898437"
"Less important","1992","35-65 y.","Male","387","0.150836776829677","0.137465493651271","0.164208060008084"
"Less important","1992","35-65 y.","Female","185","0.0638876317257707","0.054965424332761","0.0728098391187804"
"Less important","1992","66 and older","Male","74","0.161918309998368","0.13070338056964","0.193133239427095"
"Less important","1992","66 and older","Female","107","0.136307246546285","0.113803155719989","0.158811337372581"
"Quite unimportant","1992","16-34 y.","Male","13","","",""
"Quite unimportant","1992","16-34 y.","Female","4","","",""
"Quite unimportant","1992","35-65 y.","Male","19","","",""
"Quite unimportant","1992","35-65 y.","Female","18","","",""
"Quite unimportant","1992","66 and older","Male","15","","",""
"Quite unimportant","1992","66 and older","Female","28","","",""
"Very important","1993","16-34 y.","Male","","","",""
"Very important","1993","16-34 y.","Female","","","",""
"Very important","1993","35-65 y.","Male","","","",""
"Very important","1993","35-65 y.","Female","","","",""
"Very important","1993","66 and older","Male","","","",""
"Very important","1993","66 and older","Female","","","",""
"Important","1993","16-34 y.","Male","","","",""
"Important","1993","16-34 y.","Female","","","",""
"Important","1993","35-65 y.","Male","","","",""
"Important","1993","35-65 y.","Female","","","",""
"Important","1993","66 and older","Male","","","",""
"Important","1993","66 and older","Female","","","",""
"Less important","1993","16-34 y.","Male","","","",""
"Less important","1993","16-34 y.","Female","","","",""
"Less important","1993","35-65 y.","Male","","","",""
"Less important","1993","35-65 y.","Female","","","",""
"Less important","1993","66 and older","Male","","","",""
"Less important","1993","66 and older","Female","","","",""
"Quite unimportant","1993","16-34 y.","Male","","","",""
"Quite unimportant","1993","16-34 y.","Female","","","",""
"Quite unimportant","1993","35-65 y.","Male","","","",""
"Quite unimportant","1993","35-65 y.","Female","","","",""
"Quite unimportant","1993","66 and older","Male","","","",""
"Quite unimportant","1993","66 and older","Female","","","",""
"Very important","1994","16-34 y.","Male","","","",""
"Very important","1994","16-34 y.","Female","","","",""
"Very important","1994","35-65 y.","Male","","","",""
"Very important","1994","35-65 y.","Female","","","",""
"Very important","1994","66 and older","Male","","","",""
"Very important","1994","66 and older","Female","","","",""
"Important","1994","16-34 y.","Male","","","",""
"Important","1994","16-34 y.","Female","","","",""
"Important","1994","35-65 y.","Male","","","",""
"Important","1994","35-65 y.","Female","","","",""
"Important","1994","66 and older","Male","","","",""
"Important","1994","66 and older","Female","","","",""
"Less important","1994","16-34 y.","Male","","","",""
"Less important","1994","16-34 y.","Female","","","",""
"Less important","1994","35-65 y.","Male","","","",""
"Less important","1994","35-65 y.","Female","","","",""
"Less important","1994","66 and older","Male","","","",""
"Less important","1994","66 and older","Female","","","",""
"Quite unimportant","1994","16-34 y.","Male","","","",""
"Quite unimportant","1994","16-34 y.","Female","","","",""
"Quite unimportant","1994","35-65 y.","Male","","","",""
"Quite unimportant","1994","35-65 y.","Female","","","",""
"Quite unimportant","1994","66 and older","Male","","","",""
"Quite unimportant","1994","66 and older","Female","","","",""
"Very important","1995","16-34 y.","Male","494","0.238530445021898","0.219667587887602","0.257393302156195"
"Very important","1995","16-34 y.","Female","785","0.376562316100584","0.355485013761683","0.397639618439485"
"Very important","1995","35-65 y.","Male","502","0.170210098475735","0.156361419394317","0.184058777557152"
"Very important","1995","35-65 y.","Female","864","0.28000123509354","0.263804191029883","0.296198279157197"
"Very important","1995","66 and older","Male","114","0.203565680382526","0.169914987580696","0.237216373184356"
"Very important","1995","66 and older","Female","271","0.267117773263111","0.238650714975149","0.295584831551073"
"Important","1995","16-34 y.","Male","1284","0.655897249469643","0.634870542078765","0.67692395686052"
"Important","1995","16-34 y.","Female","1139","0.577668210923695","0.556181685448976","0.599154736398415"
"Important","1995","35-65 y.","Male","1991","0.706801053933735","0.690026096997992","0.723576010869478"
"Important","1995","35-65 y.","Female","1926","0.660919488255767","0.643842329792494","0.67799664671904"
"Important","1995","66 and older","Male","350","0.617891333067933","0.577282899037441","0.658499767098426"
"Important","1995","66 and older","Female","557","0.608334040331854","0.576928730937345","0.639739349726363"
"Less important","1995","16-34 y.","Male","175","0.101643280264166","0.0882689192887157","0.115017641239617"
"Less important","1995","16-34 y.","Female","98","0.0406192703802634","0.0320318716887449","0.0492066690717819"
"Less important","1995","35-65 y.","Male","310","0.112471308210884","0.100828876708037","0.12411373971373"
"Less important","1995","35-65 y.","Female","145","0.05126504835982","0.0433094463218711","0.0592206503977688"
"Less important","1995","66 and older","Male","76","0.162919533924164","0.132056619865768","0.19378244798256"
"Less important","1995","66 and older","Female","79","0.0930476203908168","0.0743572038344708","0.111738036947163"
"Quite unimportant","1995","16-34 y.","Male","8","","",""
"Quite unimportant","1995","16-34 y.","Female","8","","",""
"Quite unimportant","1995","35-65 y.","Male","26","","",""
"Quite unimportant","1995","35-65 y.","Female","17","","",""
"Quite unimportant","1995","66 and older","Male","10","","",""
"Quite unimportant","1995","66 and older","Female","21","","",""
"Very important","1996","16-34 y.","Male","","","",""
"Very important","1996","16-34 y.","Female","","","",""
"Very important","1996","35-65 y.","Male","","","",""
"Very important","1996","35-65 y.","Female","","","",""
"Very important","1996","66 and older","Male","","","",""
"Very important","1996","66 and older","Female","","","",""
"Important","1996","16-34 y.","Male","","","",""
"Important","1996","16-34 y.","Female","","","",""
"Important","1996","35-65 y.","Male","","","",""
"Important","1996","35-65 y.","Female","","","",""
"Important","1996","66 and older","Male","","","",""
"Important","1996","66 and older","Female","","","",""
"Less important","1996","16-34 y.","Male","","","",""
"Less important","1996","16-34 y.","Female","","","",""
"Less important","1996","35-65 y.","Male","","","",""
"Less important","1996","35-65 y.","Female","","","",""
"Less important","1996","66 and older","Male","","","",""
"Less important","1996","66 and older","Female","","","",""
"Quite unimportant","1996","16-34 y.","Male","","","",""
"Quite unimportant","1996","16-34 y.","Female","","","",""
"Quite unimportant","1996","35-65 y.","Male","","","",""
"Quite unimportant","1996","35-65 y.","Female","","","",""
"Quite unimportant","1996","66 and older","Male","","","",""
"Quite unimportant","1996","66 and older","Female","","","",""
"Very important","1997","16-34 y.","Male","","","",""
"Very important","1997","16-34 y.","Female","","","",""
"Very important","1997","35-65 y.","Male","","","",""
"Very important","1997","35-65 y.","Female","","","",""
"Very important","1997","66 and older","Male","","","",""
"Very important","1997","66 and older","Female","","","",""
"Important","1997","16-34 y.","Male","","","",""
"Important","1997","16-34 y.","Female","","","",""
"Important","1997","35-65 y.","Male","","","",""
"Important","1997","35-65 y.","Female","","","",""
"Important","1997","66 and older","Male","","","",""
"Important","1997","66 and older","Female","","","",""
"Less important","1997","16-34 y.","Male","","","",""
"Less important","1997","16-34 y.","Female","","","",""
"Less important","1997","35-65 y.","Male","","","",""
"Less important","1997","35-65 y.","Female","","","",""
"Less important","1997","66 and older","Male","","","",""
"Less important","1997","66 and older","Female","","","",""
"Quite unimportant","1997","16-34 y.","Male","","","",""
"Quite unimportant","1997","16-34 y.","Female","","","",""
"Quite unimportant","1997","35-65 y.","Male","","","",""
"Quite unimportant","1997","35-65 y.","Female","","","",""
"Quite unimportant","1997","66 and older","Male","","","",""
"Quite unimportant","1997","66 and older","Female","","","",""
"Very important","1998","16-34 y.","Male","","","",""
"Very important","1998","16-34 y.","Female","","","",""
"Very important","1998","35-65 y.","Male","","","",""
"Very important","1998","35-65 y.","Female","","","",""
"Very important","1998","66 and older","Male","","","",""
"Very important","1998","66 and older","Female","","","",""
"Important","1998","16-34 y.","Male","","","",""
"Important","1998","16-34 y.","Female","","","",""
"Important","1998","35-65 y.","Male","","","",""
"Important","1998","35-65 y.","Female","","","",""
"Important","1998","66 and older","Male","","","",""
"Important","1998","66 and older","Female","","","",""
"Less important","1998","16-34 y.","Male","","","",""
"Less important","1998","16-34 y.","Female","","","",""
"Less important","1998","35-65 y.","Male","","","",""
"Less important","1998","35-65 y.","Female","","","",""
"Less important","1998","66 and older","Male","","","",""
"Less important","1998","66 and older","Female","","","",""
"Quite unimportant","1998","16-34 y.","Male","","","",""
"Quite unimportant","1998","16-34 y.","Female","","","",""
"Quite unimportant","1998","35-65 y.","Male","","","",""
"Quite unimportant","1998","35-65 y.","Female","","","",""
"Quite unimportant","1998","66 and older","Male","","","",""
"Quite unimportant","1998","66 and older","Female","","","",""
"Very important","1999","16-34 y.","Male","","","",""
"Very important","1999","16-34 y.","Female","","","",""
"Very important","1999","35-65 y.","Male","","","",""
"Very important","1999","35-65 y.","Female","","","",""
"Very important","1999","66 and older","Male","","","",""
"Very important","1999","66 and older","Female","","","",""
"Important","1999","16-34 y.","Male","","","",""
"Important","1999","16-34 y.","Female","","","",""
"Important","1999","35-65 y.","Male","","","",""
"Important","1999","35-65 y.","Female","","","",""
"Important","1999","66 and older","Male","","","",""
"Important","1999","66 and older","Female","","","",""
"Less important","1999","16-34 y.","Male","","","",""
"Less important","1999","16-34 y.","Female","","","",""
"Less important","1999","35-65 y.","Male","","","",""
"Less important","1999","35-65 y.","Female","","","",""
"Less important","1999","66 and older","Male","","","",""
"Less important","1999","66 and older","Female","","","",""
"Quite unimportant","1999","16-34 y.","Male","","","",""
"Quite unimportant","1999","16-34 y.","Female","","","",""
"Quite unimportant","1999","35-65 y.","Male","","","",""
"Quite unimportant","1999","35-65 y.","Female","","","",""
"Quite unimportant","1999","66 and older","Male","","","",""
"Quite unimportant","1999","66 and older","Female","","","",""
"Very important","2000","16-34 y.","Male","","","",""
"Very important","2000","16-34 y.","Female","","","",""
"Very important","2000","35-65 y.","Male","","","",""
"Very important","2000","35-65 y.","Female","","","",""
"Very important","2000","66 and older","Male","","","",""
"Very important","2000","66 and older","Female","","","",""
"Important","2000","16-34 y.","Male","","","",""
"Important","2000","16-34 y.","Female","","","",""
"Important","2000","35-65 y.","Male","","","",""
"Important","2000","35-65 y.","Female","","","",""
"Important","2000","66 and older","Male","","","",""
"Important","2000","66 and older","Female","","","",""
"Less important","2000","16-34 y.","Male","","","",""
"Less important","2000","16-34 y.","Female","","","",""
"Less important","2000","35-65 y.","Male","","","",""
"Less important","2000","35-65 y.","Female","","","",""
"Less important","2000","66 and older","Male","","","",""
"Less important","2000","66 and older","Female","","","",""
"Quite unimportant","2000","16-34 y.","Male","","","",""
"Quite unimportant","2000","16-34 y.","Female","","","",""
"Quite unimportant","2000","35-65 y.","Male","","","",""
"Quite unimportant","2000","35-65 y.","Female","","","",""
"Quite unimportant","2000","66 and older","Male","","","",""
"Quite unimportant","2000","66 and older","Female","","","",""
"Very important","2001","16-34 y.","Male","","","",""
"Very important","2001","16-34 y.","Female","","","",""
"Very important","2001","35-65 y.","Male","","","",""
"Very important","2001","35-65 y.","Female","","","",""
"Very important","2001","66 and older","Male","","","",""
"Very important","2001","66 and older","Female","","","",""
"Important","2001","16-34 y.","Male","","","",""
"Important","2001","16-34 y.","Female","","","",""
"Important","2001","35-65 y.","Male","","","",""
"Important","2001","35-65 y.","Female","","","",""
"Important","2001","66 and older","Male","","","",""
"Important","2001","66 and older","Female","","","",""
"Less important","2001","16-34 y.","Male","","","",""
