"plh0105","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Male","2401","0.696431589736185","0.681030596423264","0.711832583049106","2"
"Important","1990","Female","2401","0.645500265942168","0.630121978292267","0.660878553592068","2"
"Less important","1990","Male","441","0.134191992773969","0.12277490570336","0.145609079844578","3"
"Less important","1990","Female","261","0.0783316719837935","0.0696937785731486","0.0869695653944384","3"
"Quite unimportant","1990","Male","32","0.0113139069377694","0.00777135091684249","0.0148564629586964","4"
"Quite unimportant","1990","Female","30","0.00983611946150202","0.00666350537776542","0.0130087335452386","4"
"Very important","1990","Male","550","0.158062510552076","0.145843513082251","0.170281508021902","1"
"Very important","1990","Female","1025","0.266331942612537","0.252121315476233","0.280542569748841","1"
"Important","1991","Male","","","","","2"
"Important","1991","Female","","","","","2"
"Less important","1991","Male","","","","","3"
"Less important","1991","Female","","","","","3"
"Quite unimportant","1991","Male","","","","","4"
"Quite unimportant","1991","Female","","","","","4"
"Very important","1991","Male","","","","","1"
"Very important","1991","Female","","","","","1"
"Important","1992","Male","3506","0.664219582626989","0.651409416425201","0.677029748828778","2"
"Important","1992","Female","3636","0.631604189830123","0.619176191331743","0.644032188328504","2"
"Less important","1992","Male","686","0.141618971930654","0.13216156626103","0.151076377600278","3"
"Less important","1992","Female","428","0.0797078225414794","0.072729762728588","0.0866858823543709","3"
"Quite unimportant","1992","Male","47","0.00964584577747853","0.00699468134193984","0.0122970102130172","4"
"Quite unimportant","1992","Female","50","0.0131090033588953","0.010178509735734","0.0160394969820566","4"
"Very important","1992","Male","982","0.184515599664878","0.173993664588016","0.19503753474174","1"
"Very important","1992","Female","1673","0.275578984269502","0.264067272218358","0.287090696320646","1"
"Important","1993","Male","","","","","2"
"Important","1993","Female","","","","","2"
"Less important","1993","Male","","","","","3"
"Less important","1993","Female","","","","","3"
"Quite unimportant","1993","Male","","","","","4"
"Quite unimportant","1993","Female","","","","","4"
"Very important","1993","Male","","","","","1"
"Very important","1993","Female","","","","","1"
"Important","1994","Male","","","","","2"
"Important","1994","Female","","","","","2"
"Less important","1994","Male","","","","","3"
"Less important","1994","Female","","","","","3"
"Quite unimportant","1994","Male","","","","","4"
"Quite unimportant","1994","Female","","","","","4"
"Very important","1994","Male","","","","","1"
"Very important","1994","Female","","","","","1"
"Important","1995","Female","3622","0.625721822646978","0.613383893997884","0.638059751296072","2"
"Important","1995","Male","3625","0.677334259558462","0.664795475823837","0.689873043293088","2"
"Less important","1995","Female","322","0.058485270871036","0.0525026543950327","0.0644678873470392","3"
"Less important","1995","Male","561","0.116690359637699","0.108079402314474","0.125301316960924","3"
"Quite unimportant","1995","Female","46","0.0128180444691549","0.00995014554042035","0.0156859433978894","4"
"Quite unimportant","1995","Male","44","0.00921554405325708","0.00665266834625077","0.0117784197602634","4"
"Very important","1995","Female","1920","0.302974862012831","0.291258794400483","0.31469092962518","1"
"Very important","1995","Male","1110","0.196759836750582","0.186097107120191","0.207422566380972","1"
"Important","1996","Female","","","","","2"
"Important","1996","Male","","","","","2"
"Less important","1996","Female","","","","","3"
"Less important","1996","Male","","","","","3"
"Quite unimportant","1996","Female","","","","","4"
"Quite unimportant","1996","Male","","","","","4"
"Very important","1996","Female","","","","","1"
"Very important","1996","Male","","","","","1"
"Important","1997","Female","","","","","2"
"Important","1997","Male","","","","","2"
"Less important","1997","Female","","","","","3"
"Less important","1997","Male","","","","","3"
"Quite unimportant","1997","Female","","","","","4"
"Quite unimportant","1997","Male","","","","","4"
"Very important","1997","Female","","","","","1"
"Very important","1997","Male","","","","","1"
"Important","1998","Female","","","","","2"
"Important","1998","Male","","","","","2"
"Less important","1998","Female","","","","","3"
"Less important","1998","Male","","","","","3"
"Quite unimportant","1998","Female","","","","","4"
"Quite unimportant","1998","Male","","","","","4"
"Very important","1998","Female","","","","","1"
"Very important","1998","Male","","","","","1"
"Important","1999","Male","","","","","2"
"Important","1999","Female","","","","","2"
"Less important","1999","Male","","","","","3"
"Less important","1999","Female","","","","","3"
"Quite unimportant","1999","Male","","","","","4"
"Quite unimportant","1999","Female","","","","","4"
"Very important","1999","Male","","","","","1"
"Very important","1999","Female","","","","","1"
"Important","2000","Male","","","","","2"
"Important","2000","Female","","","","","2"
"Less important","2000","Male","","","","","3"
"Less important","2000","Female","","","","","3"
"Quite unimportant","2000","Male","","","","","4"
"Quite unimportant","2000","Female","","","","","4"
"Very important","2000","Male","","","","","1"
"Very important","2000","Female","","","","","1"
"Important","2001","Male","","","","","2"
"Important","2001","Female","","","","","2"
"Less important","2001","Male","","","","","3"
"Less important","2001","Female","","","","","3"
"Quite unimportant","2001","Male","","","","","4"
"Quite unimportant","2001","Female","","","","","4"
"Very important","2001","Male","","","","","1"
"Very important","2001","Female","","","","","1"
"Important","2002","Male","","","","","2"
"Important","2002","Female","","","","","2"
"Less important","2002","Male","","","","","3"
"Less important","2002","Female","","","","","3"
"Quite unimportant","2002","Male","","","","","4"
"Quite unimportant","2002","Female","","","","","4"
"Very important","2002","Male","","","","","1"
"Very important","2002","Female","","","","","1"
"Important","2003","Male","","","","","2"
"Important","2003","Female","","","","","2"
"Less important","2003","Male","","","","","3"
"Less important","2003","Female","","","","","3"
"Quite unimportant","2003","Male","","","","","4"
"Quite unimportant","2003","Female","","","","","4"
"Very important","2003","Male","","","","","1"
"Very important","2003","Female","","","","","1"
"Important","2004","Male","7157","0.678844100009047","0.669869046523324","0.687819153494771","2"
"Important","2004","Female","6957","0.623413818725368","0.614457544388032","0.632370093062704","2"
"Less important","2004","Male","1126","0.114654777169847","0.108530617989079","0.120778936350616","3"
"Less important","2004","Female","609","0.0615013575426866","0.0570605069592506","0.0659422081261226","3"
"Quite unimportant","2004","Male","62","0.00659917228803186","0.00504284453787398","0.00815550003818975","4"
"Quite unimportant","2004","Female","48","0.00528812073628396","0.00394749880716902","0.0066287426653989","4"
"Very important","2004","Male","2052","0.199901950533073","0.192214644146361","0.207589256919786","1"
"Very important","2004","Female","3629","0.309796702995661","0.301249305599395","0.318344100391928","1"
"Important","2005","Male","","","","","2"
"Important","2005","Female","","","","","2"
"Less important","2005","Male","","","","","3"
"Less important","2005","Female","","","","","3"
"Quite unimportant","2005","Male","","","","","4"
"Quite unimportant","2005","Female","","","","","4"
"Very important","2005","Male","","","","","1"
"Very important","2005","Female","","","","","1"
"Important","2006","Male","","","","","2"
"Important","2006","Female","","","","","2"
"Less important","2006","Male","","","","","3"
"Less important","2006","Female","","","","","3"
"Quite unimportant","2006","Male","","","","","4"
"Quite unimportant","2006","Female","","","","","4"
"Very important","2006","Male","","","","","1"
"Very important","2006","Female","","","","","1"
"Important","2007","Male","","","","","2"
"Important","2007","Female","","","","","2"
"Less important","2007","Male","","","","","3"
"Less important","2007","Female","","","","","3"
"Quite unimportant","2007","Male","","","","","4"
"Quite unimportant","2007","Female","","","","","4"
"Very important","2007","Male","","","","","1"
"Very important","2007","Female","","","","","1"
"Important","2008","Female","6412","0.633767793188354","0.624393381725568","0.643142204651141","2"
"Important","2008","Male","6437","0.688517824481144","0.679068690123273","0.697966958839015","2"
"Less important","2008","Female","487","0.0552052943470206","0.0507614406500651","0.0596491480439761","3"
"Less important","2008","Male","977","0.114501047518263","0.108003991870764","0.120998103165761","3"
