"plh0105","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Full Time","1-pers.-HH","68","0.199387613750355","0.157043282509972","0.241731944990738"
"Very important","1990","Full Time","(Married) couple without C. ","171","0.186755217253137","0.161006608427191","0.212503826079083"
"Very important","1990","Full Time","Single parent ","36","0.215886212445323","0.153671163249718","0.278101261640928"
"Very important","1990","Full Time","Couple + C. LE 16 ","144","0.175341073278198","0.148126816899686","0.202555329656709"
"Very important","1990","Full Time","Couple + C. GT 16 ","128","0.169679858449952","0.142186391198905","0.197173325700999"
"Very important","1990","Full Time","Couple + C. LE and GT 16","34","0.172838150297158","0.11864525669759","0.227031043896725"
"Very important","1990","Part Time","1-pers.-HH","28","","",""
"Very important","1990","Part Time","(Married) couple without C. ","59","0.207872826055658","0.159016425203869","0.256729226907446"
"Very important","1990","Part Time","Single parent ","16","","",""
"Very important","1990","Part Time","Couple + C. LE 16 ","90","0.223694978223441","0.180944008148356","0.266445948298525"
"Very important","1990","Part Time","Couple + C. GT 16 ","71","0.202359806486657","0.159078562281001","0.245641050692313"
"Very important","1990","Part Time","Couple + C. LE and GT 16","26","","",""
"Very important","1990","Not Working","1-pers.-HH","103","0.209793926112771","0.173369383302325","0.246218468923216"
"Very important","1990","Not Working","(Married) couple without C. ","214","0.24349376001571","0.215088519581288","0.271899000450132"
"Very important","1990","Not Working","Single parent ","34","0.281425794179662","0.205847619515907","0.357003968843417"
"Very important","1990","Not Working","Couple + C. LE 16 ","102","0.282600335744735","0.235428694152904","0.329771977336566"
"Very important","1990","Not Working","Couple + C. GT 16 ","118","0.240390997491684","0.202123110246872","0.278658884736495"
"Very important","1990","Not Working","Couple + C. LE and GT 16","40","0.316784158439738","0.237420474843813","0.396147842035662"
"Important","1990","Full Time","1-pers.-HH","234","0.670403246410456","0.62058429812343","0.720222194697482"
"Important","1990","Full Time","(Married) couple without C. ","620","0.707739614907236","0.677690721456786","0.737788508357686"
"Important","1990","Full Time","Single parent ","109","0.64508899115334","0.572734915312577","0.717443066994103"
"Important","1990","Full Time","Couple + C. LE 16 ","517","0.70516463697364","0.672531974579725","0.737797299367556"
"Important","1990","Full Time","Couple + C. GT 16 ","499","0.695592639531431","0.661887460102215","0.729297818960646"
"Important","1990","Full Time","Couple + C. LE and GT 16","128","0.687638668062342","0.621212979343457","0.754064356781227"
"Important","1990","Part Time","1-pers.-HH","54","0.548296428501815","0.44874512631789","0.64784773068574"
"Important","1990","Part Time","(Married) couple without C. ","183","0.697213458061951","0.641894203555732","0.75253271256817"
"Important","1990","Part Time","Single parent ","57","0.657707058023913","0.556240326432145","0.759173789615681"
"Important","1990","Part Time","Couple + C. LE 16 ","255","0.712461453819967","0.66602806491617","0.758894842723763"
"Important","1990","Part Time","Couple + C. GT 16 ","228","0.703765716097523","0.65457696376767","0.752954468427377"
"Important","1990","Part Time","Couple + C. LE and GT 16","82","0.693582674292574","0.610754061624772","0.776411286960377"
"Important","1990","Not Working","1-pers.-HH","296","0.608581571450115","0.564919181352668","0.652243961547561"
"Important","1990","Not Working","(Married) couple without C. ","596","0.683060742404908","0.652266751626003","0.713854733183813"
"Important","1990","Not Working","Single parent ","88","0.629761987586922","0.548608467704067","0.710915507469777"
"Important","1990","Not Working","Couple + C. LE 16 ","224","0.640393682918786","0.590118779545069","0.690668586292503"
"Important","1990","Not Working","Couple + C. GT 16 ","314","0.657090771763325","0.614581603784729","0.69959993974192"
"Important","1990","Not Working","Couple + C. LE and GT 16","81","0.609944247974953","0.526735394338245","0.69315310161166"
"Less important","1990","Full Time","1-pers.-HH","39","0.128223467604682","0.0927893694610666","0.163657565748297"
"Less important","1990","Full Time","(Married) couple without C. ","87","0.102756481714766","0.0826948370991649","0.122818126330366"
"Less important","1990","Full Time","Single parent ","21","","",""
"Less important","1990","Full Time","Couple + C. LE 16 ","84","0.112068823969889","0.0894926928397112","0.134644955100066"
"Less important","1990","Full Time","Couple + C. GT 16 ","86","0.130991229863368","0.106278269681351","0.155704190045385"
