"plh0105","year","e11103","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Full Time","612","0.185800137299973","0.172300896042356","0.19929937855759"
"Very important","1990","Part Time","309","0.220774478443106","0.198533654112153","0.243015302774058"
"Very important","1990","Not Working","654","0.243131845026233","0.226693417908511","0.259570272143956"
"Important","1990","Full Time","2203","0.690637426163358","0.67459464083131","0.706680211495406"
"Important","1990","Part Time","907","0.678081304670004","0.653028356107118","0.703134253232891"
"Important","1990","Not Working","1692","0.644047454471656","0.625699645629504","0.662395263313808"
"Less important","1990","Full Time","357","0.1185017916387","0.107284345145745","0.129719238131655"
"Less important","1990","Part Time","111","0.092039601291699","0.0765383884399371","0.107540814143461"
"Less important","1990","Not Working","234","0.0959500370196829","0.0846638300329308","0.107236244006435"
"Quite unimportant","1990","Full Time","17","","",""
"Quite unimportant","1990","Part Time","9","","",""
"Quite unimportant","1990","Not Working","36","0.0168706634824279","0.0119355103790808","0.021805816585775"
"Very important","1991","Full Time","","","",""
"Very important","1991","Part Time","","","",""
"Very important","1991","Not Working","","","",""
"Important","1991","Full Time","","","",""
"Important","1991","Part Time","","","",""
"Important","1991","Not Working","","","",""
"Less important","1991","Full Time","","","",""
"Less important","1991","Part Time","","","",""
"Less important","1991","Not Working","","","",""
"Quite unimportant","1991","Full Time","","","",""
"Quite unimportant","1991","Part Time","","","",""
"Quite unimportant","1991","Not Working","","","",""
"Very important","1992","Full Time","1200","0.221311348055216","0.210173962503865","0.232448733606567"
"Very important","1992","Part Time","580","0.277783658418024","0.258739770097948","0.296827546738099"
"Very important","1992","Not Working","875","0.22392452146679","0.210203655135405","0.237645387798175"
"Important","1992","Full Time","3565","0.665308316710788","0.65264832485795","0.677968308563627"
"Important","1992","Part Time","1341","0.629063592269522","0.608525238508404","0.64960194603064"
"Important","1992","Not Working","2236","0.634667629941781","0.618818844837509","0.650516415046053"
"Less important","1992","Full Time","548","0.109267054314997","0.100897200646474","0.11763690798352"
"Less important","1992","Part Time","200","0.0911420440607475","0.0789050144014534","0.103379073720042"
"Less important","1992","Not Working","366","0.117172912036901","0.106586954144257","0.127758869929544"
"Quite unimportant","1992","Full Time","24","","",""
"Quite unimportant","1992","Part Time","4","","",""
"Quite unimportant","1992","Not Working","69","0.0242349365545279","0.0191735174365231","0.0292963556725328"
"Very important","1993","Full Time","","","",""
"Very important","1993","Part Time","","","",""
"Very important","1993","Not Working","","","",""
"Important","1993","Full Time","","","",""
"Important","1993","Part Time","","","",""
"Important","1993","Not Working","","","",""
"Less important","1993","Full Time","","","",""
"Less important","1993","Part Time","","","",""
"Less important","1993","Not Working","","","",""
"Quite unimportant","1993","Full Time","","","",""
"Quite unimportant","1993","Part Time","","","",""
"Quite unimportant","1993","Not Working","","","",""
"Very important","1994","Full Time","","","",""
"Very important","1994","Part Time","","","",""
"Very important","1994","Not Working","","","",""
"Important","1994","Full Time","","","",""
"Important","1994","Part Time","","","",""
"Important","1994","Not Working","","","",""
"Less important","1994","Full Time","","","",""
"Less important","1994","Part Time","","","",""
"Less important","1994","Not Working","","","",""
"Quite unimportant","1994","Full Time","","","",""
"Quite unimportant","1994","Part Time","","","",""
"Quite unimportant","1994","Not Working","","","",""
"Very important","1995","Full Time","1186","0.219104330750242","0.207602173903383","0.230606487597101"
"Very important","1995","Part Time","654","0.282147801372711","0.263346239753326","0.300949362992097"
"Very important","1995","Not Working","1190","0.270601724838509","0.25697120435112","0.284232245325898"
"Important","1995","Full Time","3364","0.691639161256469","0.6787973378246","0.704480984688338"
"Important","1995","Part Time","1371","0.632447382302375","0.612305037341311","0.652589727263439"
"Important","1995","Not Working","2512","0.619426887587962","0.604530571774615","0.634323203401309"
