"plh0105","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","West Germany","614","0.221462702694288","0.205566090119371","0.237359315269204"
"Very important","1990","16-34 y.","East Germany","","","",""
"Very important","1990","35-65 y.","West Germany","718","0.205693628853825","0.192269818844159","0.219117438863491"
"Very important","1990","35-65 y.","East Germany","","","",""
"Very important","1990","66 and older","West Germany","243","0.228285428607416","0.202739237375037","0.253831619839794"
"Very important","1990","66 and older","East Germany","","","",""
"Important","1990","16-34 y.","West Germany","1724","0.66629839401328","0.648246278154299","0.684350509872261"
"Important","1990","16-34 y.","East Germany","","","",""
"Important","1990","35-65 y.","West Germany","2421","0.688653197499021","0.67327541043624","0.704030984561801"
"Important","1990","35-65 y.","East Germany","","","",""
"Important","1990","66 and older","West Germany","657","0.626236723773413","0.596790724790428","0.655682722756397"
"Important","1990","66 and older","East Germany","","","",""
"Less important","1990","16-34 y.","West Germany","265","0.106361150431611","0.0945582942837778","0.118164006579445"
"Less important","1990","16-34 y.","East Germany","","","",""
"Less important","1990","35-65 y.","West Germany","325","0.0992489512776591","0.0893192380710746","0.109178664484244"
"Less important","1990","35-65 y.","East Germany","","","",""
"Less important","1990","66 and older","West Germany","112","0.116423830981622","0.096902849352804","0.13594481261044"
"Less important","1990","66 and older","East Germany","","","",""
"Quite unimportant","1990","16-34 y.","West Germany","18","","",""
"Quite unimportant","1990","16-34 y.","East Germany","","","",""
"Quite unimportant","1990","35-65 y.","West Germany","19","","",""
"Quite unimportant","1990","35-65 y.","East Germany","","","",""
"Quite unimportant","1990","66 and older","West Germany","25","","",""
"Quite unimportant","1990","66 and older","East Germany","","","",""
"Very important","1991","16-34 y.","West Germany","","","",""
"Very important","1991","16-34 y.","East Germany","","","",""
"Very important","1991","35-65 y.","West Germany","","","",""
"Very important","1991","35-65 y.","East Germany","","","",""
"Very important","1991","66 and older","West Germany","","","",""
"Very important","1991","66 and older","East Germany","","","",""
"Important","1991","16-34 y.","West Germany","","","",""
"Important","1991","16-34 y.","East Germany","","","",""
"Important","1991","35-65 y.","West Germany","","","",""
"Important","1991","35-65 y.","East Germany","","","",""
"Important","1991","66 and older","West Germany","","","",""
"Important","1991","66 and older","East Germany","","","",""
"Less important","1991","16-34 y.","West Germany","","","",""
"Less important","1991","16-34 y.","East Germany","","","",""
"Less important","1991","35-65 y.","West Germany","","","",""
"Less important","1991","35-65 y.","East Germany","","","",""
"Less important","1991","66 and older","West Germany","","","",""
"Less important","1991","66 and older","East Germany","","","",""
"Quite unimportant","1991","16-34 y.","West Germany","","","",""
"Quite unimportant","1991","16-34 y.","East Germany","","","",""
"Quite unimportant","1991","35-65 y.","West Germany","","","",""
"Quite unimportant","1991","35-65 y.","East Germany","","","",""
"Quite unimportant","1991","66 and older","West Germany","","","",""
"Quite unimportant","1991","66 and older","East Germany","","","",""
"Very important","1992","16-34 y.","West Germany","736","0.281275150043529","0.263813686904874","0.298736613182184"
"Very important","1992","16-34 y.","East Germany","377","0.270927130545853","0.247604759278982","0.294249501812724"
"Very important","1992","35-65 y.","West Germany","758","0.220638216302234","0.20680702067836","0.234469411926108"
"Very important","1992","35-65 y.","East Germany","492","0.229947879198311","0.212303875699205","0.247591882697417"
"Very important","1992","66 and older","West Germany","196","0.174676811870871","0.151500282052957","0.197853341688784"
"Very important","1992","66 and older","East Germany","96","0.218414171144964","0.17777156185063","0.259056780439299"
"Important","1992","16-34 y.","West Germany","1570","0.625523346775715","0.606727246477805","0.644319447073625"
"Important","1992","16-34 y.","East Germany","881","0.633027496060001","0.607735154564765","0.658319837555237"
