"plh0105","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","West Germany","46","0.187676101582226","0.139658514275822","0.235693688888629"
"Very important","1990","Schleswig-Holstein","East Germany","","","",""
"Very important","1990","Hamburg","West Germany","28","","",""
"Very important","1990","Hamburg","East Germany","","","",""
"Very important","1990","Lower Saxony","West Germany","176","0.199320678894555","0.172369215408411","0.2262721423807"
"Very important","1990","Lower Saxony","East Germany","","","",""
"Very important","1990","Bremen","West Germany","23","","",""
"Very important","1990","Bremen","East Germany","","","",""
"Very important","1990","North Rhine-Westphalia","West Germany","424","0.211274063175598","0.193062149204243","0.229485977146954"
"Very important","1990","North Rhine-Westphalia","East Germany","","","",""
"Very important","1990","Hesse","West Germany","164","0.253238450726899","0.220334910429939","0.28614199102386"
"Very important","1990","Hesse","East Germany","","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","West Germany","117","0.20053384687245","0.167341644440125","0.233726049304775"
"Very important","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Very important","1990","Baden-Württemberg","West Germany","310","0.260067864889421","0.234780215314655","0.285355514464186"
"Very important","1990","Baden-Württemberg","East Germany","","","",""
"Very important","1990","Bavaria","West Germany","232","0.184823279121059","0.163525860183267","0.206120698058851"
"Very important","1990","Bavaria","East Germany","","","",""
"Very important","1990","Berlin","West Germany","55","0.221344700027253","0.168265869494802","0.274423530559705"
"Very important","1990","Berlin","East Germany","","","",""
"Very important","1990","Brandenburg","West Germany","","","",""
"Very important","1990","Brandenburg","East Germany","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","East Germany","","","",""
"Very important","1990","Saxony","West Germany","","","",""
"Very important","1990","Saxony","East Germany","","","",""
"Very important","1990","Saxony-Anhalt","West Germany","","","",""
"Very important","1990","Saxony-Anhalt","East Germany","","","",""
"Very important","1990","Thuringia","West Germany","","","",""
"Very important","1990","Thuringia","East Germany","","","",""
"Important","1990","Schleswig-Holstein","West Germany","183","0.68895073011246","0.632020897326256","0.745880562898664"
"Important","1990","Schleswig-Holstein","East Germany","","","",""
"Important","1990","Hamburg","West Germany","90","0.714832714137236","0.636920544791959","0.792744883482513"
"Important","1990","Hamburg","East Germany","","","",""
"Important","1990","Lower Saxony","West Germany","582","0.692348614908022","0.661212191892205","0.723485037923838"
"Important","1990","Lower Saxony","East Germany","","","",""
"Important","1990","Bremen","West Germany","58","0.654872900898874","0.554974967285501","0.754770834512246"
"Important","1990","Bremen","East Germany","","","",""
"Important","1990","North Rhine-Westphalia","West Germany","1310","0.682729231984514","0.661965342172278","0.70349312179675"
"Important","1990","North Rhine-Westphalia","East Germany","","","",""
"Important","1990","Hesse","West Germany","442","0.652290576506387","0.616256316025239","0.688324836987534"
