"plh0105","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Urban Area","West Germany","1249","0.219871088954382","0.208926624410278","0.230815553498486"
"Very important","1990","Urban Area","East Germany","","","",""
"Very important","1990","Rural Area","West Germany","326","0.198839693014412","0.179522793478357","0.218156592550466"
"Very important","1990","Rural Area","East Germany","","","",""
"Important","1990","Urban Area","West Germany","3674","0.668526572391185","0.656086842077641","0.680966302704729"
"Important","1990","Urban Area","East Germany","","","",""
"Important","1990","Rural Area","West Germany","1128","0.673319586497322","0.650621024774005","0.696018148220639"
"Important","1990","Rural Area","East Germany","","","",""
"Less important","1990","Urban Area","West Germany","533","0.102483241056378","0.0944687679166802","0.110497714196075"
"Less important","1990","Urban Area","East Germany","","","",""
"Less important","1990","Rural Area","West Germany","169","0.112546995398172","0.0972514206140472","0.127842570182296"
"Less important","1990","Rural Area","East Germany","","","",""
"Quite unimportant","1990","Urban Area","West Germany","45","0.00911909759805568","0.00660713059911779","0.0116310645969936"
"Quite unimportant","1990","Urban Area","East Germany","","","",""
"Quite unimportant","1990","Rural Area","West Germany","17","","",""
"Quite unimportant","1990","Rural Area","East Germany","","","",""
"Very important","1991","Urban Area","West Germany","","","",""
"Very important","1991","Urban Area","East Germany","","","",""
"Very important","1991","Rural Area","West Germany","","","",""
"Very important","1991","Rural Area","East Germany","","","",""
"Important","1991","Urban Area","West Germany","","","",""
"Important","1991","Urban Area","East Germany","","","",""
"Important","1991","Rural Area","West Germany","","","",""
"Important","1991","Rural Area","East Germany","","","",""
"Less important","1991","Urban Area","West Germany","","","",""
"Less important","1991","Urban Area","East Germany","","","",""
"Less important","1991","Rural Area","West Germany","","","",""
"Less important","1991","Rural Area","East Germany","","","",""
"Quite unimportant","1991","Urban Area","West Germany","","","",""
"Quite unimportant","1991","Urban Area","East Germany","","","",""
"Quite unimportant","1991","Rural Area","West Germany","","","",""
"Quite unimportant","1991","Rural Area","East Germany","","","",""
"Very important","1992","Urban Area","West Germany","1332","0.237416664109238","0.226025582827348","0.248807745391127"
"Very important","1992","Urban Area","East Germany","330","0.247104095107024","0.22436351661722","0.269844673596828"
"Very important","1992","Rural Area","West Germany","354","0.206074690998498","0.186605048371878","0.225544333625118"
"Very important","1992","Rural Area","East Germany","598","0.233281963186082","0.216670540155762","0.249893386216402"
"Important","1992","Urban Area","West Germany","3445","0.646630764540746","0.633833762295735","0.659427766785757"
"Important","1992","Urban Area","East Germany","921","0.643514032257229","0.618262118351292","0.668765946163167"
"Important","1992","Rural Area","West Germany","1093","0.653541047841718","0.630636688071894","0.676445407611541"
"Important","1992","Rural Area","East Germany","1609","0.643097915084995","0.624280433020523","0.661915397149467"
"Less important","1992","Urban Area","West Germany","534","0.104981704991392","0.0967755736541791","0.113187836328605"
"Less important","1992","Urban Area","East Germany","118","0.097419337226778","0.0817857130628374","0.113052961390719"
"Less important","1992","Rural Area","West Germany","191","0.12480109880432","0.108892995068808","0.140709202539833"
"Less important","1992","Rural Area","East Germany","269","0.115951360681555","0.103375884985903","0.128526836377208"
"Quite unimportant","1992","Urban Area","West Germany","49","0.0109708663586242","0.00818223760612648","0.013759495111122"
"Quite unimportant","1992","Urban Area","East Germany","13","","",""
"Quite unimportant","1992","Rural Area","West Germany","20","","",""
"Quite unimportant","1992","Rural Area","East Germany","14","","",""
"Very important","1993","Urban Area","West Germany","","","",""
"Very important","1993","Urban Area","East Germany","","","",""
"Very important","1993","Rural Area","West Germany","","","",""
"Very important","1993","Rural Area","East Germany","","","",""
"Important","1993","Urban Area","West Germany","","","",""
"Important","1993","Urban Area","East Germany","","","",""
"Important","1993","Rural Area","West Germany","","","",""
"Important","1993","Rural Area","East Germany","","","",""
"Less important","1993","Urban Area","West Germany","","","",""
"Less important","1993","Urban Area","East Germany","","","",""
"Less important","1993","Rural Area","West Germany","","","",""
"Less important","1993","Rural Area","East Germany","","","",""
"Quite unimportant","1993","Urban Area","West Germany","","","",""
"Quite unimportant","1993","Urban Area","East Germany","","","",""
"Quite unimportant","1993","Rural Area","West Germany","","","",""
"Quite unimportant","1993","Rural Area","East Germany","","","",""
"Very important","1994","Urban Area","West Germany","","","",""
"Very important","1994","Urban Area","East Germany","","","",""
"Very important","1994","Rural Area","West Germany","","","",""
"Very important","1994","Rural Area","East Germany","","","",""
"Important","1994","Urban Area","West Germany","","","",""
"Important","1994","Urban Area","East Germany","","","",""
"Important","1994","Rural Area","West Germany","","","",""
"Important","1994","Rural Area","East Germany","","","",""
"Less important","1994","Urban Area","West Germany","","","",""
"Less important","1994","Urban Area","East Germany","","","",""
"Less important","1994","Rural Area","West Germany","","","",""
"Less important","1994","Rural Area","East Germany","","","",""
"Quite unimportant","1994","Urban Area","West Germany","","","",""
"Quite unimportant","1994","Urban Area","East Germany","","","",""
"Quite unimportant","1994","Rural Area","West Germany","","","",""
"Quite unimportant","1994","Rural Area","East Germany","","","",""
"Very important","1995","Urban Area","West Germany","1613","0.256810884358404","0.245550183259138","0.268071585457669"
"Very important","1995","Urban Area","East Germany","360","0.284551699330727","0.259697432404923","0.309405966256532"
"Very important","1995","Rural Area","West Germany","466","0.239971779271779","0.220182140553445","0.259761417990112"
"Very important","1995","Rural Area","East Germany","591","0.231251617460537","0.214428598782996","0.248074636138078"
"Important","1995","Urban Area","West Germany","3693","0.649293080293417","0.636993179684995","0.661592980901839"
"Important","1995","Urban Area","East Germany","806","0.627329169805967","0.600694845739551","0.653963493872384"
"Important","1995","Rural Area","West Germany","1155","0.652115113102592","0.630044071240603","0.67418615496458"
"Important","1995","Rural Area","East Germany","1593","0.665436292402956","0.646610117642621","0.684262467163292"
"Less important","1995","Urban Area","West Germany","433","0.0831677834612125","0.0760502167943636","0.0902853501280615"
"Less important","1995","Urban Area","East Germany","88","0.0723447766141176","0.0580746401806798","0.0866149130475553"
"Less important","1995","Rural Area","West Germany","153","0.0981739361560992","0.0843858999855952","0.111961972326603"
"Less important","1995","Rural Area","East Germany","209","0.0911629048395794","0.0796781552569396","0.102647654422219"
"Quite unimportant","1995","Urban Area","West Germany","43","0.0107282518869668","0.00807284344581877","0.0133836603281148"
"Quite unimportant","1995","Urban Area","East Germany","12","","",""
"Quite unimportant","1995","Rural Area","West Germany","15","","",""
"Quite unimportant","1995","Rural Area","East Germany","20","","",""
"Very important","1996","Urban Area","West Germany","","","",""
"Very important","1996","Urban Area","East Germany","","","",""
"Very important","1996","Rural Area","West Germany","","","",""
"Very important","1996","Rural Area","East Germany","","","",""
"Important","1996","Urban Area","West Germany","","","",""
"Important","1996","Urban Area","East Germany","","","",""
"Important","1996","Rural Area","West Germany","","","",""
"Important","1996","Rural Area","East Germany","","","",""
"Less important","1996","Urban Area","West Germany","","","",""
"Less important","1996","Urban Area","East Germany","","","",""
"Less important","1996","Rural Area","West Germany","","","",""
"Less important","1996","Rural Area","East Germany","","","",""
"Quite unimportant","1996","Urban Area","West Germany","","","",""
"Quite unimportant","1996","Urban Area","East Germany","","","",""
"Quite unimportant","1996","Rural Area","West Germany","","","",""
"Quite unimportant","1996","Rural Area","East Germany","","","",""
"Very important","1997","Urban Area","West Germany","","","",""
"Very important","1997","Urban Area","East Germany","","","",""
"Very important","1997","Rural Area","West Germany","","","",""
"Very important","1997","Rural Area","East Germany","","","",""
"Important","1997","Urban Area","West Germany","","","",""
"Important","1997","Urban Area","East Germany","","","",""
"Important","1997","Rural Area","West Germany","","","",""
"Important","1997","Rural Area","East Germany","","","",""
"Less important","1997","Urban Area","West Germany","","","",""
"Less important","1997","Urban Area","East Germany","","","",""
"Less important","1997","Rural Area","West Germany","","","",""
"Less important","1997","Rural Area","East Germany","","","",""
"Quite unimportant","1997","Urban Area","West Germany","","","",""
"Quite unimportant","1997","Urban Area","East Germany","","","",""
"Quite unimportant","1997","Rural Area","West Germany","","","",""
"Quite unimportant","1997","Rural Area","East Germany","","","",""
"Very important","1998","Urban Area","West Germany","","","",""
"Very important","1998","Urban Area","East Germany","","","",""
"Very important","1998","Rural Area","West Germany","","","",""
"Very important","1998","Rural Area","East Germany","","","",""
"Important","1998","Urban Area","West Germany","","","",""
"Important","1998","Urban Area","East Germany","","","",""
"Important","1998","Rural Area","West Germany","","","",""
"Important","1998","Rural Area","East Germany","","","",""
"Less important","1998","Urban Area","West Germany","","","",""
"Less important","1998","Urban Area","East Germany","","","",""
"Less important","1998","Rural Area","West Germany","","","",""
"Less important","1998","Rural Area","East Germany","","","",""
"Quite unimportant","1998","Urban Area","West Germany","","","",""
"Quite unimportant","1998","Urban Area","East Germany","","","",""
"Quite unimportant","1998","Rural Area","West Germany","","","",""
"Quite unimportant","1998","Rural Area","East Germany","","","",""
"Very important","1999","Urban Area","West Germany","","","",""
"Very important","1999","Urban Area","East Germany","","","",""
"Very important","1999","Rural Area","West Germany","","","",""
"Very important","1999","Rural Area","East Germany","","","",""
"Important","1999","Urban Area","West Germany","","","",""
"Important","1999","Urban Area","East Germany","","","",""
"Important","1999","Rural Area","West Germany","","","",""
"Important","1999","Rural Area","East Germany","","","",""
"Less important","1999","Urban Area","West Germany","","","",""
"Less important","1999","Urban Area","East Germany","","","",""
"Less important","1999","Rural Area","West Germany","","","",""
"Less important","1999","Rural Area","East Germany","","","",""
"Quite unimportant","1999","Urban Area","West Germany","","","",""
"Quite unimportant","1999","Urban Area","East Germany","","","",""
"Quite unimportant","1999","Rural Area","West Germany","","","",""
"Quite unimportant","1999","Rural Area","East Germany","","","",""
"Very important","2000","Urban Area","West Germany","","","",""
"Very important","2000","Urban Area","East Germany","","","",""
"Very important","2000","Rural Area","West Germany","","","",""
"Very important","2000","Rural Area","East Germany","","","",""
"Important","2000","Urban Area","West Germany","","","",""
"Important","2000","Urban Area","East Germany","","","",""
"Important","2000","Rural Area","West Germany","","","",""
"Important","2000","Rural Area","East Germany","","","",""
"Less important","2000","Urban Area","West Germany","","","",""
"Less important","2000","Urban Area","East Germany","","","",""
"Less important","2000","Rural Area","West Germany","","","",""
"Less important","2000","Rural Area","East Germany","","","",""
"Quite unimportant","2000","Urban Area","West Germany","","","",""
"Quite unimportant","2000","Urban Area","East Germany","","","",""
"Quite unimportant","2000","Rural Area","West Germany","","","",""
"Quite unimportant","2000","Rural Area","East Germany","","","",""
"Very important","2001","Urban Area","West Germany","","","",""
"Very important","2001","Urban Area","East Germany","","","",""
"Very important","2001","Rural Area","West Germany","","","",""
"Very important","2001","Rural Area","East Germany","","","",""
"Important","2001","Urban Area","West Germany","","","",""
"Important","2001","Urban Area","East Germany","","","",""
"Important","2001","Rural Area","West Germany","","","",""
"Important","2001","Rural Area","East Germany","","","",""
"Less important","2001","Urban Area","West Germany","","","",""
"Less important","2001","Urban Area","East Germany","","","",""
"Less important","2001","Rural Area","West Germany","","","",""
"Less important","2001","Rural Area","East Germany","","","",""
"Quite unimportant","2001","Urban Area","West Germany","","","",""
"Quite unimportant","2001","Urban Area","East Germany","","","",""
"Quite unimportant","2001","Rural Area","West Germany","","","",""
"Quite unimportant","2001","Rural Area","East Germany","","","",""
"Very important","2002","Urban Area","West Germany","","","",""
"Very important","2002","Urban Area","East Germany","","","",""
"Very important","2002","Rural Area","West Germany","","","",""
"Very important","2002","Rural Area","East Germany","","","",""
"Important","2002","Urban Area","West Germany","","","",""
"Important","2002","Urban Area","East Germany","","","",""
"Important","2002","Rural Area","West Germany","","","",""
"Important","2002","Rural Area","East Germany","","","",""
"Less important","2002","Urban Area","West Germany","","","",""
"Less important","2002","Urban Area","East Germany","","","",""
"Less important","2002","Rural Area","West Germany","","","",""
"Less important","2002","Rural Area","East Germany","","","",""
"Quite unimportant","2002","Urban Area","West Germany","","","",""
"Quite unimportant","2002","Urban Area","East Germany","","","",""
"Quite unimportant","2002","Rural Area","West Germany","","","",""
"Quite unimportant","2002","Rural Area","East Germany","","","",""
"Very important","2003","Urban Area","West Germany","","","",""
"Very important","2003","Urban Area","East Germany","","","",""
"Very important","2003","Rural Area","West Germany","","","",""
"Very important","2003","Rural Area","East Germany","","","",""
"Important","2003","Urban Area","West Germany","","","",""
"Important","2003","Urban Area","East Germany","","","",""
"Important","2003","Rural Area","West Germany","","","",""
"Important","2003","Rural Area","East Germany","","","",""
"Less important","2003","Urban Area","West Germany","","","",""
"Less important","2003","Urban Area","East Germany","","","",""
"Less important","2003","Rural Area","West Germany","","","",""
"Less important","2003","Rural Area","East Germany","","","",""
"Quite unimportant","2003","Urban Area","West Germany","","","",""
"Quite unimportant","2003","Urban Area","East Germany","","","",""
"Quite unimportant","2003","Rural Area","West Germany","","","",""
"Quite unimportant","2003","Rural Area","East Germany","","","",""
"Very important","2004","Urban Area","West Germany","3509","0.262038435524552","0.254374467182457","0.269702403866647"
"Very important","2004","Urban Area","East Germany","464","0.258905190709072","0.238819531868137","0.278990849550007"
"Very important","2004","Rural Area","West Germany","940","0.252109914184617","0.238225059341232","0.265994769028002"
"Very important","2004","Rural Area","East Germany","768","0.231980593958867","0.217811355301833","0.246149832615902"
"Important","2004","Urban Area","West Germany","8110","0.646589184746063","0.638257967339649","0.654920402152478"
"Important","2004","Urban Area","East Germany","1223","0.649555053069663","0.627677603002444","0.671432503136882"
"Important","2004","Rural Area","West Germany","2466","0.648912688358292","0.633650099912179","0.664175276804405"
"Important","2004","Rural Area","East Germany","2315","0.672862826309287","0.657113470061594","0.688612182556979"
"Less important","2004","Urban Area","West Germany","976","0.0862918816444674","0.0813981174042956","0.0911856458846392"
"Less important","2004","Urban Area","East Germany","134","0.0871813055839493","0.0742458191600399","0.100116792007859"
"Less important","2004","Rural Area","West Germany","323","0.0906452982726835","0.0814647885901674","0.0998258079551996"
"Less important","2004","Rural Area","East Germany","302","0.0878001958153808","0.0783001145576198","0.0973002770731417"
"Quite unimportant","2004","Urban Area","West Germany","52","0.00508049808491759","0.00384141208617206","0.00631958408366311"
"Quite unimportant","2004","Urban Area","East Germany","6","","",""
"Quite unimportant","2004","Rural Area","West Germany","28","","",""
"Quite unimportant","2004","Rural Area","East Germany","24","","",""
"Very important","2005","Urban Area","West Germany","","","",""
"Very important","2005","Urban Area","East Germany","","","",""
"Very important","2005","Rural Area","West Germany","","","",""
"Very important","2005","Rural Area","East Germany","","","",""
"Important","2005","Urban Area","West Germany","","","",""
"Important","2005","Urban Area","East Germany","","","",""
"Important","2005","Rural Area","West Germany","","","",""
"Important","2005","Rural Area","East Germany","","","",""
"Less important","2005","Urban Area","West Germany","","","",""
"Less important","2005","Urban Area","East Germany","","","",""
"Less important","2005","Rural Area","West Germany","","","",""
"Less important","2005","Rural Area","East Germany","","","",""
"Quite unimportant","2005","Urban Area","West Germany","","","",""
"Quite unimportant","2005","Urban Area","East Germany","","","",""
"Quite unimportant","2005","Rural Area","West Germany","","","",""
"Quite unimportant","2005","Rural Area","East Germany","","","",""
"Very important","2006","Urban Area","West Germany","","","",""
"Very important","2006","Urban Area","East Germany","","","",""
"Very important","2006","Rural Area","West Germany","","","",""
"Very important","2006","Rural Area","East Germany","","","",""
"Important","2006","Urban Area","West Germany","","","",""
"Important","2006","Urban Area","East Germany","","","",""
"Important","2006","Rural Area","West Germany","","","",""
"Important","2006","Rural Area","East Germany","","","",""
"Less important","2006","Urban Area","West Germany","","","",""
"Less important","2006","Urban Area","East Germany","","","",""
"Less important","2006","Rural Area","West Germany","","","",""
"Less important","2006","Rural Area","East Germany","","","",""
"Quite unimportant","2006","Urban Area","West Germany","","","",""
"Quite unimportant","2006","Urban Area","East Germany","","","",""
"Quite unimportant","2006","Rural Area","West Germany","","","",""
"Quite unimportant","2006","Rural Area","East Germany","","","",""
"Very important","2007","Urban Area","West Germany","","","",""
"Very important","2007","Urban Area","East Germany","","","",""
"Very important","2007","Rural Area","West Germany","","","",""
"Very important","2007","Rural Area","East Germany","","","",""
"Important","2007","Urban Area","West Germany","","","",""
"Important","2007","Urban Area","East Germany","","","",""
"Important","2007","Rural Area","West Germany","","","",""
"Important","2007","Rural Area","East Germany","","","",""
"Less important","2007","Urban Area","West Germany","","","",""
"Less important","2007","Urban Area","East Germany","","","",""
"Less important","2007","Rural Area","West Germany","","","",""
"Less important","2007","Rural Area","East Germany","","","",""
"Quite unimportant","2007","Urban Area","West Germany","","","",""
"Quite unimportant","2007","Urban Area","East Germany","","","",""
"Quite unimportant","2007","Rural Area","West Germany","","","",""
"Quite unimportant","2007","Rural Area","East Germany","","","",""
"Very important","2008","Urban Area","West Germany","3034","0.258733395350172","0.25060062609897","0.266866164601374"
"Very important","2008","Urban Area","East Germany","421","0.24688654422482","0.226261178558188","0.267511909891452"
"Very important","2008","Rural Area","West Germany","845","0.241821211689454","0.227529064707433","0.256113358671475"
"Very important","2008","Rural Area","East Germany","668","0.211739290220439","0.197374042125286","0.226104538315592"
"Important","2008","Urban Area","West Germany","7237","0.652300570976121","0.643456527738441","0.661144614213801"
"Important","2008","Urban Area","East Germany","1134","0.658140570606774","0.635452066848701","0.680829074364847"
"Important","2008","Rural Area","West Germany","2287","0.656675409411338","0.640826758680462","0.672524060142214"
"Important","2008","Rural Area","East Germany","2191","0.709772002331286","0.693812970194747","0.725731034467826"
"Less important","2008","Urban Area","West Germany","819","0.0823447148465844","0.0772398689163757","0.0874495607767932"
"Less important","2008","Urban Area","East Germany","119","0.0886681030080267","0.0750710516785682","0.102265154337485"
"Less important","2008","Rural Area","West Germany","291","0.0948570801441986","0.0850766508474696","0.104637509440928"
"Less important","2008","Rural Area","East Germany","235","0.0722029938021635","0.0631021523080106","0.0813038352963164"
"Quite unimportant","2008","Urban Area","West Germany","49","0.00662131882712195","0.00511521588491949","0.0081274217693244"
"Quite unimportant","2008","Urban Area","East Germany","5","","",""
"Quite unimportant","2008","Rural Area","West Germany","25","","",""
"Quite unimportant","2008","Rural Area","East Germany","13","","",""
"Very important","2009","Urban Area","West Germany","","","",""
"Very important","2009","Urban Area","East Germany","","","",""
"Very important","2009","Rural Area","West Germany","","","",""
"Very important","2009","Rural Area","East Germany","","","",""
"Important","2009","Urban Area","West Germany","","","",""
"Important","2009","Urban Area","East Germany","","","",""
"Important","2009","Rural Area","West Germany","","","",""
"Important","2009","Rural Area","East Germany","","","",""
"Less important","2009","Urban Area","West Germany","","","",""
"Less important","2009","Urban Area","East Germany","","","",""
"Less important","2009","Rural Area","West Germany","","","",""
"Less important","2009","Rural Area","East Germany","","","",""
"Quite unimportant","2009","Urban Area","West Germany","","","",""
"Quite unimportant","2009","Urban Area","East Germany","","","",""
"Quite unimportant","2009","Rural Area","West Germany","","","",""
"Quite unimportant","2009","Rural Area","East Germany","","","",""
"Very important","2010","Urban Area","West Germany","2247","0.513122455572751","0.498084777396138","0.528160133749364"
"Very important","2010","Urban Area","East Germany","230","0.450461960870068","0.406938424656172","0.493985497083963"
"Very important","2010","Rural Area","West Germany","883","0.506499753515152","0.482872286056368","0.530127220973936"
"Very important","2010","Rural Area","East Germany","396","0.456409870073814","0.422825822869953","0.489993917277675"
"Important","2010","Urban Area","West Germany","1921","0.469895959559192","0.454880389799455","0.484911529318929"
"Important","2010","Urban Area","East Germany","256","0.521229144208555","0.477529849181281","0.564928439235829"
"Important","2010","Rural Area","West Germany","803","0.471536690853451","0.447945545132929","0.495127836573974"
"Important","2010","Rural Area","East Germany","411","0.508283530456128","0.474575751846773","0.541991309065483"
"Less important","2010","Urban Area","West Germany","72","0.0164107493012821","0.0125883901093158","0.0202331084932483"
"Less important","2010","Urban Area","East Germany","14","","",""
"Less important","2010","Rural Area","West Germany","32","0.021283490228546","0.0144627148287091","0.0281042656283829"
"Less important","2010","Rural Area","East Germany","34","0.0332269045895832","0.0211424527110407","0.0453113564681256"
"Quite unimportant","2010","Urban Area","West Germany","4","","",""
"Quite unimportant","2010","Urban Area","East Germany","2","","",""
"Quite unimportant","2010","Rural Area","West Germany","2","","",""
"Quite unimportant","2010","Rural Area","East Germany","4","","",""
"Very important","2011","Urban Area","West Germany","","","",""
"Very important","2011","Urban Area","East Germany","","","",""
