"plh0105","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","(0) in school","3","","",""
"Very important","1990","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Very important","1990","Schleswig-Holstein","(1b) general elementary school","6","","",""
"Very important","1990","Schleswig-Holstein","(1c) basic vocational qualification","22","","",""
"Very important","1990","Schleswig-Holstein","(2b) intermediate general qualification","4","","",""
"Very important","1990","Schleswig-Holstein","(2a) intermediate vocational","7","","",""
"Very important","1990","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Schleswig-Holstein","(2c_voc) vocational maturity certificate","2","","",""
"Very important","1990","Schleswig-Holstein","(3a) lower tertiary education","1","","",""
"Very important","1990","Schleswig-Holstein","(3b) higher tertiary education","1","","",""
"Very important","1990","Hamburg","(0) in school","","","",""
"Very important","1990","Hamburg","(1a) inadequately completed","","","",""
"Very important","1990","Hamburg","(1b) general elementary school","5","","",""
"Very important","1990","Hamburg","(1c) basic vocational qualification","10","","",""
"Very important","1990","Hamburg","(2b) intermediate general qualification","1","","",""
"Very important","1990","Hamburg","(2a) intermediate vocational","7","","",""
"Very important","1990","Hamburg","(2c_gen) general maturity certificate","1","","",""
"Very important","1990","Hamburg","(2c_voc) vocational maturity certificate","1","","",""
"Very important","1990","Hamburg","(3a) lower tertiary education","","","",""
"Very important","1990","Hamburg","(3b) higher tertiary education","3","","",""
"Very important","1990","Lower Saxony","(0) in school","5","","",""
"Very important","1990","Lower Saxony","(1a) inadequately completed","2","","",""
"Very important","1990","Lower Saxony","(1b) general elementary school","35","0.199077559329147","0.137397960846035","0.260757157812259"
"Very important","1990","Lower Saxony","(1c) basic vocational qualification","56","0.17875703753486","0.136579048971203","0.220935026098516"
"Very important","1990","Lower Saxony","(2b) intermediate general qualification","11","","",""
"Very important","1990","Lower Saxony","(2a) intermediate vocational","30","0.167204963589574","0.109742501454697","0.22466742572445"
"Very important","1990","Lower Saxony","(2c_gen) general maturity certificate","8","","",""
"Very important","1990","Lower Saxony","(2c_voc) vocational maturity certificate","11","","",""
"Very important","1990","Lower Saxony","(3a) lower tertiary education","4","","",""
"Very important","1990","Lower Saxony","(3b) higher tertiary education","13","","",""
"Very important","1990","Bremen","(0) in school","","","",""
"Very important","1990","Bremen","(1a) inadequately completed","","","",""
"Very important","1990","Bremen","(1b) general elementary school","6","","",""
"Very important","1990","Bremen","(1c) basic vocational qualification","7","","",""
"Very important","1990","Bremen","(2b) intermediate general qualification","2","","",""
"Very important","1990","Bremen","(2a) intermediate vocational","4","","",""
"Very important","1990","Bremen","(2c_gen) general maturity certificate","2","","",""
"Very important","1990","Bremen","(2c_voc) vocational maturity certificate","2","","",""
"Very important","1990","Bremen","(3a) lower tertiary education","","","",""
"Very important","1990","Bremen","(3b) higher tertiary education","","","",""
