"plh0105","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","1724","0.66629839401328","0.648246278154299","0.684350509872261","2"
"Important","1990","66 and older","657","0.626236723773413","0.596790724790428","0.655682722756397","2"
"Important","1990","35-65 y.","2421","0.688653197499021","0.67327541043624","0.704030984561801","2"
"Less important","1990","16-34 y.","265","0.106361150431611","0.0945582942837778","0.118164006579445","3"
"Less important","1990","35-65 y.","325","0.0992489512776591","0.0893192380710746","0.109178664484244","3"
"Less important","1990","66 and older","112","0.116423830981622","0.096902849352804","0.13594481261044","3"
"Quite unimportant","1990","16-34 y.","18","","","","4"
"Quite unimportant","1990","35-65 y.","19","","","","4"
"Quite unimportant","1990","66 and older","25","","","","4"
"Very important","1990","16-34 y.","614","0.221462702694288","0.205566090119371","0.237359315269204","1"
"Very important","1990","35-65 y.","718","0.205693628853825","0.192269818844159","0.219117438863491","1"
"Very important","1990","66 and older","243","0.228285428607416","0.202739237375037","0.253831619839794","1"
"Important","1991","16-34 y.","","","","","2"
"Important","1991","35-65 y.","","","","","2"
"Important","1991","66 and older","","","","","2"
"Less important","1991","16-34 y.","","","","","3"
"Less important","1991","35-65 y.","","","","","3"
"Less important","1991","66 and older","","","","","3"
"Quite unimportant","1991","16-34 y.","","","","","4"
"Quite unimportant","1991","35-65 y.","","","","","4"
"Quite unimportant","1991","66 and older","","","","","4"
"Very important","1991","16-34 y.","","","","","1"
"Very important","1991","35-65 y.","","","","","1"
"Very important","1991","66 and older","","","","","1"
"Important","1992","16-34 y.","2451","0.627185644197335","0.612090608332854","0.642280680061817","2"
"Important","1992","35-65 y.","3779","0.663366651688961","0.651031600921919","0.675701702456004","2"
"Important","1992","66 and older","912","0.6364836799319","0.611535459069","0.661431900794799","2"
"Less important","1992","16-34 y.","361","0.0897012510982504","0.0807809193908997","0.0986215828056011","3"
"Less important","1992","35-65 y.","572","0.107114688485009","0.0990421911722908","0.115187185797727","3"
"Less important","1992","66 and older","181","0.145406935936849","0.127123566674343","0.163690305199356","3"
"Quite unimportant","1992","16-34 y.","17","","","","4"
"Quite unimportant","1992","35-65 y.","37","0.00680869658179448","0.00466218122538561","0.00895521193820335","4"
"Quite unimportant","1992","66 and older","43","0.0354834638517953","0.0258883124807741","0.0450786152228166","4"
"Very important","1992","16-34 y.","1113","0.278982886726502","0.264982135163582","0.292983638289423","1"
"Very important","1992","35-65 y.","1250","0.222709963244235","0.211849535541532","0.233570390946939","1"
"Very important","1992","66 and older","292","0.182625920279456","0.162586939592507","0.202664900966405","1"
"Important","1993","16-34 y.","","","","","2"
"Important","1993","35-65 y.","","","","","2"
"Important","1993","66 and older","","","","","2"
"Less important","1993","16-34 y.","","","","","3"
"Less important","1993","35-65 y.","","","","","3"
"Less important","1993","66 and older","","","","","3"
"Quite unimportant","1993","16-34 y.","","","","","4"
"Quite unimportant","1993","35-65 y.","","","","","4"
"Quite unimportant","1993","66 and older","","","","","4"
"Very important","1993","16-34 y.","","","","","1"
"Very important","1993","35-65 y.","","","","","1"
"Very important","1993","66 and older","","","","","1"
"Important","1994","16-34 y.","","","","","2"
"Important","1994","35-65 y.","","","","","2"
"Important","1994","66 and older","","","","","2"
"Less important","1994","16-34 y.","","","","","3"
"Less important","1994","35-65 y.","","","","","3"
"Less important","1994","66 and older","","","","","3"
"Quite unimportant","1994","16-34 y.","","","","","4"
"Quite unimportant","1994","35-65 y.","","","","","4"
"Quite unimportant","1994","66 and older","","","","","4"
"Very important","1994","16-34 y.","","","","","1"
