"ple0181","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","1-pers.-HH","21","","",""
"Daily","2016","16-34 y.","(Married) couple without C. ","33","0.0300506123491626","0.0189398042385583","0.041161420459767"
"Daily","2016","16-34 y.","Single parent ","31","0.0442587892353665","0.029400147724571","0.059117430746162"
"Daily","2016","16-34 y.","Couple + C. LE 16 ","65","0.0415267659066496","0.031128104533548","0.0519254272797512"
"Daily","2016","16-34 y.","Couple + C. GT 16 ","31","0.0342648695433064","0.0222868563694585","0.0462428827171542"
"Daily","2016","16-34 y.","Couple + C. LE and GT 16","38","0.0582181680542284","0.0405011245038448","0.0759352116046121"
"Daily","2016","35-65 y.","1-pers.-HH","26","","",""
"Daily","2016","35-65 y.","(Married) couple without C. ","56","0.0176280197081857","0.0131604618949056","0.0220955775214658"
"Daily","2016","35-65 y.","Single parent ","22","","",""
"Daily","2016","35-65 y.","Couple + C. LE 16 ","109","0.0274655604230015","0.0226020478325429","0.0323290730134601"
"Daily","2016","35-65 y.","Couple + C. GT 16 ","27","","",""
"Daily","2016","35-65 y.","Couple + C. LE and GT 16","31","0.0230928333090521","0.0152363209994226","0.0309493456186815"
"Daily","2016","66 and older","1-pers.-HH","18","","",""
"Daily","2016","66 and older","(Married) couple without C. ","35","0.0133236337735305","0.00920357594080827","0.0174436916062528"
"Daily","2016","66 and older","Single parent ","2","","",""
"Daily","2016","66 and older","Couple + C. LE 16 ","","","",""
"Daily","2016","66 and older","Couple + C. GT 16 ","1","","",""
"Daily","2016","66 and older","Couple + C. LE and GT 16","","","",""
"Four to six days a week","2016","16-34 y.","1-pers.-HH","68","0.111504421695387","0.0878295908816907","0.135179252509084"
"Four to six days a week","2016","16-34 y.","(Married) couple without C. ","128","0.148109480282038","0.124992677435851","0.171226283128226"
"Four to six days a week","2016","16-34 y.","Single parent ","102","0.136178606527406","0.111400072730416","0.160957140324396"
"Four to six days a week","2016","16-34 y.","Couple + C. LE 16 ","212","0.141484781032855","0.12331907637877","0.159650485686939"
"Four to six days a week","2016","16-34 y.","Couple + C. GT 16 ","112","0.141410445530959","0.11846667578281","0.164354215279107"
"Four to six days a week","2016","16-34 y.","Couple + C. LE and GT 16","110","0.192468989650101","0.162639431623818","0.222298547676385"
"Four to six days a week","2016","35-65 y.","1-pers.-HH","103","0.075436364041616","0.0617675041075124","0.0891052239757196"
"Four to six days a week","2016","35-65 y.","(Married) couple without C. ","226","0.0772691800247258","0.0682041113344336","0.086334248715018"
"Four to six days a week","2016","35-65 y.","Single parent ","126","0.10516330363014","0.0886706854869601","0.121655921773321"
"Four to six days a week","2016","35-65 y.","Couple + C. LE 16 ","457","0.117306416551249","0.107730746214852","0.126882086887645"
"Four to six days a week","2016","35-65 y.","Couple + C. GT 16 ","148","0.0922072244079","0.0781705621746384","0.106243886641162"
"Four to six days a week","2016","35-65 y.","Couple + C. LE and GT 16","141","0.100548718544003","0.08481825105135","0.116279186036657"
"Four to six days a week","2016","66 and older","1-pers.-HH","73","0.0486988525303798","0.0370655348193479","0.0603321702414118"
"Four to six days a week","2016","66 and older","(Married) couple without C. ","164","0.0597184281719419","0.0512033673885038","0.06823348895538"
"Four to six days a week","2016","66 and older","Single parent ","2","","",""
"Four to six days a week","2016","66 and older","Couple + C. LE 16 ","1","","",""
"Four to six days a week","2016","66 and older","Couple + C. GT 16 ","13","","",""
"Four to six days a week","2016","66 and older","Couple + C. LE and GT 16","","","",""
"Two to three days a week","2016","16-34 y.","1-pers.-HH","281","0.387737290016675","0.351089238109445","0.424385341923905"
"Two to three days a week","2016","16-34 y.","(Married) couple without C. ","396","0.449214306599602","0.416842826068666","0.481585787130539"
"Two to three days a week","2016","16-34 y.","Single parent ","353","0.48893359787669","0.452819831006956","0.525047364746424"
"Two to three days a week","2016","16-34 y.","Couple + C. LE 16 ","632","0.452840276981345","0.426895319071232","0.478785234891458"
"Two to three days a week","2016","16-34 y.","Couple + C. GT 16 ","403","0.44951666009667","0.416761764753952","0.482271555439389"
"Two to three days a week","2016","16-34 y.","Couple + C. LE and GT 16","292","0.432391298075951","0.394906961743806","0.469875634408096"
"Two to three days a week","2016","35-65 y.","1-pers.-HH","504","0.351262398612557","0.326555178629667","0.375969618595447"
"Two to three days a week","2016","35-65 y.","(Married) couple without C. ","1305","0.370623281663623","0.354226745184267","0.387019818142978"
"Two to three days a week","2016","35-65 y.","Single parent ","628","0.469056760580145","0.442226657074037","0.495886864086253"
"Two to three days a week","2016","35-65 y.","Couple + C. LE 16 ","2010","0.445336448039792","0.430546649717874","0.460126246361709"
"Two to three days a week","2016","35-65 y.","Couple + C. GT 16 ","747","0.447082061307236","0.422960135560797","0.471203987053674"
"Two to three days a week","2016","35-65 y.","Couple + C. LE and GT 16","661","0.484666530565696","0.458525047236841","0.510808013894552"
"Two to three days a week","2016","66 and older","1-pers.-HH","395","0.306907006403077","0.281979182360079","0.331834830446075"
"Two to three days a week","2016","66 and older","(Married) couple without C. ","1031","0.340577857696136","0.323548644852993","0.357607070539279"
"Two to three days a week","2016","66 and older","Single parent ","19","","",""
"Two to three days a week","2016","66 and older","Couple + C. LE 16 ","1","","",""
"Two to three days a week","2016","66 and older","Couple + C. GT 16 ","76","0.425137315815712","0.355571817834013","0.494702813797412"
"Two to three days a week","2016","66 and older","Couple + C. LE and GT 16","1","","",""
"Two to four days a month","2016","16-34 y.","1-pers.-HH","187","0.265099080148254","0.23189956740552","0.298298592890988"
"Two to four days a month","2016","16-34 y.","(Married) couple without C. ","225","0.220420819203659","0.193443370849866","0.247398267557452"
"Two to four days a month","2016","16-34 y.","Single parent ","171","0.236759607298112","0.20604862819555","0.267470586400675"
"Two to four days a month","2016","16-34 y.","Couple + C. LE 16 ","332","0.251700566657308","0.229080015049092","0.274321118265524"
"Two to four days a month","2016","16-34 y.","Couple + C. GT 16 ","221","0.247463209772503","0.219048029262146","0.275878390282861"
"Two to four days a month","2016","16-34 y.","Couple + C. LE and GT 16","151","0.213516623951445","0.182510501947995","0.244522745954895"
"Two to four days a month","2016","35-65 y.","1-pers.-HH","519","0.358620307600363","0.333797633968157","0.383442981232569"
"Two to four days a month","2016","35-65 y.","(Married) couple without C. ","1232","0.378579482655827","0.362112964968142","0.395046000343512"
"Two to four days a month","2016","35-65 y.","Single parent ","373","0.283029231279191","0.258810467501079","0.307247995057303"
"Two to four days a month","2016","35-65 y.","Couple + C. LE 16 ","1304","0.311324875065363","0.29754588374197","0.325103866388756"
"Two to four days a month","2016","35-65 y.","Couple + C. GT 16 ","503","0.312996754985534","0.290499096208897","0.335494413762172"
"Two to four days a month","2016","35-65 y.","Couple + C. LE and GT 16","438","0.310330311296507","0.286131323243824","0.33452929934919"
"Two to four days a month","2016","66 and older","1-pers.-HH","514","0.382958184802527","0.35668466908655","0.409231700518504"
"Two to four days a month","2016","66 and older","(Married) couple without C. ","1179","0.393745031649766","0.376188456299416","0.411301607000116"
"Two to four days a month","2016","66 and older","Single parent ","34","0.463785549958838","0.346119436468805","0.58145166344887"
"Two to four days a month","2016","66 and older","Couple + C. LE 16 ","5","","",""
"Two to four days a month","2016","66 and older","Couple + C. GT 16 ","72","0.330053048096272","0.263883326443029","0.396222769749515"
"Two to four days a month","2016","66 and older","Couple + C. LE and GT 16","","","",""
"Once a month or less","2016","16-34 y.","1-pers.-HH","63","0.115975326351008","0.0918913496264775","0.140059303075538"
"Once a month or less","2016","16-34 y.","(Married) couple without C. ","74","0.0975765294945366","0.0782647487400179","0.116888310249055"
"Once a month or less","2016","16-34 y.","Single parent ","49","0.0524444365131187","0.0363394176232408","0.0685494554029967"
"Once a month or less","2016","16-34 y.","Couple + C. LE 16 ","117","0.0784347734002762","0.0644214627719795","0.0924480840285728"
"Once a month or less","2016","16-34 y.","Couple + C. GT 16 ","64","0.0670638186040075","0.0505935251372082","0.0835341120708067"
"Once a month or less","2016","16-34 y.","Couple + C. LE and GT 16","46","0.0698779714348126","0.0505882062746773","0.0891677365949479"
"Once a month or less","2016","35-65 y.","1-pers.-HH","203","0.148803868864635","0.130383621954414","0.167224115774856"
"Once a month or less","2016","35-65 y.","(Married) couple without C. ","393","0.115836812113194","0.10497205686763","0.126701567358758"
"Once a month or less","2016","35-65 y.","Single parent ","121","0.0842837496082783","0.0693476230348732","0.0992198761816833"
"Once a month or less","2016","35-65 y.","Couple + C. LE 16 ","312","0.0696513609570246","0.0620762153714488","0.0772265065426003"
"Once a month or less","2016","35-65 y.","Couple + C. GT 16 ","162","0.105991095246924","0.0910564941853585","0.120925696308489"
"Once a month or less","2016","35-65 y.","Couple + C. LE and GT 16","100","0.0682327832446143","0.0550436944061573","0.0814218720830713"
"Once a month or less","2016","66 and older","1-pers.-HH","215","0.171452159182456","0.151081011889645","0.191823306475267"
"Once a month or less","2016","66 and older","(Married) couple without C. ","443","0.146685356151868","0.133972223306545","0.159398488997192"
"Once a month or less","2016","66 and older","Single parent ","8","","",""
"Once a month or less","2016","66 and older","Couple + C. LE 16 ","","","",""
"Once a month or less","2016","66 and older","Couple + C. GT 16 ","27","","",""
"Once a month or less","2016","66 and older","Couple + C. LE and GT 16","1","","",""
"Never","2016","16-34 y.","1-pers.-HH","59","0.100041279846648","0.0774721862225722","0.122610373470723"
"Never","2016","16-34 y.","(Married) couple without C. ","51","0.0546282520710009","0.0398387208146389","0.069417783327363"
"Never","2016","16-34 y.","Single parent ","30","0.0414249625493059","0.0270285824789302","0.0558213426196815"
"Never","2016","16-34 y.","Couple + C. LE 16 ","56","0.0340128360215669","0.0245650404685753","0.0434606315745584"
"Never","2016","16-34 y.","Couple + C. GT 16 ","55","0.0602809964525539","0.0446091399604856","0.0759528529446223"
"Never","2016","16-34 y.","Couple + C. LE and GT 16","34","0.0335269488334618","0.0199068982293313","0.0471469994375923"
"Never","2016","35-65 y.","1-pers.-HH","79","0.0492598787707664","0.0380590258255335","0.0604607317159994"
"Never","2016","35-65 y.","(Married) couple without C. ","121","0.0400632238344452","0.0334055165624769","0.0467209311064134"
"Never","2016","35-65 y.","Single parent ","59","0.0423407677252573","0.031514706853744","0.0531668285967705"
"Never","2016","35-65 y.","Couple + C. LE 16 ","146","0.0289153389635706","0.0239288368420758","0.0339018410850654"
