"ple0181","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","(0) in school","in school","22","","",""
"Daily","2016","(0) in school","inadequately","","","",""
"Daily","2016","(0) in school","general elemantary","","","",""
"Daily","2016","(0) in school","middle vocational","","","",""
"Daily","2016","(0) in school","vocational + Abi","","","",""
"Daily","2016","(0) in school","higher vocational","","","",""
"Daily","2016","(0) in school","higher education","","","",""
"Daily","2016","(1a) inadequately completed","in school","","","",""
"Daily","2016","(1a) inadequately completed","inadequately","22","","",""
"Daily","2016","(1a) inadequately completed","general elemantary","","","",""
"Daily","2016","(1a) inadequately completed","middle vocational","8","","",""
"Daily","2016","(1a) inadequately completed","vocational + Abi","","","",""
"Daily","2016","(1a) inadequately completed","higher vocational","","","",""
"Daily","2016","(1a) inadequately completed","higher education","","","",""
"Daily","2016","(1b) general elementary school","in school","","","",""
"Daily","2016","(1b) general elementary school","inadequately","5","","",""
"Daily","2016","(1b) general elementary school","general elemantary","71","0.0238672124087154","0.0169231373820069","0.030811287435424"
"Daily","2016","(1b) general elementary school","middle vocational","","","",""
"Daily","2016","(1b) general elementary school","vocational + Abi","","","",""
"Daily","2016","(1b) general elementary school","higher vocational","","","",""
"Daily","2016","(1b) general elementary school","higher education","","","",""
"Daily","2016","(1c) basic vocational qualification","in school","","","",""
"Daily","2016","(1c) basic vocational qualification","inadequately","","","",""
"Daily","2016","(1c) basic vocational qualification","general elemantary","","","",""
"Daily","2016","(1c) basic vocational qualification","middle vocational","113","0.0179283031990326","0.0141165090424935","0.0217400973555717"
"Daily","2016","(1c) basic vocational qualification","vocational + Abi","","","",""
"Daily","2016","(1c) basic vocational qualification","higher vocational","4","","",""
"Daily","2016","(1c) basic vocational qualification","higher education","","","",""
"Daily","2016","(2b) intermediate general qualification","in school","","","",""
"Daily","2016","(2b) intermediate general qualification","inadequately","","","",""
"Daily","2016","(2b) intermediate general qualification","general elemantary","27","","",""
"Daily","2016","(2b) intermediate general qualification","middle vocational","","","",""
"Daily","2016","(2b) intermediate general qualification","vocational + Abi","","","",""
"Daily","2016","(2b) intermediate general qualification","higher vocational","","","",""
"Daily","2016","(2b) intermediate general qualification","higher education","","","",""
"Daily","2016","(2a) intermediate vocational","in school","","","",""
"Daily","2016","(2a) intermediate vocational","inadequately","","","",""
"Daily","2016","(2a) intermediate vocational","general elemantary","","","",""
"Daily","2016","(2a) intermediate vocational","middle vocational","90","0.0212338695174799","0.0170965138315847","0.0253712252033752"
"Daily","2016","(2a) intermediate vocational","vocational + Abi","","","",""
"Daily","2016","(2a) intermediate vocational","higher vocational","11","","",""
"Daily","2016","(2a) intermediate vocational","higher education","","","",""
"Daily","2016","(2c_gen) general maturity certificate","in school","","","",""
"Daily","2016","(2c_gen) general maturity certificate","inadequately","","","",""
"Daily","2016","(2c_gen) general maturity certificate","general elemantary","","","",""
"Daily","2016","(2c_gen) general maturity certificate","middle vocational","32","0.0345841719018362","0.0244586985692539","0.0447096452344186"
"Daily","2016","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Daily","2016","(2c_gen) general maturity certificate","higher vocational","","","",""
"Daily","2016","(2c_gen) general maturity certificate","higher education","","","",""
"Daily","2016","(2c_voc) vocational maturity certificate","in school","","","",""
"Daily","2016","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Daily","2016","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Daily","2016","(2c_voc) vocational maturity certificate","middle vocational","","","",""
